Year,Value,Units,GeoCode
2014/2015,123.0,Tribunaux pour adultes,
2015/2016,126.0,Tribunaux pour adultes,
2016/2017,136.0,Tribunaux pour adultes,
2017/2018,137.0,Tribunaux pour adultes,
2018/2019,141.0,Tribunaux pour adultes,
2019/2020,142.0,Tribunaux pour adultes,
2020/2021,186.0,Tribunaux pour adultes,
2014/2015,120.0,Tribunaux de la jeunesse,
2015/2016,125.0,Tribunaux de la jeunesse,
2016/2017,135.0,Tribunaux de la jeunesse,
2017/2018,141.0,Tribunaux de la jeunesse,
2018/2019,155.0,Tribunaux de la jeunesse,
2019/2020,162.0,Tribunaux de la jeunesse,
2020/2021,235.0,Tribunaux de la jeunesse,
