Year,Value,Units,Series
2013,4.9,Pourcentage,Taux de croissance de l’utilisation de l’eau
2015,-3.5,Pourcentage,Taux de croissance de l’utilisation de l’eau
2017,1.2,Pourcentage,Taux de croissance de l’utilisation de l’eau
2019,-0.8,Pourcentage,Taux de croissance de l’utilisation de l’eau
2021,0.2,Pourcentage,Taux de croissance de l’utilisation de l’eau
2013,-12.8,Pourcentage,Taux de croissance de l’utilisation de l’eau par habitant
2015,-1.5,Pourcentage,Taux de croissance de l’utilisation de l’eau par habitant
2017,-7.1,Pourcentage,Taux de croissance de l’utilisation de l’eau par habitant
2019,-1.6,Pourcentage,Taux de croissance de l’utilisation de l’eau par habitant
2021,4.0,Pourcentage,Taux de croissance de l’utilisation de l’eau par habitant
2013,37197793.0,Mètres cubes,Utilisation de l’eau totale
2015,35913582.0,Mètres cubes,Utilisation de l’eau totale
2017,36334509.0,Mètres cubes,Utilisation de l’eau totale
2019,36047231.0,Mètres cubes,Utilisation de l’eau totale
2021,36127599.0,Mètres cubes,Utilisation de l’eau totale
