Year,Series,data.Demographic and geodemographic,data.Geography,GeoCode,Value
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,data.Newfoundland and Labrador,10,26.7
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,data.Prince Edward Island,11,16.9
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,data.Nova Scotia,12,37.6
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,data.New Brunswick,13,28.8
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,data.Ontario,24,75.2
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,data.Quebec,24,66.6
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,data.Manitoba,46,57.4
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,data.Saskatchewan,47,50.3
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,data.Alberta,48,67.9
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,data.British Columbia,59,78.4
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,data.Yukon,60,56.3
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,data.Northwest Territories,61,41.4
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,data.Nunavut,62,0.0
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Abbotsford - Mission, British Columbia",,79.3
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Barrie, Ontario",,66.8
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Belleville, Ontario",,57.1
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Brantford, Ontario",,69.6
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Calgary, Alberta",,88.9
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Edmonton, Alberta",,82.7
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Greater Sudbury / Grand Sudbury, Ontario",,66.5
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Guelph, Ontario",,83.5
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Halifax, Nova Scotia",,70.9
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Hamilton, Ontario",,81.1
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Kelowna, British Columbia",,73.7
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Kingston, Ontario",,69.4
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Kitchener - Cambridge - Waterloo, Ontario",,86.2
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Lethbridge, Alberta",,71.6
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.London, Ontario",,77.7
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Moncton, New Brunswick",,65.4
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Montreal, Quebec",,91.6
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Oshawa, Ontario",,88.7
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Ottawa - Gatineau (Ontario part), Ontario",,85.0
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Ottawa - Gatineau (Quebec part), Quebec",,77.2
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Peterborough, Ontario",,62.7
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Quebec, Quebec",,83.1
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Regina, Saskatchewan",,90.4
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Saguenay, Quebec",,75.4
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Saint John, New Brunswick",,49.1
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Saskatoon, Saskatchewan",,82.6
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Sherbrooke, Quebec",,76.4
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.St. Catharines - Niagara, Ontario",,80.9
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.St. John's, Newfoundland and Labrador",,59.9
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Thunder Bay, Ontario",,76.3
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Toronto, Ontario",,93.0
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Trois-Rivières, Quebec",,75.4
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Vancouver, British Columbia",,92.7
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Victoria, British Columbia",,90.4
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Windsor, Ontario",,67.1
2016,data.Total,data.Percentage of population within 500 metres of a public transit stop,"data.Winnipeg, Manitoba",,88.2
2021,data.Age,data.0 to 14 years,data.Newfoundland and Labrador,10,6.9
2021,data.Age,data.15 to 64 years,data.Newfoundland and Labrador,10,36.2
2021,data.Age,data.65 years and over,data.Newfoundland and Labrador,10,11.4
2021,data.Gender,data.Men+,data.Newfoundland and Labrador,10,26.3
2021,data.Total,data.Percentage of population within 500 metres of a public transit stop,data.Newfoundland and Labrador,10,54.5
2021,data.Gender,data.Women+,data.Newfoundland and Labrador,10,28.2
2021,data.Age,data.0 to 14 years,data.Prince Edward Island,11,5.3
2021,data.Age,data.15 to 64 years,data.Prince Edward Island,11,24.1
2021,data.Age,data.65 years and over,data.Prince Edward Island,11,7.9
2021,data.Gender,data.Men+,data.Prince Edward Island,11,19.5
