Year,data.Geography,data.Gender,data.Type of commute,GeoCode,Value
2016,,,,,19.3
2021,,,,,13.9
2021,data.Canada,data.Total,data.Public transit,,7.7
2021,data.Canada,data.Total,data.Active transportation,,6.2
2021,data.Canada,data.Men+,data.Sustainable transportation,,11.6
2021,data.Canada,data.Men+,data.Public transit,,6.0
2021,data.Canada,data.Men+,data.Active transportation,,5.5
2021,data.Canada,data.Women+,data.Sustainable transportation,,16.6
2021,data.Canada,data.Women+,data.Public transit,,9.6
2021,data.Canada,data.Women+,data.Active transportation,,7.0
2016,data.Canada,data.Total,data.Public transit,,12.4
2016,data.Canada,data.Total,data.Active transportation,,6.9
2016,data.Newfoundland and Labrador,data.Total,data.Sustainable transportation,10,7.5
2016,data.Newfoundland and Labrador,data.Total,data.Public transit,10,2.5
2016,data.Newfoundland and Labrador,data.Total,data.Active transportation,10,5.0
2016,"data.St. John's (CMA), N.L.",data.Total,data.Sustainable transportation,,7.9
2016,"data.St. John's (CMA), N.L.",data.Total,data.Public transit,,3.1
2016,"data.St. John's (CMA), N.L.",data.Total,data.Active transportation,,4.8
2016,data.Prince Edward Island,data.Total,data.Sustainable transportation,11,7.2
2016,data.Prince Edward Island,data.Total,data.Public transit,11,1.4
2016,data.Prince Edward Island,data.Total,data.Active transportation,11,5.8
2016,data.Nova Scotia,data.Total,data.Sustainable transportation,12,13.3
2016,data.Nova Scotia,data.Total,data.Public transit,12,6.4
2016,data.Nova Scotia,data.Total,data.Active transportation,12,6.9
2016,"data.Halifax (CMA), N.S.",data.Total,data.Sustainable transportation,,21.0
2016,"data.Halifax (CMA), N.S.",data.Total,data.Public transit,,11.8
2016,"data.Halifax (CMA), N.S.",data.Total,data.Active transportation,,9.2
2016,data.New Brunswick,data.Total,data.Sustainable transportation,13,7.3
2016,data.New Brunswick,data.Total,data.Public transit,13,2.3
2016,data.New Brunswick,data.Total,data.Active transportation,13,5.0
2016,"data.Moncton (CMA), N.B.",data.Total,data.Sustainable transportation,,9.4
2016,"data.Moncton (CMA), N.B.",data.Total,data.Public transit,,3.4
2016,"data.Moncton (CMA), N.B.",data.Total,data.Active transportation,,6.0
