Year,data.Geography,Value
2011,,0.03
2012,,0.12
2013,,0.18
2014,,0.29
2015,,0.37
2016,,0.63
2017,,0.97
2018,,2.24
2019,,2.91
2020,,3.52
2021,,5.22
2022,,8.17
2011,data.British Columbia and the Territories,0.05
2012,data.British Columbia and the Territories,0.16
2013,data.British Columbia and the Territories,0.28
2014,data.British Columbia and the Territories,0.35
2015,data.British Columbia and the Territories,0.65
2016,data.British Columbia and the Territories,0.94
2017,data.British Columbia and the Territories,1.27
2018,data.British Columbia and the Territories,3.62
2019,data.British Columbia and the Territories,7.79
2020,data.British Columbia and the Territories,8.4
2021,data.British Columbia and the Territories,11.64
2011,data.Manitoba,0.01
2012,data.Manitoba,0.05
2013,data.Manitoba,0.05
2014,data.Manitoba,0.03
2015,data.Manitoba,0.06
2016,data.Manitoba,0.11
2017,data.Manitoba,0.09
2018,data.Manitoba,0.29
2019,data.Manitoba,0.56
2020,data.Manitoba,0.7
2021,data.Manitoba,1.36
2011,data.New Brunswick,0.0
2012,data.New Brunswick,0.02
2013,data.New Brunswick,0.03
2014,data.New Brunswick,0.03
2015,data.New Brunswick,0.02
2016,data.New Brunswick,0.08
2017,data.New Brunswick,0.06
2018,data.New Brunswick,0.14
2019,data.New Brunswick,0.41
2020,data.New Brunswick,0.53
2021,data.New Brunswick,1.29
2011,data.Ontario,0.04
2012,data.Ontario,0.11
2013,data.Ontario,0.17
2014,data.Ontario,0.26
2015,data.Ontario,0.29
2016,data.Ontario,0.53
2017,data.Ontario,1.02
2018,data.Ontario,2.1
2019,data.Ontario,1.23
2020,data.Ontario,1.75
2021,data.Ontario,3.15
2011,data.Prince Edward Island,0.0
2012,data.Prince Edward Island,0.04
2013,data.Prince Edward Island,0.01
2014,data.Prince Edward Island,0.08
2015,data.Prince Edward Island,0.0
2016,data.Prince Edward Island,0.08
2017,data.Prince Edward Island,0.02
2018,data.Prince Edward Island,0.2
2019,data.Prince Edward Island,0.62
2020,data.Prince Edward Island,0.82
2021,data.Prince Edward Island,2.11
2011,data.Quebec,0.04
2012,data.Quebec,0.23
2013,data.Quebec,0.32
2014,data.Quebec,0.64
2015,data.Quebec,0.7
2016,data.Quebec,1.15
2017,data.Quebec,1.64
2018,data.Quebec,3.84
2019,data.Quebec,5.91
2020,data.Quebec,6.81
2021,data.Quebec,8.9
2011,data.Saskatchewan,0.0
2012,data.Saskatchewan,0.01
2013,data.Saskatchewan,0.03
2014,data.Saskatchewan,0.03
2015,data.Saskatchewan,0.03
2016,data.Saskatchewan,0.06
2017,data.Saskatchewan,0.06
2018,data.Saskatchewan,0.17
2019,data.Saskatchewan,0.38
2020,data.Saskatchewan,0.45
2021,data.Saskatchewan,1.07
