Year,data.Industries,data.Environmental protection activities or management practices,Value
2018,,,90.3
2018,,,87.5
2018,,,89.4
2018,,,93.8
2018,,,84.8
2018,,,88.0
2018,,,89.5
2018,,,90.9
2018,,,90.5
2018,,,85.1
2018,,,86.4
2018,,,92.8
2018,,,91.2
2018,,,91.3
2018,,,83.3
2019,,,86.6
2019,,,88.0
2019,,,86.2
2019,,,87.4
2019,,,87.2
2019,,,90.2
2019,,,84.8
2019,,,89.1
2019,,,87.3
2019,,,91.3
2019,,,89.1
2019,,,85.9
2019,,,82.6
2019,,,82.7
2019,,,79.0
2020,,,86.3
2020,,,82.8
2020,,,83.0
2020,,,84.1
2020,,,80.4
2020,,,85.1
2020,,,87.7
2020,,,87.4
2020,,,87.6
2020,,,88.5
2020,,,92.1
2020,,,86.3
2020,,,81.6
2020,,,81.7
2020,,,77.2
2021,,,86.4
2021,,,84.0
2021,,,85.8
2021,,,81.4
2021,,,80.0
2021,,,89.7
2021,,,86.2
2021,,,87.2
2021,,,85.0
2021,,,84.9
2021,,,89.7
2021,,,84.0
2021,,,87.3
2021,,,87.3
2021,,,87.1
2018,"data.Total, industries",data.Wastewater management,64.5
2018,"data.Total, industries",data.Air pollution management,20.1
2018,"data.Total, industries","data.Protection and remediation of soil, groundwater and surface water",10.2
2018,"data.Total, industries",data.Protection of biodiversity and habitat,5.2
2018,"data.Total, industries",data.Noise and vibration abatement,7.9
2018,data.Logging (except contract),"data.Total, environmental protection activities",72.9
2018,data.Logging (except contract),data.Wastewater management,58.9
2018,data.Logging (except contract),data.Air pollution management,6.6
2018,data.Logging (except contract),"data.Protection and remediation of soil, groundwater and surface water",19.1
2018,data.Logging (except contract),data.Protection of biodiversity and habitat,11.6
2018,data.Logging (except contract),data.Noise and vibration abatement,7.4
2018,data.Oil and gas extraction,"data.Total, environmental protection activities",87.3
2018,data.Oil and gas extraction,data.Wastewater management,78.1
2018,data.Oil and gas extraction,data.Air pollution management,59.5
2018,data.Oil and gas extraction,"data.Protection and remediation of soil, groundwater and surface water",62.0
2018,data.Oil and gas extraction,data.Protection of biodiversity and habitat,30.4
2018,data.Oil and gas extraction,data.Noise and vibration abatement,22.5
2018,data.Mining and quarrying,"data.Total, environmental protection activities",97.8
2018,data.Mining and quarrying,data.Wastewater management,90.0
2018,data.Mining and quarrying,data.Air pollution management,63.3
2018,data.Mining and quarrying,"data.Protection and remediation of soil, groundwater and surface water",67.8
2018,data.Mining and quarrying,data.Protection of biodiversity and habitat,55.6
2018,data.Mining and quarrying,data.Noise and vibration abatement,26.7
2018,"data.Electric power generation, transmission and distribution","data.Total, environmental protection activities",88.5
2018,"data.Electric power generation, transmission and distribution",data.Wastewater management,68.5
2018,"data.Electric power generation, transmission and distribution",data.Air pollution management,35.9
2018,"data.Electric power generation, transmission and distribution","data.Protection and remediation of soil, groundwater and surface water",36.1
2018,"data.Electric power generation, transmission and distribution",data.Protection of biodiversity and habitat,27.2
2018,"data.Electric power generation, transmission and distribution",data.Noise and vibration abatement,17.6
2018,data.Natural gas distribution,"data.Total, environmental protection activities",66.6
2018,data.Natural gas distribution,data.Wastewater management,50.2
2018,data.Natural gas distribution,data.Air pollution management,45.4
2018,data.Natural gas distribution,"data.Protection and remediation of soil, groundwater and surface water",40.6
2018,data.Natural gas distribution,data.Protection of biodiversity and habitat,43.0
2018,data.Natural gas distribution,data.Noise and vibration abatement,38.2
2018,data.Food manufacturing,"data.Total, environmental protection activities",94.7
2018,data.Food manufacturing,data.Wastewater management,84.2
2018,data.Food manufacturing,data.Air pollution management,15.2
2018,data.Food manufacturing,"data.Protection and remediation of soil, groundwater and surface water",11.3
2018,data.Food manufacturing,data.Protection of biodiversity and habitat,6.5
2018,data.Food manufacturing,data.Noise and vibration abatement,15.0
2018,data.Beverage and tobacco product manufacturing,"data.Total, environmental protection activities",98.3
2018,data.Beverage and tobacco product manufacturing,data.Wastewater management,92.6
2018,data.Beverage and tobacco product manufacturing,data.Air pollution management,14.7
2018,data.Beverage and tobacco product manufacturing,"data.Protection and remediation of soil, groundwater and surface water",8.8
2018,data.Beverage and tobacco product manufacturing,data.Protection of biodiversity and habitat,8.7
2018,data.Beverage and tobacco product manufacturing,data.Noise and vibration abatement,5.7
2018,data.Wood product manufacturing,"data.Total, environmental protection activities",89.9
2018,data.Wood product manufacturing,data.Wastewater management,63.9
2018,data.Wood product manufacturing,data.Air pollution management,30.4
2018,data.Wood product manufacturing,"data.Protection and remediation of soil, groundwater and surface water",14.4
2018,data.Wood product manufacturing,data.Protection of biodiversity and habitat,2.3
2018,data.Wood product manufacturing,data.Noise and vibration abatement,7.4
2018,data.Paper manufacturing,"data.Total, environmental protection activities",97.7
2018,data.Paper manufacturing,data.Wastewater management,85.1
2018,data.Paper manufacturing,data.Air pollution management,53.0
2018,data.Paper manufacturing,"data.Protection and remediation of soil, groundwater and surface water",35.9
2018,data.Paper manufacturing,data.Protection of biodiversity and habitat,18.4
2018,data.Paper manufacturing,data.Noise and vibration abatement,16.3
2018,data.Petroleum and coal product manufacturing,"data.Total, environmental protection activities",100.0
2018,data.Petroleum and coal product manufacturing,data.Wastewater management,92.9
2018,data.Petroleum and coal product manufacturing,data.Air pollution management,92.9
2018,data.Petroleum and coal product manufacturing,"data.Protection and remediation of soil, groundwater and surface water",75.0
2018,data.Petroleum and coal product manufacturing,data.Protection of biodiversity and habitat,42.9
2018,data.Petroleum and coal product manufacturing,data.Noise and vibration abatement,57.2
2018,data.Chemical manufacturing,"data.Total, environmental protection activities",95.6
2018,data.Chemical manufacturing,data.Wastewater management,78.5
2018,data.Chemical manufacturing,data.Air pollution management,42.7
2018,data.Chemical manufacturing,"data.Protection and remediation of soil, groundwater and surface water",24.9
2018,data.Chemical manufacturing,data.Protection of biodiversity and habitat,3.5
2018,data.Chemical manufacturing,data.Noise and vibration abatement,6.8
2018,data.Non-metallic mineral product manufacturing,"data.Total, environmental protection activities",86.3
2018,data.Non-metallic mineral product manufacturing,data.Wastewater management,68.7
2018,data.Non-metallic mineral product manufacturing,data.Air pollution management,41.5
2018,data.Non-metallic mineral product manufacturing,"data.Protection and remediation of soil, groundwater and surface water",16.0
2018,data.Non-metallic mineral product manufacturing,data.Protection of biodiversity and habitat,5.5
2018,data.Non-metallic mineral product manufacturing,data.Noise and vibration abatement,13.4
2018,data.Primary metal manufacturing,"data.Total, environmental protection activities",95.7
2018,data.Primary metal manufacturing,data.Wastewater management,83.9
2018,data.Primary metal manufacturing,data.Air pollution management,69.9
2018,data.Primary metal manufacturing,"data.Protection and remediation of soil, groundwater and surface water",49.6
2018,data.Primary metal manufacturing,data.Protection of biodiversity and habitat,16.6
2018,data.Primary metal manufacturing,data.Noise and vibration abatement,26.5
2018,data.Fabricated metal product manufacturing,"data.Total, environmental protection activities",93.7
2018,data.Fabricated metal product manufacturing,data.Wastewater management,60.7
2018,data.Fabricated metal product manufacturing,data.Air pollution management,13.0
2018,data.Fabricated metal product manufacturing,"data.Protection and remediation of soil, groundwater and surface water",1.5
2018,data.Fabricated metal product manufacturing,data.Protection of biodiversity and habitat,0.2
2018,data.Fabricated metal product manufacturing,data.Noise and vibration abatement,2.2
2018,data.Transportation equipment manufacturing,"data.Total, environmental protection activities",93.5
2018,data.Transportation equipment manufacturing,data.Wastewater management,70.9
2018,data.Transportation equipment manufacturing,data.Air pollution management,28.1
2018,data.Transportation equipment manufacturing,"data.Protection and remediation of soil, groundwater and surface water",12.1
2018,data.Transportation equipment manufacturing,data.Protection of biodiversity and habitat,5.6
2018,data.Transportation equipment manufacturing,data.Noise and vibration abatement,11.8
2018,data.Plastics and rubber products manufacturing,"data.Total, environmental protection activities",93.4
2018,data.Plastics and rubber products manufacturing,data.Wastewater management,62.9
2018,data.Plastics and rubber products manufacturing,data.Air pollution management,16.4
2018,data.Plastics and rubber products manufacturing,"data.Protection and remediation of soil, groundwater and surface water",4.0
2018,data.Plastics and rubber products manufacturing,data.Protection of biodiversity and habitat,0.0
2018,data.Plastics and rubber products manufacturing,data.Noise and vibration abatement,4.7
2018,data.Machinery manufacturing,"data.Total, environmental protection activities",93.3
2018,data.Machinery manufacturing,data.Wastewater management,62.4
2018,data.Machinery manufacturing,data.Air pollution management,17.6
2018,data.Machinery manufacturing,"data.Protection and remediation of soil, groundwater and surface water",10.3
2018,data.Machinery manufacturing,data.Protection of biodiversity and habitat,3.1
2018,data.Machinery manufacturing,data.Noise and vibration abatement,5.9
2018,data.Furniture and related product manufacturing,"data.Total, environmental protection activities",93.5
2018,data.Furniture and related product manufacturing,data.Wastewater management,61.1
2018,data.Furniture and related product manufacturing,data.Air pollution management,18.9
2018,data.Furniture and related product manufacturing,"data.Protection and remediation of soil, groundwater and surface water",6.0
2018,data.Furniture and related product manufacturing,data.Protection of biodiversity and habitat,5.6
2018,data.Furniture and related product manufacturing,data.Noise and vibration abatement,13.2
2018,data.Other manufacturing industries,"data.Total, environmental protection activities",87.0
2018,data.Other manufacturing industries,data.Wastewater management,57.6
2018,data.Other manufacturing industries,data.Air pollution management,10.9
2018,data.Other manufacturing industries,"data.Protection and remediation of soil, groundwater and surface water",1.6
2018,data.Other manufacturing industries,data.Protection of biodiversity and habitat,2.3
2018,data.Other manufacturing industries,data.Noise and vibration abatement,4.2
2018,data.Pipeline transportation,"data.Total, environmental protection activities",86.9
2018,data.Pipeline transportation,data.Wastewater management,65.6
2018,data.Pipeline transportation,data.Air pollution management,59.0
