Year,data.Geography,data.Source,Value
1990,data.Alberta,data.Provincial Inventory Total,171.7849588
1990,data.Alberta,data.Oil and Gas,65.21309573
1990,data.Alberta,data.Coal Production,0.596265064
1990,data.Alberta,data.Electricity,39.75914369
1990,data.Alberta,data.Transport,17.01308686
1990,data.Alberta,data.Heavy Industry,12.63573853
1990,data.Alberta,"data.Light Manufacturing, Construction and Forest Resources",5.576430745
1990,data.Alberta,data.Buildings,12.02922198
1990,data.Alberta,data.Waste,2.406625561
1990,data.Alberta,data.Agriculture,16.55535068
1991,data.Alberta,data.Provincial Inventory Total,172.9444695
1991,data.Alberta,data.Oil and Gas,66.3375869
1991,data.Alberta,data.Coal Production,0.626405723
1991,data.Alberta,data.Electricity,41.55666457
1991,data.Alberta,data.Transport,15.30743735
1991,data.Alberta,data.Heavy Industry,13.08623221
1991,data.Alberta,"data.Light Manufacturing, Construction and Forest Resources",4.962009179
1991,data.Alberta,data.Buildings,11.78135199
1991,data.Alberta,data.Waste,2.512735479
1991,data.Alberta,data.Agriculture,16.77404611
1992,data.Alberta,data.Provincial Inventory Total,180.9919743
1992,data.Alberta,data.Oil and Gas,71.68807949
1992,data.Alberta,data.Coal Production,0.642442048
1992,data.Alberta,data.Electricity,44.71101778
1992,data.Alberta,data.Transport,15.30025445
1992,data.Alberta,data.Heavy Industry,12.852685
1992,data.Alberta,"data.Light Manufacturing, Construction and Forest Resources",4.638753979
1992,data.Alberta,data.Buildings,11.21267266
1992,data.Alberta,data.Waste,2.631371011
1992,data.Alberta,data.Agriculture,17.31469786
1993,data.Alberta,data.Provincial Inventory Total,186.7214107
1993,data.Alberta,data.Oil and Gas,75.42071939
1993,data.Alberta,data.Coal Production,0.718564147
1993,data.Alberta,data.Electricity,45.37940197
1993,data.Alberta,data.Transport,15.15113273
1993,data.Alberta,data.Heavy Industry,13.01580112
1993,data.Alberta,"data.Light Manufacturing, Construction and Forest Resources",3.928698342
1993,data.Alberta,data.Buildings,11.89231251
1993,data.Alberta,data.Waste,2.740798415
1993,data.Alberta,data.Agriculture,18.4739821
1994,data.Alberta,data.Provincial Inventory Total,196.1613682
1994,data.Alberta,data.Oil and Gas,77.15423913
1994,data.Alberta,data.Coal Production,0.695651713
1994,data.Alberta,data.Electricity,48.67134914
1994,data.Alberta,data.Transport,16.17044752
1994,data.Alberta,data.Heavy Industry,14.7582061
1994,data.Alberta,"data.Light Manufacturing, Construction and Forest Resources",3.585167873
1994,data.Alberta,data.Buildings,12.64998519
1994,data.Alberta,data.Waste,2.878046058
1994,data.Alberta,data.Agriculture,19.59827548
1995,data.Alberta,data.Provincial Inventory Total,201.22272
1995,data.Alberta,data.Oil and Gas,79.3052292
1995,data.Alberta,data.Coal Production,0.781025848
1995,data.Alberta,data.Electricity,48.18185017
1995,data.Alberta,data.Transport,15.91535556
1995,data.Alberta,data.Heavy Industry,14.86305312
1995,data.Alberta,"data.Light Manufacturing, Construction and Forest Resources",4.537320583
1995,data.Alberta,data.Buildings,13.93126415
1995,data.Alberta,data.Waste,3.022577851
1995,data.Alberta,data.Agriculture,20.68504354
1996,data.Alberta,data.Provincial Inventory Total,207.9454062
1996,data.Alberta,data.Oil and Gas,83.12547189
1996,data.Alberta,data.Coal Production,0.850518554
1996,data.Alberta,data.Electricity,47.53584039
1996,data.Alberta,data.Transport,16.82462486
1996,data.Alberta,data.Heavy Industry,15.0147176
1996,data.Alberta,"data.Light Manufacturing, Construction and Forest Resources",5.090852415
1996,data.Alberta,data.Buildings,15.26273922
1996,data.Alberta,data.Waste,3.09787254
1996,data.Alberta,data.Agriculture,21.14276875
1997,data.Alberta,data.Provincial Inventory Total,212.2468353
1997,data.Alberta,data.Oil and Gas,83.18317561
1997,data.Alberta,data.Coal Production,0.807540308
1997,data.Alberta,data.Electricity,49.64294134
1997,data.Alberta,data.Transport,18.41200326
1997,data.Alberta,data.Heavy Industry,16.17169667
1997,data.Alberta,"data.Light Manufacturing, Construction and Forest Resources",5.146252041
1997,data.Alberta,data.Buildings,14.70148455
1997,data.Alberta,data.Waste,2.905193548
1997,data.Alberta,data.Agriculture,21.276548
1998,data.Alberta,data.Provincial Inventory Total,213.3677922
1998,data.Alberta,data.Oil and Gas,84.66261856
1998,data.Alberta,data.Coal Production,0.811457738
1998,data.Alberta,data.Electricity,49.71854152
1998,data.Alberta,data.Transport,19.68449235
1998,data.Alberta,data.Heavy Industry,16.38529183
1998,data.Alberta,"data.Light Manufacturing, Construction and Forest Resources",3.446372471
1998,data.Alberta,data.Buildings,13.92750571
1998,data.Alberta,data.Waste,3.074741147
1998,data.Alberta,data.Agriculture,21.65677087
1999,data.Alberta,data.Provincial Inventory Total,220.2510635
1999,data.Alberta,data.Oil and Gas,92.05992351
1999,data.Alberta,data.Coal Production,0.662817661
1999,data.Alberta,data.Electricity,47.81526077
1999,data.Alberta,data.Transport,20.42449923
1999,data.Alberta,data.Heavy Industry,16.55636987
1999,data.Alberta,"data.Light Manufacturing, Construction and Forest Resources",4.019315664
1999,data.Alberta,data.Buildings,13.58280288
1999,data.Alberta,data.Waste,3.17636552
1999,data.Alberta,data.Agriculture,21.9537084
2000,data.Alberta,data.Provincial Inventory Total,227.7443853
2000,data.Alberta,data.Oil and Gas,94.78586827
2000,data.Alberta,data.Coal Production,0.618870298
2000,data.Alberta,data.Electricity,48.83601348
2000,data.Alberta,data.Transport,21.17112816
2000,data.Alberta,data.Heavy Industry,16.96985393
2000,data.Alberta,"data.Light Manufacturing, Construction and Forest Resources",3.989454633
2000,data.Alberta,data.Buildings,15.48055297
2000,data.Alberta,data.Waste,3.294595663
2000,data.Alberta,data.Agriculture,22.59804794
2001,data.Alberta,data.Provincial Inventory Total,226.8515713
2001,data.Alberta,data.Oil and Gas,95.56761628
2001,data.Alberta,data.Coal Production,0.589715063
2001,data.Alberta,data.Electricity,48.87353699
2001,data.Alberta,data.Transport,22.98098824
2001,data.Alberta,data.Heavy Industry,16.82338994
2001,data.Alberta,"data.Light Manufacturing, Construction and Forest Resources",2.941879193
2001,data.Alberta,data.Buildings,13.53445475
2001,data.Alberta,data.Waste,3.418970706
2001,data.Alberta,data.Agriculture,22.12102019
2002,data.Alberta,data.Provincial Inventory Total,226.5668494
2002,data.Alberta,data.Oil and Gas,95.39644853
2002,data.Alberta,data.Coal Production,0.483458206
2002,data.Alberta,data.Electricity,48.534832
2002,data.Alberta,data.Transport,22.2106176
2002,data.Alberta,data.Heavy Industry,16.56597047
2002,data.Alberta,"data.Light Manufacturing, Construction and Forest Resources",2.835562813
2002,data.Alberta,data.Buildings,15.73247699
2002,data.Alberta,data.Waste,3.515853709
2002,data.Alberta,data.Agriculture,21.29162913
2003,data.Alberta,data.Provincial Inventory Total,234.4379639
2003,data.Alberta,data.Oil and Gas,99.71655635
2003,data.Alberta,data.Coal Production,0.383487531
2003,data.Alberta,data.Electricity,49.62983043
2003,data.Alberta,data.Transport,22.90356391
2003,data.Alberta,data.Heavy Industry,16.34997752
2003,data.Alberta,"data.Light Manufacturing, Construction and Forest Resources",2.514801707
2003,data.Alberta,data.Buildings,18.01509364
2003,data.Alberta,data.Waste,3.542262367
2003,data.Alberta,data.Agriculture,21.38239041
2004,data.Alberta,data.Provincial Inventory Total,232.1325718
2004,data.Alberta,data.Oil and Gas,97.97427814
2004,data.Alberta,data.Coal Production,0.355137979
2004,data.Alberta,data.Electricity,46.63072568
2004,data.Alberta,data.Transport,24.01911437
2004,data.Alberta,data.Heavy Industry,17.67027361
2004,data.Alberta,"data.Light Manufacturing, Construction and Forest Resources",2.41038547
2004,data.Alberta,data.Buildings,17.20848328
2004,data.Alberta,data.Waste,3.671289669
2004,data.Alberta,data.Agriculture,22.19288358
2005,data.Alberta,data.Provincial Inventory Total,235.4791904
2005,data.Alberta,data.Oil and Gas,99.75284267
2005,data.Alberta,data.Coal Production,0.510194767
2005,data.Alberta,data.Electricity,47.66157112
2005,data.Alberta,data.Transport,25.06117457
2005,data.Alberta,data.Heavy Industry,17.72798029
2005,data.Alberta,"data.Light Manufacturing, Construction and Forest Resources",2.203426816
2005,data.Alberta,data.Buildings,16.08024754
2005,data.Alberta,data.Waste,3.7851252
2005,data.Alberta,data.Agriculture,22.69662746
2006,data.Alberta,data.Provincial Inventory Total,241.3486364
2006,data.Alberta,data.Oil and Gas,103.4667778
2006,data.Alberta,data.Coal Production,0.558421588
2006,data.Alberta,data.Electricity,47.86213628
2006,data.Alberta,data.Transport,27.16024454
2006,data.Alberta,data.Heavy Industry,17.68086754
2006,data.Alberta,"data.Light Manufacturing, Construction and Forest Resources",2.629381794
2006,data.Alberta,data.Buildings,16.31071262
2006,data.Alberta,data.Waste,3.7961336
2006,data.Alberta,data.Agriculture,21.88396063
2007,data.Alberta,data.Provincial Inventory Total,251.0970692
2007,data.Alberta,data.Oil and Gas,108.9671187
2007,data.Alberta,data.Coal Production,0.609661684
2007,data.Alberta,data.Electricity,48.54182243
2007,data.Alberta,data.Transport,29.18750557
2007,data.Alberta,data.Heavy Industry,16.84207582
2007,data.Alberta,"data.Light Manufacturing, Construction and Forest Resources",2.787533376
2007,data.Alberta,data.Buildings,18.40223805
2007,data.Alberta,data.Waste,3.904128203
2007,data.Alberta,data.Agriculture,21.85498536
2008,data.Alberta,data.Provincial Inventory Total,249.1003472
2008,data.Alberta,data.Oil and Gas,107.3264726
2008,data.Alberta,data.Coal Production,0.641775764
2008,data.Alberta,data.Electricity,48.26563631
2008,data.Alberta,data.Transport,29.59569162
2008,data.Alberta,data.Heavy Industry,16.49918035
2008,data.Alberta,"data.Light Manufacturing, Construction and Forest Resources",2.664082395
2008,data.Alberta,data.Buildings,18.16809856
2008,data.Alberta,data.Waste,4.026471342
2008,data.Alberta,data.Agriculture,21.91293827
2009,data.Alberta,data.Provincial Inventory Total,241.6976617
2009,data.Alberta,data.Oil and Gas,106.883795
2009,data.Alberta,data.Coal Production,0.739464893
2009,data.Alberta,data.Electricity,45.2677421
