Year,Geography,Core public infrastructure assets,Type of municipality by population size,GeoCode,Value
2016,Canada,Public transit assets,All municipalities,11124,17.12
2016,Canada,Public transit assets,All urban municipalities,11124,23.66
2016,Canada,Public transit assets,"Urban municipalities, population less than 5000",11124,20.0
2016,Canada,Public transit assets,"Urban municipalities, population greater than 5000 to 30,000",11124,15.0
2016,Canada,Public transit assets,"Urban municipalities, population greater than 30,000",11124,31.25
2016,Canada,Public transit assets,All rural municipalities,11124,5.66
2016,Canada,Public transit assets,"Rural municipalities, population less than 5000",11124,0.0
2016,Canada,Public transit assets,"Rural municipalities, population greater than 5000",11124,13.33
2016,Canada,Potable water assets,All municipalities,11124,29.45
2016,Canada,Potable water assets,All urban municipalities,11124,32.43
2016,Canada,Potable water assets,"Urban municipalities, population less than 5000",11124,22.11
2016,Canada,Potable water assets,"Urban municipalities, population greater than 5000 to 30,000",11124,36.05
2016,Canada,Potable water assets,"Urban municipalities, population greater than 30,000",11124,41.67
2016,Canada,Potable water assets,All rural municipalities,11124,27.61
2016,Canada,Potable water assets,"Rural municipalities, population less than 5000",11124,26.54
2016,Canada,Potable water assets,"Rural municipalities, population greater than 5000",11124,31.08
2016,Canada,Stormwater assets,All municipalities,11124,51.11
2016,Canada,Stormwater assets,All urban municipalities,11124,59.42
2016,Canada,Stormwater assets,"Urban municipalities, population less than 5000",11124,37.91
2016,Canada,Stormwater assets,"Urban municipalities, population greater than 5000 to 30,000",11124,64.03
2016,Canada,Stormwater assets,"Urban municipalities, population greater than 30,000",11124,77.18
2016,Canada,Stormwater assets,All rural municipalities,11124,45.44
2016,Canada,Stormwater assets,"Rural municipalities, population less than 5000",11124,44.87
2016,Canada,Stormwater assets,"Rural municipalities, population greater than 5000",11124,46.98
2016,Canada,Wastewater assets,All municipalities,11124,35.37
2016,Canada,Wastewater assets,All urban municipalities,11124,39.44
2016,Canada,Wastewater assets,"Urban municipalities, population less than 5000",11124,28.21
2016,Canada,Wastewater assets,"Urban municipalities, population greater than 5000 to 30,000",11124,42.15
2016,Canada,Wastewater assets,"Urban municipalities, population greater than 30,000",11124,50.36
2016,Canada,Wastewater assets,All rural municipalities,11124,33.02
2016,Canada,Wastewater assets,"Rural municipalities, population less than 5000",11124,32.6
2016,Canada,Wastewater assets,"Rural municipalities, population greater than 5000",11124,34.08
2016,Canada,Solid waste assets,All municipalities,11124,15.27
2016,Canada,Solid waste assets,All urban municipalities,11124,18.18
2016,Canada,Solid waste assets,"Urban municipalities, population less than 5000",11124,11.76
2016,Canada,Solid waste assets,"Urban municipalities, population greater than 5000 to 30,000",11124,19.38
