Year,data.Geography,data.Violations,GeoCode,Value
2015,,,,1070.26
2015,data.Canada,data.Homicide [110],,1.71
2015,data.Canada,data.Total other violations causing death [120],,0.24
2015,data.Canada,data.Attempted murder [1210],,2.18
2015,data.Canada,"data.Sexual assault, level 3, aggravated [1310]",,0.29
2015,data.Canada,"data.Sexual assault, level 2, weapon or bodily harm [1320]",,1.06
2015,data.Canada,"data.Sexual assault, level 1 [1330]",,57.32
2015,data.Canada,data.Total sexual violations against children [130],,14.72
2015,data.Canada,"data.Assault, level 3, aggravated [1410]",,9.3
2015,data.Canada,"data.Assault, level 2, weapon or bodily harm [1420]",,132.73
2015,data.Canada,"data.Assault, level 1 [1430]",,439.87
2015,data.Canada,data.Total robbery [160],,62.04
2015,data.Canada,data.Uttering threats [1627],,175.94
2015,data.Canada,data.Total other violent violations [180],,14.16
2015,data.Newfoundland and Labrador [10],data.Total violent Criminal Code violations [100],,1368.64
2015,data.Newfoundland and Labrador [10],data.Homicide [110],,0.57
2015,data.Newfoundland and Labrador [10],data.Total other violations causing death [120],,0.0
2015,data.Newfoundland and Labrador [10],data.Attempted murder [1210],,0.76
2015,data.Newfoundland and Labrador [10],"data.Sexual assault, level 3, aggravated [1310]",,0.19
2015,data.Newfoundland and Labrador [10],"data.Sexual assault, level 2, weapon or bodily harm [1320]",,0.19
2015,data.Newfoundland and Labrador [10],"data.Sexual assault, level 1 [1330]",,68.55
2015,data.Newfoundland and Labrador [10],data.Total sexual violations against children [130],,19.12
2015,data.Newfoundland and Labrador [10],"data.Assault, level 3, aggravated [1410]",,7.38
2015,data.Newfoundland and Labrador [10],"data.Assault, level 2, weapon or bodily harm [1420]",,114.94
2015,data.Newfoundland and Labrador [10],"data.Assault, level 1 [1430]",,600.44
2015,data.Newfoundland and Labrador [10],data.Total robbery [160],,35.41
2015,data.Newfoundland and Labrador [10],data.Uttering threats [1627],,351.82
2015,data.Newfoundland and Labrador [10],data.Total other violent violations [180],,9.09
2015,data.Prince Edward Island [11],data.Total violent Criminal Code violations [100],,749.24
2015,data.Prince Edward Island [11],data.Homicide [110],,0.69
2015,data.Prince Edward Island [11],data.Total other violations causing death [120],,0.0
2015,data.Prince Edward Island [11],data.Attempted murder [1210],,2.08
2015,data.Prince Edward Island [11],"data.Sexual assault, level 3, aggravated [1310]",,0.0
2015,data.Prince Edward Island [11],"data.Sexual assault, level 2, weapon or bodily harm [1320]",,0.0
2015,data.Prince Edward Island [11],"data.Sexual assault, level 1 [1330]",,48.43
2015,data.Prince Edward Island [11],data.Total sexual violations against children [130],,15.91
2015,data.Prince Edward Island [11],"data.Assault, level 3, aggravated [1410]",,4.15
2015,data.Prince Edward Island [11],"data.Assault, level 2, weapon or bodily harm [1420]",,62.26
2015,data.Prince Edward Island [11],"data.Assault, level 1 [1430]",,312.7
2015,data.Prince Edward Island [11],data.Total robbery [160],,11.07
2015,data.Prince Edward Island [11],data.Uttering threats [1627],,140.44
2015,data.Prince Edward Island [11],data.Total other violent violations [180],,13.84
2015,data.Nova Scotia [12],data.Total violent Criminal Code violations [100],,1205.84
2015,data.Nova Scotia [12],data.Homicide [110],,1.28
2015,data.Nova Scotia [12],data.Total other violations causing death [120],,0.21
2015,data.Nova Scotia [12],data.Attempted murder [1210],,3.52
2015,data.Nova Scotia [12],"data.Sexual assault, level 3, aggravated [1310]",,0.43
2015,data.Nova Scotia [12],"data.Sexual assault, level 2, weapon or bodily harm [1320]",,0.75
2015,data.Nova Scotia [12],"data.Sexual assault, level 1 [1330]",,69.62
2015,data.Nova Scotia [12],data.Total sexual violations against children [130],,21.14
2015,data.Nova Scotia [12],"data.Assault, level 3, aggravated [1410]",,9.5
2015,data.Nova Scotia [12],"data.Assault, level 2, weapon or bodily harm [1420]",,112.44
2015,data.Nova Scotia [12],"data.Assault, level 1 [1430]",,461.17
2015,data.Nova Scotia [12],data.Total robbery [160],,34.28
2015,data.Nova Scotia [12],data.Uttering threats [1627],,260.11
2015,data.Nova Scotia [12],data.Total other violent violations [180],,16.23
2015,data.New Brunswick [13],data.Total violent Criminal Code violations [100],,1175.34
2015,data.New Brunswick [13],data.Homicide [110],,1.45
2015,data.New Brunswick [13],data.Total other violations causing death [120],,0.13
2015,data.New Brunswick [13],data.Attempted murder [1210],,2.24
2015,data.New Brunswick [13],"data.Sexual assault, level 3, aggravated [1310]",,0.13
2015,data.New Brunswick [13],"data.Sexual assault, level 2, weapon or bodily harm [1320]",,0.66
2015,data.New Brunswick [13],"data.Sexual assault, level 1 [1330]",,54.29
2015,data.New Brunswick [13],data.Total sexual violations against children [130],,18.84
2015,data.New Brunswick [13],"data.Assault, level 3, aggravated [1410]",,6.46
2015,data.New Brunswick [13],"data.Assault, level 2, weapon or bodily harm [1420]",,102.79
2015,data.New Brunswick [13],"data.Assault, level 1 [1430]",,500.37
2015,data.New Brunswick [13],data.Total robbery [160],,20.16
2015,data.New Brunswick [13],data.Uttering threats [1627],,273.84
2015,data.New Brunswick [13],data.Total other violent violations [180],,9.75
2015,data.Quebec [24],data.Total violent Criminal Code violations [100],,966.02
2015,data.Quebec [24],data.Homicide [110],,0.97
2015,data.Quebec [24],data.Total other violations causing death [120],,0.21
2015,data.Quebec [24],data.Attempted murder [1210],,2.5
2015,data.Quebec [24],"data.Sexual assault, level 3, aggravated [1310]",,0.4
2015,data.Quebec [24],"data.Sexual assault, level 2, weapon or bodily harm [1320]",,1.11
2015,data.Quebec [24],"data.Sexual assault, level 1 [1330]",,45.98
2015,data.Quebec [24],data.Total sexual violations against children [130],,20.88
2015,data.Quebec [24],"data.Assault, level 3, aggravated [1410]",,3.19
2015,data.Quebec [24],"data.Assault, level 2, weapon or bodily harm [1420]",,114.69
2015,data.Quebec [24],"data.Assault, level 1 [1430]",,371.28
2015,data.Quebec [24],data.Total robbery [160],,49.37
2015,data.Quebec [24],data.Uttering threats [1627],,189.31
2015,data.Quebec [24],data.Total other violent violations [180],,23.06
2015,data.Ontario [35],data.Total violent Criminal Code violations [100],,793.0
2015,data.Ontario [35],data.Homicide [110],,1.27
2015,data.Ontario [35],data.Total other violations causing death [120],,0.22
2015,data.Ontario [35],data.Attempted murder [1210],,1.84
2015,data.Ontario [35],"data.Sexual assault, level 3, aggravated [1310]",,0.15
2015,data.Ontario [35],"data.Sexual assault, level 2, weapon or bodily harm [1320]",,0.98
2015,data.Ontario [35],"data.Sexual assault, level 1 [1330]",,53.8
2015,data.Ontario [35],data.Total sexual violations against children [130],,8.12
2015,data.Ontario [35],"data.Assault, level 3, aggravated [1410]",,7.4
2015,data.Ontario [35],"data.Assault, level 2, weapon or bodily harm [1420]",,89.76
2015,data.Ontario [35],"data.Assault, level 1 [1430]",,324.98
2015,data.Ontario [35],data.Total robbery [160],,55.77
2015,data.Ontario [35],data.Uttering threats [1627],,109.27
2015,data.Ontario [35],data.Total other violent violations [180],,11.14
2015,data.Manitoba [46],data.Total violent Criminal Code violations [100],,1820.96
2015,data.Manitoba [46],data.Homicide [110],,3.64
2015,data.Manitoba [46],data.Total other violations causing death [120],,0.39
2015,data.Manitoba [46],data.Attempted murder [1210],,2.4
2015,data.Manitoba [46],"data.Sexual assault, level 3, aggravated [1310]",,0.62
2015,data.Manitoba [46],"data.Sexual assault, level 2, weapon or bodily harm [1320]",,2.4
2015,data.Manitoba [46],"data.Sexual assault, level 1 [1330]",,102.15
2015,data.Manitoba [46],data.Total sexual violations against children [130],,20.43
2015,data.Manitoba [46],"data.Assault, level 3, aggravated [1410]",,30.57
2015,data.Manitoba [46],"data.Assault, level 2, weapon or bodily harm [1420]",,314.42
2015,data.Manitoba [46],"data.Assault, level 1 [1430]",,793.98
2015,data.Manitoba [46],data.Total robbery [160],,129.08
2015,data.Manitoba [46],data.Uttering threats [1627],,248.56
