Year,data.Pillar,data.Region,Value
2021,,,8650
2020,,,10800
2019,,,7100
2018,,,6600
2021,data.Cross-border flows to TOSSD-eligible countries,data.All regions,3080
2021,data.Cross-border flows to TOSSD-eligible countries,data.Global,3
2021,data.Cross-border flows to TOSSD-eligible countries,data.Africa,1516
2021,data.Cross-border flows to TOSSD-eligible countries,data.Asia,454
2021,data.Cross-border flows to TOSSD-eligible countries,data.America,525
2021,data.Cross-border flows to TOSSD-eligible countries,data.Europe,60
2021,data.Cross-border flows to TOSSD-eligible countries,data.Middle East,515
2021,data.Cross-border flows to TOSSD-eligible countries,data.Oceania,6
2021,data.Global and regional expenditures for international public goods,data.All regions,5570
2021,data.Global and regional expenditures for international public goods,data.Global,1015
2021,data.Global and regional expenditures for international public goods,data.Africa,2322
2021,data.Global and regional expenditures for international public goods,data.Asia,1142
2021,data.Global and regional expenditures for international public goods,data.America,687
2021,data.Global and regional expenditures for international public goods,data.Europe,170
2021,data.Global and regional expenditures for international public goods,data.Middle East,134
2021,data.Global and regional expenditures for international public goods,data.Oceania,97
2020,data.Cross-border flows to TOSSD-eligible countries,data.All regions,3100
2020,data.Cross-border flows to TOSSD-eligible countries,data.Global,1
2020,data.Cross-border flows to TOSSD-eligible countries,data.Africa,1365
2020,data.Cross-border flows to TOSSD-eligible countries,data.Asia,547
2020,data.Cross-border flows to TOSSD-eligible countries,data.America,574
2020,data.Cross-border flows to TOSSD-eligible countries,data.Europe,60
2020,data.Cross-border flows to TOSSD-eligible countries,data.Middle East,537
2020,data.Cross-border flows to TOSSD-eligible countries,data.Oceania,17
2020,data.Global and regional expenditures for international public goods,data.All regions,7600
2020,data.Global and regional expenditures for international public goods,data.Global,1847
2020,data.Global and regional expenditures for international public goods,data.Africa,3185
2020,data.Global and regional expenditures for international public goods,data.Asia,969
2020,data.Global and regional expenditures for international public goods,data.America,1345
2020,data.Global and regional expenditures for international public goods,data.Europe,88
2020,data.Global and regional expenditures for international public goods,data.Middle East,121
2020,data.Global and regional expenditures for international public goods,data.Oceania,66
2019,data.Cross-border flows to TOSSD-eligible countries,data.All regions,4809
2019,data.Cross-border flows to TOSSD-eligible countries,data.Global,147
2019,data.Cross-border flows to TOSSD-eligible countries,data.Africa,2133
2019,data.Cross-border flows to TOSSD-eligible countries,data.Asia,1060
2019,data.Cross-border flows to TOSSD-eligible countries,data.America,720
2019,data.Cross-border flows to TOSSD-eligible countries,data.Europe,111
2019,data.Cross-border flows to TOSSD-eligible countries,data.Middle East,614
2019,data.Cross-border flows to TOSSD-eligible countries,data.Oceania,24
2019,data.Global and regional expenditures for international public goods,data.All regions,2320
2019,data.Global and regional expenditures for international public goods,data.Global,1346
2019,data.Global and regional expenditures for international public goods,data.Africa,521
2019,data.Global and regional expenditures for international public goods,data.Asia,204
2019,data.Global and regional expenditures for international public goods,data.America,152
2019,data.Global and regional expenditures for international public goods,data.Europe,41
2019,data.Global and regional expenditures for international public goods,data.Middle East,33
2019,data.Global and regional expenditures for international public goods,data.Oceania,23
2018,data.Cross-border flows to TOSSD-eligible countries,data.All regions,5000
2018,data.Global and regional expenditures for international public goods,data.All regions,1600
