Year,data.Geography,GeoCode,data.Economic family type,data.Household food security status,Value
2018,data.Canada,,data.All persons,data.Food secure,83.2
2019,data.Canada,,data.All persons,data.Food secure,84.1
2020,data.Canada,,data.All persons,data.Food secure,84.3
2018,data.Canada,,data.All persons,"data.Food insecure, marginal",5.2
2019,data.Canada,,data.All persons,"data.Food insecure, marginal",5.1
2020,data.Canada,,data.All persons,"data.Food insecure, marginal",4.6
2018,,,,,11.6
2019,,,,,10.8
2020,,,,,11.2
2018,data.Canada,,data.All persons,"data.Food insecure, moderate",8.0
2019,data.Canada,,data.All persons,"data.Food insecure, moderate",7.6
2020,data.Canada,,data.All persons,"data.Food insecure, moderate",7.6
2018,data.Canada,,data.All persons,"data.Food insecure, severe",3.6
2019,data.Canada,,data.All persons,"data.Food insecure, severe",3.2
2020,data.Canada,,data.All persons,"data.Food insecure, severe",3.6
2018,data.Canada,,data.Persons in economic families,data.Food secure,83.9
2019,data.Canada,,data.Persons in economic families,data.Food secure,84.9
2020,data.Canada,,data.Persons in economic families,data.Food secure,84.9
2018,data.Canada,,data.Persons in economic families,"data.Food insecure, marginal",5.2
2019,data.Canada,,data.Persons in economic families,"data.Food insecure, marginal",5.0
2020,data.Canada,,data.Persons in economic families,"data.Food insecure, marginal",4.6
2018,data.Canada,,data.Persons in economic families,"data.Food insecure, moderate or severe",10.9
2019,data.Canada,,data.Persons in economic families,"data.Food insecure, moderate or severe",10.1
2020,data.Canada,,data.Persons in economic families,"data.Food insecure, moderate or severe",10.5
2018,data.Canada,,data.Persons in economic families,"data.Food insecure, moderate",7.9
2019,data.Canada,,data.Persons in economic families,"data.Food insecure, moderate",7.4
2020,data.Canada,,data.Persons in economic families,"data.Food insecure, moderate",7.4
2018,data.Canada,,data.Persons in economic families,"data.Food insecure, severe",3.0
2019,data.Canada,,data.Persons in economic families,"data.Food insecure, severe",2.7
2020,data.Canada,,data.Persons in economic families,"data.Food insecure, severe",3.1
2018,data.Canada,,data.Persons in elderly families,data.Food secure,92.9
2019,data.Canada,,data.Persons in elderly families,data.Food secure,92.4
2020,data.Canada,,data.Persons in elderly families,data.Food secure,92.2
2018,data.Canada,,data.Persons in elderly families,"data.Food insecure, marginal",2.7
2019,data.Canada,,data.Persons in elderly families,"data.Food insecure, marginal",2.7
2020,data.Canada,,data.Persons in elderly families,"data.Food insecure, marginal",2.9
2018,data.Canada,,data.Persons in elderly families,"data.Food insecure, moderate or severe",4.5
2019,data.Canada,,data.Persons in elderly families,"data.Food insecure, moderate or severe",4.9
