Year,Geography,Age group,Sex,Household income,Highest level of education,GeoCode,Value
2015,,,,,,,31.5
2016,,,,,,,30.1
2017,,,,,,,28.7
2020,,,,,,,25.4
2021,,,,,,,21.8
2023,,,,,,,21.6
2015,Canada,"Total, 18 years and over",Males,,,,24.4
2015,Canada,"Total, 18 years and over",Females,,,,38.4
2015,Canada,18 to 34 years,Both sexes,,,,31.3
2015,Canada,18 to 34 years,Males,,,,25.8
2015,Canada,18 to 34 years,Females,,,,36.8
2015,Canada,35 to 49 years,Both sexes,,,,32.9
2015,Canada,35 to 49 years,Males,,,,25.2
2015,Canada,35 to 49 years,Females,,,,40.3
2015,Canada,50 to 64 years,Both sexes,,,,30.6
2015,Canada,50 to 64 years,Males,,,,21.7
2015,Canada,50 to 64 years,Females,,,,39.4
2015,Canada,65 years and over,Both sexes,,,,31.5
2015,Canada,65 years and over,Males,,,,24.9
2015,Canada,65 years and over,Females,,,,36.9
2015,Newfoundland and Labrador,"Total, 18 years and over",Both sexes,,,10,22.3
2015,Newfoundland and Labrador,"Total, 18 years and over",Males,,,10,18.9
2015,Newfoundland and Labrador,"Total, 18 years and over",Females,,,10,25.4
2015,Newfoundland and Labrador,18 to 34 years,Both sexes,,,10,18.9
2015,Newfoundland and Labrador,18 to 34 years,Males,,,10,16.9
2015,Newfoundland and Labrador,18 to 34 years,Females,,,10,20.9
2015,Newfoundland and Labrador,35 to 49 years,Both sexes,,,10,27.1
2015,Newfoundland and Labrador,35 to 49 years,Males,,,10,20.7
2015,Newfoundland and Labrador,35 to 49 years,Females,,,10,32.8
2015,Newfoundland and Labrador,50 to 64 years,Both sexes,,,10,21.2
2015,Newfoundland and Labrador,50 to 64 years,Males,,,10,17.3
2015,Newfoundland and Labrador,50 to 64 years,Females,,,10,24.9
2015,Newfoundland and Labrador,65 years and over,Both sexes,,,10,21.8
2015,Newfoundland and Labrador,65 years and over,Males,,,10,21.4
2015,Newfoundland and Labrador,65 years and over,Females,,,10,22.1
2015,Prince Edward Island,"Total, 18 years and over",Both sexes,,,11,27.3
2015,Prince Edward Island,"Total, 18 years and over",Males,,,11,21.1
2015,Prince Edward Island,"Total, 18 years and over",Females,,,11,33.1
2015,Prince Edward Island,18 to 34 years,Both sexes,,,11,29.2
2015,Prince Edward Island,18 to 34 years,Males,,,11,24.5
2015,Prince Edward Island,18 to 34 years,Females,,,11,33.7
2015,Prince Edward Island,35 to 49 years,Both sexes,,,11,30.2
2015,Prince Edward Island,35 to 49 years,Males,,,11,21.2
2015,Prince Edward Island,35 to 49 years,Females,,,11,38.7
2015,Prince Edward Island,50 to 64 years,Both sexes,,,11,23.0
2015,Prince Edward Island,50 to 64 years,Males,,,11,19.4
2015,Prince Edward Island,50 to 64 years,Females,,,11,26.6
2015,Prince Edward Island,65 years and over,Both sexes,,,11,27.5
2015,Prince Edward Island,65 years and over,Males,,,11,18.8
2015,Prince Edward Island,65 years and over,Females,,,11,34.6
2015,Nova Scotia,"Total, 18 years and over",Both sexes,,,12,25.7
2015,Nova Scotia,"Total, 18 years and over",Males,,,12,16.8
2015,Nova Scotia,"Total, 18 years and over",Females,,,12,33.7
2015,Nova Scotia,18 to 34 years,Both sexes,,,12,26.3
2015,Nova Scotia,18 to 34 years,Males,,,12,18.8
2015,Nova Scotia,18 to 34 years,Females,,,12,33.9
2015,Nova Scotia,35 to 49 years,Both sexes,,,12,27.3
2015,Nova Scotia,35 to 49 years,Males,,,12,12.7
2015,Nova Scotia,35 to 49 years,Females,,,12,40.9
2015,Nova Scotia,50 to 64 years,Both sexes,,,12,24.7
2015,Nova Scotia,50 to 64 years,Males,,,12,16.1
2015,Nova Scotia,50 to 64 years,Females,,,12,32.6
2015,Nova Scotia,65 years and over,Both sexes,,,12,24.4
2015,Nova Scotia,65 years and over,Males,,,12,20.1
2015,Nova Scotia,65 years and over,Females,,,12,27.8
2015,New Brunswick,"Total, 18 years and over",Both sexes,,,13,28.5
2015,New Brunswick,"Total, 18 years and over",Males,,,13,22.9
2015,New Brunswick,"Total, 18 years and over",Females,,,13,33.6
2015,New Brunswick,18 to 34 years,Both sexes,,,13,37.6
2015,New Brunswick,18 to 34 years,Males,,,13,29.9
2015,New Brunswick,18 to 34 years,Females,,,13,45.5
2015,New Brunswick,35 to 49 years,Both sexes,,,13,26.2
2015,New Brunswick,35 to 49 years,Males,,,13,18.4
2015,New Brunswick,35 to 49 years,Females,,,13,33.0
2015,New Brunswick,50 to 64 years,Both sexes,,,13,23.8
2015,New Brunswick,50 to 64 years,Males,,,13,23.3
2015,New Brunswick,50 to 64 years,Females,,,13,24.3
2015,New Brunswick,65 years and over,Both sexes,,,13,27.4
2015,New Brunswick,65 years and over,Males,,,13,18.5
2015,New Brunswick,65 years and over,Females,,,13,34.3
2015,Quebec,"Total, 18 years and over",Both sexes,,,24,38.4
2015,Quebec,"Total, 18 years and over",Males,,,24,29.9
2015,Quebec,"Total, 18 years and over",Females,,,24,46.9
2015,Quebec,18 to 34 years,Both sexes,,,24,39.2
