Year,data.Geography,data.Age group,data.Sex,GeoCode,Value
2022,,,,,12.5
2015,data.Canada,data.18 to 34 years,data.Both sexes,,22.1
2015,data.Canada,data.18 to 34 years,data.Males,,26.4
2015,data.Canada,data.18 to 34 years,data.Females,,17.8
2015,data.Canada,data.35 to 49 years,data.Both sexes,,19.5
2015,data.Canada,data.35 to 49 years,data.Males,,22.9
2015,data.Canada,data.35 to 49 years,data.Females,,16.2
2015,data.Canada,data.50 to 64 years,data.Both sexes,,21.0
2015,data.Canada,data.50 to 64 years,data.Males,,23.2
2015,data.Canada,data.50 to 64 years,data.Females,,18.8
2015,data.Canada,data.65 years and over,data.Both sexes,,9.8
2015,data.Canada,data.65 years and over,data.Males,,10.5
2015,data.Canada,data.65 years and over,data.Females,,9.2
2015,data.Newfoundland and Labrador,data.18 to 34 years,data.Both sexes,10,27.5
2015,data.Newfoundland and Labrador,data.18 to 34 years,data.Males,10,30.7
2015,data.Newfoundland and Labrador,data.18 to 34 years,data.Females,10,24.2
2015,data.Newfoundland and Labrador,data.35 to 49 years,data.Both sexes,10,36.6
2015,data.Newfoundland and Labrador,data.35 to 49 years,data.Males,10,39.7
2015,data.Newfoundland and Labrador,data.35 to 49 years,data.Females,10,33.7
2015,data.Newfoundland and Labrador,data.50 to 64 years,data.Both sexes,10,24.6
2015,data.Newfoundland and Labrador,data.50 to 64 years,data.Males,10,24.4
2015,data.Newfoundland and Labrador,data.50 to 64 years,data.Females,10,24.8
2015,data.Newfoundland and Labrador,data.65 years and over,data.Both sexes,10,12.1
2015,data.Newfoundland and Labrador,data.65 years and over,data.Males,10,13.7
2015,data.Newfoundland and Labrador,data.65 years and over,data.Females,10,10.6
2015,data.Prince Edward Island,data.18 to 34 years,data.Both sexes,11,15.4
2015,data.Prince Edward Island,data.18 to 34 years,data.Males,11,20.7
2015,data.Prince Edward Island,data.18 to 34 years,data.Females,11,10.2
2015,data.Prince Edward Island,data.35 to 49 years,data.Both sexes,11,20.5
2015,data.Prince Edward Island,data.35 to 49 years,data.Males,11,20.1
2015,data.Prince Edward Island,data.35 to 49 years,data.Females,11,20.8
2015,data.Prince Edward Island,data.50 to 64 years,data.Both sexes,11,16.2
2015,data.Prince Edward Island,data.50 to 64 years,data.Males,11,17.5
2015,data.Prince Edward Island,data.50 to 64 years,data.Females,11,15.0
2015,data.Prince Edward Island,data.65 years and over,data.Both sexes,11,9.8
2015,data.Prince Edward Island,data.65 years and over,data.Males,11,10.9
2015,data.Prince Edward Island,data.65 years and over,data.Females,11,9.0
2015,data.Nova Scotia,data.18 to 34 years,data.Both sexes,12,21.9
2015,data.Nova Scotia,data.18 to 34 years,data.Males,12,27.8
2015,data.Nova Scotia,data.18 to 34 years,data.Females,12,15.9
2015,data.Nova Scotia,data.35 to 49 years,data.Both sexes,12,25.1
