Year,Geography,Population characteristics,Education attainment level,Age group,Gender,GeoCode,Value
2010,,,,,,,50.0
2011,,,,,,,51.0
2012,,,,,,,52.0
2013,,,,,,,53.0
2014,,,,,,,53.0
2015,,,,,,,55.0
2016,,,,,,,56.0
2017,,,,,,,56.0
2018,,,,,,,58.0
2019,,,,,,,59.0
2020,,,,,,,60.0
2021,,,,,,,62.0
2022,,,,,,,63.0
2023,,,,,,,63.0
2024,,,,,,,65.0
2010,Canada,Total population,Tertiary education,"Total, 25 to 64 years",Men+,,45.0
2010,Canada,Total population,Tertiary education,"Total, 25 to 64 years",Women+,,55.0
2010,Canada,Total population,Tertiary education,25 to 34 years,Total - Gender,,57.0
2010,Canada,Total population,Tertiary education,25 to 34 years,Men+,,49.0
2010,Canada,Total population,Tertiary education,25 to 34 years,Women+,,64.0
2010,Canada,Total population,Tertiary education,30 to 34 years,Total - Gender,,58.0
2010,Canada,Total population,Tertiary education,30 to 34 years,Men+,,51.0
2010,Canada,Total population,Tertiary education,30 to 34 years,Women+,,65.0
2010,Canada,Total population,Tertiary education,35 to 44 years,Total - Gender,,56.0
2010,Canada,Total population,Tertiary education,35 to 44 years,Men+,,50.0
2010,Canada,Total population,Tertiary education,35 to 44 years,Women+,,63.0
2010,Canada,Total population,Tertiary education,45 to 54 years,Total - Gender,,46.0
2010,Canada,Total population,Tertiary education,45 to 54 years,Men+,,42.0
2010,Canada,Total population,Tertiary education,45 to 54 years,Women+,,50.0
2010,Canada,Total population,Tertiary education,55 to 64 years,Total - Gender,,42.0
2010,Canada,Total population,Tertiary education,55 to 64 years,Men+,,41.0
2010,Canada,Total population,Tertiary education,55 to 64 years,Women+,,43.0
2010,Canada,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Total - Gender,,24.0
2010,Canada,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Men+,,20.0
2010,Canada,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Women+,,28.0
2010,Canada,Total population,Short-cycle tertiary,25 to 34 years,Total - Gender,,26.0
2010,Canada,Total population,Short-cycle tertiary,25 to 34 years,Men+,,22.0
2010,Canada,Total population,Short-cycle tertiary,25 to 34 years,Women+,,29.0
2010,Canada,Total population,Short-cycle tertiary,30 to 34 years,Total - Gender,,27.0
2010,Canada,Total population,Short-cycle tertiary,30 to 34 years,Men+,,23.0
2010,Canada,Total population,Short-cycle tertiary,30 to 34 years,Women+,,31.0
2010,Canada,Total population,Short-cycle tertiary,35 to 44 years,Total - Gender,,26.0
2010,Canada,Total population,Short-cycle tertiary,35 to 44 years,Men+,,22.0
