Year,data.Leadership position,Value
2002,data.Members of national Parliament,21.1
2003,data.Members of national Parliament,20.9
2004,data.Members of national Parliament,21.2
2005,data.Members of national Parliament,21.1
2006,data.Members of national Parliament,20.8
2007,data.Members of national Parliament,20.9
2008,data.Members of national Parliament,21.3
2009,data.Members of national Parliament,22.3
2010,data.Members of national Parliament,21.8
2011,data.Members of national Parliament,24.7
2012,data.Members of national Parliament,24.8
2013,data.Members of national Parliament,24.8
2014,data.Members of national Parliament,24.8
2015,data.Members of national Parliament,25.3
2016,data.Members of national Parliament,26.1
2017,data.Members of national Parliament,27.2
2018,data.Members of national Parliament,27.0
2019,data.Members of national Parliament,27.2
2020,data.Members of national Parliament,29.0
2002,data.Members of federal Cabinet,24.3
2003,data.Members of federal Cabinet,23.7
2004,data.Members of federal Cabinet,28.9
2005,data.Members of federal Cabinet,24.3
2006,data.Members of federal Cabinet,20.8
2007,data.Members of federal Cabinet,20.0
2008,data.Members of federal Cabinet,20.0
2009,data.Members of federal Cabinet,27.0
2010,data.Members of federal Cabinet,25.0
2011,data.Members of federal Cabinet,23.7
2012,data.Members of federal Cabinet,23.7
2013,data.Members of federal Cabinet,25.0
2014,data.Members of federal Cabinet,30.8
2015,data.Members of federal Cabinet,30.8
2016,data.Members of federal Cabinet,50.0
2017,data.Members of federal Cabinet,50.0
2018,data.Members of federal Cabinet,50.0
2019,data.Members of federal Cabinet,48.6
2020,data.Members of federal Cabinet,48.6
2002,data.All management occupations,32.9
2003,data.All management occupations,34.5
2004,data.All management occupations,35.3
2005,data.All management occupations,34.7
2006,data.All management occupations,35.0
2007,data.All management occupations,35.5
2008,data.All management occupations,34.6
2009,data.All management occupations,35.5
2010,data.All management occupations,35.5
2011,data.All management occupations,35.7
2012,data.All management occupations,35.4
2013,data.All management occupations,34.5
2014,data.All management occupations,34.6
2015,data.All management occupations,35.1
2016,data.All management occupations,34.6
2017,data.All management occupations,34.4
2018,data.All management occupations,34.8
2019,data.All management occupations,35.2
2020,data.All management occupations,35.9
2002,data.Senior management occupations,25.5
2003,data.Senior management occupations,24.8
2004,data.Senior management occupations,22.1
2005,data.Senior management occupations,24.1
2006,data.Senior management occupations,26.3
2007,data.Senior management occupations,26.2
2008,data.Senior management occupations,29.7
2009,data.Senior management occupations,32.1
2010,data.Senior management occupations,31.6
2011,data.Senior management occupations,28.5
2012,data.Senior management occupations,27.3
2013,data.Senior management occupations,29.2
2014,data.Senior management occupations,31.9
2015,data.Senior management occupations,31.5
2016,data.Senior management occupations,36.9
2017,data.Senior management occupations,28.6
2018,data.Senior management occupations,32.0
2019,data.Senior management occupations,31.6
2020,data.Senior management occupations,28.6
2002,data.Specialized middle management occupations,41.8
2003,data.Specialized middle management occupations,46.2
2004,data.Specialized middle management occupations,47.5
2005,data.Specialized middle management occupations,46.9
2006,data.Specialized middle management occupations,45.2
2007,data.Specialized middle management occupations,47.3
2008,data.Specialized middle management occupations,44.8
2009,data.Specialized middle management occupations,48.5
2010,data.Specialized middle management occupations,48.7
2011,data.Specialized middle management occupations,49.4
2012,data.Specialized middle management occupations,49.2
2013,data.Specialized middle management occupations,47.2
