Year,data.Geography,data.Sex,data.Age group,GeoCode,Value
2015,,,,,26.49
2016,,,,,25.23
2017,,,,,24.15
2018,,,,,21.84
2019,,,,,19.54
2020,,,,,23.37
2021,,,,,21.35
2022,,,,,15.53
2015,data.Alberta,data.Both sexes,data.15 to 24 years,48,18.15
2015,data.Alberta,data.Both sexes,data.15 years and over,48,20.5
2015,data.Alberta,data.Both sexes,data.25 to 44 years,48,24.78
2015,data.Alberta,data.Both sexes,data.25 to 54 years,48,25.71
2015,data.Alberta,data.Both sexes,data.25 years and over,48,21.63
2015,data.Alberta,data.Both sexes,data.45 years and over,48,18.98
2015,data.Alberta,data.Both sexes,data.55 to 64 years,48,14.77
2015,data.Alberta,data.Both sexes,data.55 years and over,48,11.34
2015,data.Alberta,data.Both sexes,data.65 years and over,48,4.83
2015,data.Alberta,data.Females,data.15 to 24 years,48,16.78
2015,data.Alberta,data.Females,data.15 years and over,48,18.33
2015,data.Alberta,data.Females,data.25 to 44 years,48,20.52
2015,data.Alberta,data.Females,data.25 to 54 years,48,21.42
2015,data.Alberta,data.Females,data.25 years and over,48,18.86
2015,data.Alberta,data.Females,data.45 years and over,48,17.24
2015,data.Alberta,data.Females,data.55 to 64 years,48,10.1
2015,data.Alberta,data.Females,data.55 years and over,48,9.01
2015,data.Alberta,data.Females,data.65 years and over,48,0.0
2015,data.Alberta,data.Males,data.15 to 24 years,48,17.73
2015,data.Alberta,data.Males,data.15 years and over,48,25.35
2015,data.Alberta,data.Males,data.25 to 44 years,48,34.92
2015,data.Alberta,data.Males,data.25 to 54 years,48,37.02
2015,data.Alberta,data.Males,data.25 years and over,48,27.7
2015,data.Alberta,data.Males,data.45 years and over,48,20.13
2015,data.Alberta,data.Males,data.55 to 64 years,48,16.78
2015,data.Alberta,data.Males,data.55 years and over,48,9.04
2015,data.Alberta,data.Males,data.65 years and over,48,0.0
2015,data.British Columbia,data.Both sexes,data.15 to 24 years,59,21.31
2015,data.British Columbia,data.Both sexes,data.15 years and over,59,25.31
2015,data.British Columbia,data.Both sexes,data.25 to 44 years,59,30.57
