Year,data.Geography,Value
2015,,55750
2016,,56094
2017,,58575
2018,,60196
2019,,61466
2015,data.Newfoundland and Labrador,59004
2016,data.Newfoundland and Labrador,59534
2017,data.Newfoundland and Labrador,63777
2018,data.Newfoundland and Labrador,64619
2019,data.Newfoundland and Labrador,67527
2015,data.Prince Edward Island,42118
2016,data.Prince Edward Island,43383
2017,data.Prince Edward Island,45146
2018,data.Prince Edward Island,45849
2019,data.Prince Edward Island,47837
2015,data.Nova Scotia,43460
2016,data.Nova Scotia,44123
2017,data.Nova Scotia,45589
2018,data.Nova Scotia,46825
2019,data.Nova Scotia,48039
2015,data.New Brunswick,44084
2016,data.New Brunswick,44973
2017,data.New Brunswick,46735
2018,data.New Brunswick,48169
2019,data.New Brunswick,49218
2015,data.Quebec,47419
2016,data.Quebec,48532
2017,data.Quebec,50430
2018,data.Quebec,52535
2019,data.Quebec,54149
2015,data.Ontario,55477
2016,data.Ontario,56989
2017,data.Ontario,58633
2018,data.Ontario,60039
2019,data.Ontario,61315
2015,data.Manitoba,51031
2016,data.Manitoba,51211
2017,data.Manitoba,53405
2018,data.Manitoba,54025
2019,data.Manitoba,53897
2015,data.Saskatchewan,71081
2016,data.Saskatchewan,66633
2017,data.Saskatchewan,69769
2018,data.Saskatchewan,71311
2019,data.Saskatchewan,70730
2015,data.Alberta,78189
2016,data.Alberta,72519
2017,data.Alberta,78342
2018,data.Alberta,79963
2019,data.Alberta,80905
2015,data.British Columbia,52505
2016,data.British Columbia,54311
2017,data.British Columbia,57265
2018,data.British Columbia,59103
2019,data.British Columbia,60707
2015,data.Yukon,69939
2016,data.Yukon,72353
2017,data.Yukon,72676
2018,data.Yukon,75247
2019,data.Yukon,76114
2015,data.Northwest Territories,106721
2016,data.Northwest Territories,99666
2017,data.Northwest Territories,103072
2018,data.Northwest Territories,105333
2019,data.Northwest Territories,100871
2015,data.Nunavut,66351
2016,data.Nunavut,69831
2017,data.Nunavut,80728
2018,data.Nunavut,87906
2019,data.Nunavut,95535
