Year,data.Geography,data.Population centres,GeoCode,Value
2015,,,,97.4
2016,,,,98.6
2017,,,,99.1
2018,,,,99.3
2019,,,,99.5
2020,,,,99.5
2021,,,,99.4
2022,,,,99.7
2016,data.Alberta,data.Total population centre,48,99.8
2017,data.Alberta,data.Total population centre,48,99.8
2018,data.Alberta,data.Total population centre,48,99.8
2019,data.Alberta,data.Total population centre,48,99.8
2020,data.Alberta,data.Total population centre,48,99.8
2021,data.Alberta,data.Total population centre,48,99.8
2022,data.Alberta,data.Total population centre,49,99.9
2016,data.British Columbia,data.Total population centre,59,99.0
2017,data.British Columbia,data.Total population centre,59,99.0
2018,data.British Columbia,data.Total population centre,59,99.1
2019,data.British Columbia,data.Total population centre,59,99.2
2020,data.British Columbia,data.Total population centre,59,99.1
2021,data.British Columbia,data.Total population centre,59,99.2
2022,data.British Columbia,data.Total population centre,59,99.1
2016,data.Manitoba,data.Total population centre,46,93.2
2017,data.Manitoba,data.Total population centre,46,93.5
2018,data.Manitoba,data.Total population centre,46,95.1
2019,data.Manitoba,data.Total population centre,46,96.8
2020,data.Manitoba,data.Total population centre,46,98.1
2021,data.Manitoba,data.Total population centre,46,98.3
2022,data.Manitoba,data.Total population centre,46,99.0
2016,data.New Brunswick,data.Total population centre,13,98.9
2017,data.New Brunswick,data.Total population centre,13,99.1
2018,data.New Brunswick,data.Total population centre,13,99.2
2019,data.New Brunswick,data.Total population centre,13,99.5
2020,data.New Brunswick,data.Total population centre,13,99.5
2021,data.New Brunswick,data.Total population centre,13,98.9
2022,data.New Brunswick,data.Total population centre,13,99.0
2016,data.Newfoundland and Labrador,data.Total population centre,10,94.5
2017,data.Newfoundland and Labrador,data.Total population centre,10,94.9
2018,data.Newfoundland and Labrador,data.Total population centre,10,95.0
2019,data.Newfoundland and Labrador,data.Total population centre,10,95.8
2020,data.Newfoundland and Labrador,data.Total population centre,10,95.9
2021,data.Newfoundland and Labrador,data.Total population centre,10,93.0
2022,data.Newfoundland and Labrador,data.Total population centre,10,93.6
2016,data.Northwest Territories,data.Total population centre,61,94.2
2017,data.Northwest Territories,data.Total population centre,61,94.2
2018,data.Northwest Territories,data.Total population centre,61,94.4
2019,data.Northwest Territories,data.Total population centre,61,94.4
2020,data.Northwest Territories,data.Total population centre,61,94.4
2021,data.Northwest Territories,data.Total population centre,61,94.3
2022,data.Northwest Territories,data.Total population centre,61,93.9
2016,data.Nova Scotia,data.Total population centre,12,99.5
2017,data.Nova Scotia,data.Total population centre,12,99.5
2018,data.Nova Scotia,data.Total population centre,12,99.5
2019,data.Nova Scotia,data.Total population centre,12,99.6
2020,data.Nova Scotia,data.Total population centre,12,99.7
2021,data.Nova Scotia,data.Total population centre,12,99.1
2022,data.Nova Scotia,data.Total population centre,12,99.1
2016,data.Nunavut,data.Total population centre,62,0.0
2017,data.Nunavut,data.Total population centre,62,0.0
2018,data.Nunavut,data.Total population centre,62,66.2
2019,data.Nunavut,data.Total population centre,62,99.8
2020,data.Nunavut,data.Total population centre,62,99.8
2021,data.Nunavut,data.Total population centre,62,99.8
2022,data.Nunavut,data.Total population centre,62,99.8
2016,data.Ontario,data.Total population centre,35,99.7
2017,data.Ontario,data.Total population centre,35,99.8
2018,data.Ontario,data.Total population centre,35,99.8
