Year,Geography,Type of charging or fuelling stations,GeoCode,Value
2010,,,,109
2011,,,,125
2012,,,,159
2013,,,,238
2014,,,,353
2015,,,,686
2016,,,,873
2017,,,,1367
2018,,,,1823
2019,,,,3851
2020,,,,4663
2021,,,,5976
2022,,,,8246
2023,,,,11480
2024,,,,13906
2025,,,,15700
2010,Alberta,Total electric charging and alternative fuelling stations,48,26
2010,Alberta,Propane,48,26
2011,Alberta,Total electric charging and alternative fuelling stations,48,27
2011,Alberta,Propane,48,27
2012,Alberta,Total electric charging and alternative fuelling stations,48,32
2012,Alberta,Electric,48,2
2012,Alberta,Propane,48,30
2013,Alberta,Total electric charging and alternative fuelling stations,48,39
2013,Alberta,Electric,48,8
2013,Alberta,Propane,48,31
2014,Alberta,Total electric charging and alternative fuelling stations,48,44
2014,Alberta,Electric,48,13
2015,Alberta,Total electric charging and alternative fuelling stations,48,73
2015,Alberta,Electric,48,41
2015,Alberta,Propane,48,32
2016,Alberta,Total electric charging and alternative fuelling stations,48,84
2016,Alberta,Electric,48,51
2016,Alberta,Propane,48,33
2017,Alberta,Total electric charging and alternative fuelling stations,48,135
2017,Alberta,Compressed natural gas,48,1
2017,Alberta,Electric,48,65
2017,Alberta,Propane,48,69
2018,Alberta,Total electric charging and alternative fuelling stations,48,219
2018,Alberta,Compressed natural gas,48,10
2018,Alberta,Electric,48,75
2018,Alberta,Propane,48,134
2019,Alberta,Total electric charging and alternative fuelling stations,48,250
2019,Alberta,Electric,48,105
2019,Alberta,Propane,48,135
2020,Alberta,Total electric charging and alternative fuelling stations,48,277
2020,Alberta,Compressed natural gas,48,11
2020,Alberta,Electric,48,128
2020,Alberta,Propane,48,138
2021,Alberta,Total electric charging and alternative fuelling stations,48,333
2021,Alberta,Electric,48,181
2021,Alberta,Propane,48,141
2022,Alberta,Total electric charging and alternative fuelling stations,48,503
2022,Alberta,Compressed natural gas,48,12
2022,Alberta,Electric,48,350
2023,Alberta,Total electric charging and alternative fuelling stations,48,730
2023,Alberta,Compressed natural gas,48,13
2023,Alberta,Electric,48,575
2023,Alberta,Propane,48,142
2024,Alberta,Total electric charging and alternative fuelling stations,48,903
2024,Alberta,Electric,48,747
2024,Alberta,Propane,48,143
2025,Alberta,Total electric charging and alternative fuelling stations,48,1002
2025,Alberta,Electric,48,844
2025,Alberta,Propane,48,145
2010,British Columbia,Total electric charging and alternative fuelling stations,59,37
2010,British Columbia,Biodiesel,59,1
2010,British Columbia,Propane,59,36
2011,British Columbia,Total electric charging and alternative fuelling stations,59,42
2011,British Columbia,Electric,59,5
2012,British Columbia,Total electric charging and alternative fuelling stations,59,47
2012,British Columbia,Electric,59,9
2012,British Columbia,Propane,59,37
2013,British Columbia,Total electric charging and alternative fuelling stations,59,64
2013,British Columbia,Electric,59,26
2014,British Columbia,Total electric charging and alternative fuelling stations,59,84
2014,British Columbia,Electric,59,46
2015,British Columbia,Total electric charging and alternative fuelling stations,59,173
2015,British Columbia,Compressed natural gas,59,2
2015,British Columbia,Electric,59,132
2015,British Columbia,Propane,59,38
2016,British Columbia,Total electric charging and alternative fuelling stations,59,195
2016,British Columbia,Electric,59,153
2016,British Columbia,Propane,59,39
2017,British Columbia,Total electric charging and alternative fuelling stations,59,275
2017,British Columbia,Compressed natural gas,59,4
2017,British Columbia,Electric,59,198
2017,British Columbia,Propane,59,72
2018,British Columbia,Total electric charging and alternative fuelling stations,59,379
2018,British Columbia,Electric,59,268
2018,British Columbia,Hydrogen,59,1
2018,British Columbia,Propane,59,105
2019,British Columbia,Total electric charging and alternative fuelling stations,59,591
2019,British Columbia,Electric,59,476
2019,British Columbia,Hydrogen,59,2
2019,British Columbia,Propane,59,108
2020,British Columbia,Total electric charging and alternative fuelling stations,59,737
2020,British Columbia,Electric,59,619
2020,British Columbia,Hydrogen,59,3
2020,British Columbia,Propane,59,110
2021,British Columbia,Total electric charging and alternative fuelling stations,59,1030
2021,British Columbia,Compressed natural gas,59,5
2021,British Columbia,Electric,59,909
2021,British Columbia,Hydrogen,59,4
2021,British Columbia,Propane,59,111
2022,British Columbia,Total electric charging and alternative fuelling stations,59,1498
2022,British Columbia,Electric,59,1373
2022,British Columbia,Hydrogen,59,5
2022,British Columbia,Propane,59,114
2023,British Columbia,Total electric charging and alternative fuelling stations,59,2018
2023,British Columbia,Compressed natural gas,59,7
2023,British Columbia,Electric,59,1889
2023,British Columbia,Ethanol,59,1
2023,British Columbia,Hydrogen,59,6
2024,British Columbia,Total electric charging and alternative fuelling stations,59,2474
2024,British Columbia,Electric,59,2339
2024,British Columbia,Hydrogen,59,7
2024,British Columbia,Propane,59,119
2025,British Columbia,Total electric charging and alternative fuelling stations,59,2773
2025,British Columbia,Electric,59,2634
2025,British Columbia,Hydrogen,59,9
2025,British Columbia,Propane,59,121
2010,Canada,Biodiesel,,1
2010,Canada,Electric,,5
2010,Canada,Propane,,103
2011,Canada,Electric,,20
