Year,Geography,Asset,GeoCode,Value
2015,,,,58.2
2016,,,,58.5
2017,,,,58.8
2018,,,,59.0
2019,,,,59.1
2020,,,,59.3
2021,,,,59.3
2022,,,,59.3
2023,,,,59.3
2024,,,,59.3
2015,Canada,Commercial buildings,,56.8
2015,Canada,Sports facilities with spectator capacity,,59.1
2015,Canada,Indoor recreational facilities,,60.0
2015,Canada,Student residences,,53.0
2015,Canada,Airports and other passenger terminals,,53.8
2015,Canada,Communications buildings,,53.3
2015,Canada,Institutional buildings,,59.0
2015,Canada,"Schools, colleges, universities and other educational buildings",,58.7
2015,Canada,Hospitals,,59.3
2015,Canada,"Nursing homes, homes for the aged",,60.6
2015,Canada,Religious centres and memorial sites,,53.6
2015,Canada,Museums,,60.7
2015,Canada,Historical sites,,59.3
2015,Canada,Libraries,,56.9
2015,Canada,Public security facilities,,59.7
2015,Canada,Marine engineering infrastructure,,40.4
2015,Canada,Seaports,,43.1
2015,Canada,Marinas and harbours,,37.7
2015,Canada,Canals and waterways,,47.6
2015,Canada,Other marine infrastructure,,35.7
2015,Canada,Transportation engineering infrastructure,,59.9
2015,Canada,Highway and road structures and networks,,59.2
2015,Canada,Bridges,,60.7
2015,Canada,Tunnels,,59.8
2015,Canada,Railway lines,,61.6
2015,Canada,Runways,,63.4
2015,Canada,Waterworks infrastructure,,62.7
2015,Canada,Water filtration plants,,61.5
2015,Canada,Other water infrastructure,,63.2
2015,Canada,Sewage infrastructure,,53.0
2015,Canada,Sewage treatment plants,,53.4
2015,Canada,Other sewage infrastructure,,52.8
2015,Canada,Communications networks,,51.5
2015,Canada,"Cables and lines – coaxial, copper, aluminum, etc.",,50.5
2015,Canada,Optical fibre,,53.0
2015,Canada,Transmission support structures,,50.2
2015,Canada,Other communication construction,,50.1
2015,Canada,Electric power infrastructure,,57.6
2015,Canada,Wind and solar power plants,,59.7
2015,Canada,Steam production plants,,58.1
2015,Canada,Nuclear production plants,,54.4
2015,Canada,Hydraulic production plants,,56.8
2015,Canada,Power transmission networks,,57.9
2015,Canada,Power distribution networks,,58.0
2015,Canada,Other electric power construction,,59.7
2015,Canada,Oil and gas engineering construction,,60.9
2015,Canada,Pipelines,,60.9
2015,Canada,Other engineering construction,,58.1
