Year,data.Geography,data.Economic family type,GeoCode,Value
2015,,,,66700.0
2016,,,,66600.0
2017,,,,68300.0
2018,,,,68500.0
2019,,,,68800.0
2020,,,,73700.0
2021,,,,73000.0
2022,,,,70500.0
2015,data.Canada,data.Economic families,,92400.0
2015,data.Canada,data.Elderly families,,68900.0
2015,data.Canada,data.Elderly couples,,67200.0
2015,data.Canada,data.Other elderly families,,76200.0
2015,data.Canada,data.Non-elderly families,,99100.0
2015,data.Canada,data.Couples,,89400.0
2015,data.Canada,data.Couples with children,,112800.0
2015,data.Canada,data.Couples with other relatives,,137100.0
2015,data.Canada,data.Lone-parent families,,54200.0
2015,data.Canada,data.Male lone-parent families,,68900.0
2015,data.Canada,data.Female lone-parent families,,50900.0
2015,data.Canada,data.Other non-elderly families,,80800.0
2015,data.Canada,data.Persons not in an economic family,,33800.0
2015,data.Canada,data.Elderly persons not in an economic family,,31500.0
2015,data.Canada,data.Elderly males not in an economic family,,32600.0
2015,data.Canada,data.Elderly females not in an economic family,,30800.0
2015,data.Canada,data.Non-elderly persons not in an economic family,,35200.0
2015,data.Canada,data.Non-elderly males not in an economic family,,38100.0
2015,data.Canada,data.Non-elderly females not in an economic family,,31300.0
2015,data.Atlantic provinces,data.Economic families and persons not in an economic family,,59900.0
2015,data.Atlantic provinces,data.Economic families,,82300.0
2015,data.Atlantic provinces,data.Elderly families,,58700.0
2015,data.Atlantic provinces,data.Elderly couples,,57900.0
2015,data.Atlantic provinces,data.Other elderly families,,62500.0
2015,data.Atlantic provinces,data.Non-elderly families,,91200.0
2015,data.Atlantic provinces,data.Couples,,81000.0
2015,data.Atlantic provinces,data.Couples with children,,107700.0
2015,data.Atlantic provinces,data.Couples with other relatives,,122600.0
2015,data.Atlantic provinces,data.Lone-parent families,,45900.0
2015,data.Atlantic provinces,data.Male lone-parent families,,55800.0
2015,data.Atlantic provinces,data.Female lone-parent families,,44500.0
2015,data.Atlantic provinces,data.Other non-elderly families,,67800.0
2015,data.Atlantic provinces,data.Persons not in an economic family,,28800.0
2015,data.Atlantic provinces,data.Elderly persons not in an economic family,,28000.0
2015,data.Atlantic provinces,data.Elderly males not in an economic family,,31100.0
2015,data.Atlantic provinces,data.Elderly females not in an economic family,,26900.0
2015,data.Atlantic provinces,data.Non-elderly persons not in an economic family,,29500.0
2015,data.Atlantic provinces,data.Non-elderly males not in an economic family,,31600.0
2015,data.Atlantic provinces,data.Non-elderly females not in an economic family,,28200.0
2015,data.Newfoundland and Labrador,data.Economic families and persons not in an economic family,10,64400.0
2015,data.Newfoundland and Labrador,data.Economic families,10,91000.0
2015,data.Newfoundland and Labrador,data.Elderly families,10,50100.0
2015,data.Newfoundland and Labrador,data.Elderly couples,10,47800.0
2015,data.Newfoundland and Labrador,data.Other elderly families,10,65300.0
2015,data.Newfoundland and Labrador,data.Non-elderly families,10,102600.0
2015,data.Newfoundland and Labrador,data.Couples,10,84700.0
2015,data.Newfoundland and Labrador,data.Couples with children,10,115800.0
2015,data.Newfoundland and Labrador,data.Couples with other relatives,10,150700.0
2015,data.Newfoundland and Labrador,data.Lone-parent families,10,40000.0
2015,data.Newfoundland and Labrador,data.Male lone-parent families,10,
2015,data.Newfoundland and Labrador,data.Female lone-parent families,10,34900.0
2015,data.Newfoundland and Labrador,data.Other non-elderly families,10,81800.0
2015,data.Newfoundland and Labrador,data.Persons not in an economic family,10,27200.0
2015,data.Newfoundland and Labrador,data.Elderly persons not in an economic family,10,26300.0
2015,data.Newfoundland and Labrador,data.Elderly males not in an economic family,10,30500.0
2015,data.Newfoundland and Labrador,data.Elderly females not in an economic family,10,24700.0
2015,data.Newfoundland and Labrador,data.Non-elderly persons not in an economic family,10,28200.0
2015,data.Newfoundland and Labrador,data.Non-elderly males not in an economic family,10,31800.0
2015,data.Newfoundland and Labrador,data.Non-elderly females not in an economic family,10,25100.0
2015,data.Prince Edward Island,data.Economic families and persons not in an economic family,11,61400.0
2015,data.Prince Edward Island,data.Economic families,11,79200.0
2015,data.Prince Edward Island,data.Elderly families,11,64100.0
2015,data.Prince Edward Island,data.Elderly couples,11,63600.0
2015,data.Prince Edward Island,data.Other elderly families,11,66900.0
2015,data.Prince Edward Island,data.Non-elderly families,11,85300.0
2015,data.Prince Edward Island,data.Couples,11,75100.0
2015,data.Prince Edward Island,data.Couples with children,11,98400.0
2015,data.Prince Edward Island,data.Couples with other relatives,11,115800.0
2015,data.Prince Edward Island,data.Lone-parent families,11,44700.0
2015,data.Prince Edward Island,data.Male lone-parent families,11,
2015,data.Prince Edward Island,data.Female lone-parent families,11,44700.0
2015,data.Prince Edward Island,data.Other non-elderly families,11,
2015,data.Prince Edward Island,data.Persons not in an economic family,11,29900.0
2015,data.Prince Edward Island,data.Elderly persons not in an economic family,11,28600.0
2015,data.Prince Edward Island,data.Elderly males not in an economic family,11,30400.0
2015,data.Prince Edward Island,data.Elderly females not in an economic family,11,27500.0
2015,data.Prince Edward Island,data.Non-elderly persons not in an economic family,11,30500.0
2015,data.Prince Edward Island,data.Non-elderly males not in an economic family,11,31600.0
2015,data.Prince Edward Island,data.Non-elderly females not in an economic family,11,27500.0
2015,data.Nova Scotia,data.Economic families and persons not in an economic family,12,57000.0
2015,data.Nova Scotia,data.Economic families,12,82100.0
2015,data.Nova Scotia,data.Elderly families,12,61400.0
2015,data.Nova Scotia,data.Elderly couples,12,59300.0
2015,data.Nova Scotia,data.Other elderly families,12,68400.0
2015,data.Nova Scotia,data.Non-elderly families,12,88100.0
2015,data.Nova Scotia,data.Couples,12,79200.0
2015,data.Nova Scotia,data.Couples with children,12,106000.0
2015,data.Nova Scotia,data.Couples with other relatives,12,122600.0
2015,data.Nova Scotia,data.Lone-parent families,12,45700.0
2015,data.Nova Scotia,data.Male lone-parent families,12,
2015,data.Nova Scotia,data.Female lone-parent families,12,45700.0
2015,data.Nova Scotia,data.Other non-elderly families,12,72000.0
2015,data.Nova Scotia,data.Persons not in an economic family,12,29700.0
2015,data.Nova Scotia,data.Elderly persons not in an economic family,12,28500.0
2015,data.Nova Scotia,data.Elderly males not in an economic family,12,30700.0
2015,data.Nova Scotia,data.Elderly females not in an economic family,12,28000.0
2015,data.Nova Scotia,data.Non-elderly persons not in an economic family,12,30900.0
2015,data.Nova Scotia,data.Non-elderly males not in an economic family,12,32400.0
2015,data.Nova Scotia,data.Non-elderly females not in an economic family,12,28200.0
2015,data.New Brunswick,data.Economic families and persons not in an economic family,13,60000.0
2015,data.New Brunswick,data.Economic families,13,79400.0
2015,data.New Brunswick,data.Elderly families,13,60200.0
2015,data.New Brunswick,data.Elderly couples,13,61200.0
2015,data.New Brunswick,data.Other elderly families,13,51300.0
2015,data.New Brunswick,data.Non-elderly families,13,87200.0
2015,data.New Brunswick,data.Couples,13,80400.0
2015,data.New Brunswick,data.Couples with children,13,100700.0
2015,data.New Brunswick,data.Couples with other relatives,13,104400.0
2015,data.New Brunswick,data.Lone-parent families,13,52500.0
2015,data.New Brunswick,data.Male lone-parent families,13,
2015,data.New Brunswick,data.Female lone-parent families,13,46700.0
2015,data.New Brunswick,data.Other non-elderly families,13,58600.0
2015,data.New Brunswick,data.Persons not in an economic family,13,29000.0
2015,data.New Brunswick,data.Elderly persons not in an economic family,13,28600.0
2015,data.New Brunswick,data.Elderly males not in an economic family,13,32000.0
2015,data.New Brunswick,data.Elderly females not in an economic family,13,26500.0
2015,data.New Brunswick,data.Non-elderly persons not in an economic family,13,29000.0
2015,data.New Brunswick,data.Non-elderly males not in an economic family,13,29900.0
2015,data.New Brunswick,data.Non-elderly females not in an economic family,13,28600.0
2015,data.Quebec,data.Economic families and persons not in an economic family,24,57700.0
2015,data.Quebec,data.Economic families,24,82400.0
2015,data.Quebec,data.Elderly families,24,60200.0
2015,data.Quebec,data.Elderly couples,24,59100.0
2015,data.Quebec,data.Other elderly families,24,67400.0
2015,data.Quebec,data.Non-elderly families,24,88400.0
2015,data.Quebec,data.Couples,24,79200.0
2015,data.Quebec,data.Couples with children,24,103100.0
2015,data.Quebec,data.Couples with other relatives,24,113900.0
2015,data.Quebec,data.Lone-parent families,24,57000.0
2015,data.Quebec,data.Male lone-parent families,24,73100.0
2015,data.Quebec,data.Female lone-parent families,24,55000.0
2015,data.Quebec,data.Other non-elderly families,24,77500.0
2015,data.Quebec,data.Persons not in an economic family,24,32100.0
2015,data.Quebec,data.Elderly persons not in an economic family,24,29400.0
2015,data.Quebec,data.Elderly males not in an economic family,24,29400.0
2015,data.Quebec,data.Elderly females not in an economic family,24,29500.0
2015,data.Quebec,data.Non-elderly persons not in an economic family,24,34400.0
2015,data.Quebec,data.Non-elderly males not in an economic family,24,36300.0
2015,data.Quebec,data.Non-elderly females not in an economic family,24,31600.0
2015,data.Ontario,data.Economic families and persons not in an economic family,35,69700.0
2015,data.Ontario,data.Economic families,35,96200.0
2015,data.Ontario,data.Elderly families,35,76300.0
2015,data.Ontario,data.Elderly couples,35,74600.0
2015,data.Ontario,data.Other elderly families,35,84200.0
2015,data.Ontario,data.Non-elderly families,35,101500.0
2015,data.Ontario,data.Couples,35,89600.0
2015,data.Ontario,data.Couples with children,35,114500.0
2015,data.Ontario,data.Couples with other relatives,35,146500.0
2015,data.Ontario,data.Lone-parent families,35,52000.0
2015,data.Ontario,data.Male lone-parent families,35,60000.0
2015,data.Ontario,data.Female lone-parent families,35,49400.0
2015,data.Ontario,data.Other non-elderly families,35,80800.0
2015,data.Ontario,data.Persons not in an economic family,35,34400.0
2015,data.Ontario,data.Elderly persons not in an economic family,35,34800.0
