Year,data.Geography,data.Age group,data.Sex,GeoCode,Value
2015,,,,,68.0
2016,,,,,68.8
2017,,,,,69.4
2018,,,,,68.4
2019,,,,,69.7
2020,,,,,70.2
2021,,,,,69.5
2022,,,,,64.5
2015,data.Canada,"data.Total, 12 years and over",data.Males,,67.5
2015,data.Canada,"data.Total, 12 years and over",data.Females,,68.4
2015,data.Canada,data.12 to 17 years,data.Both sexes,,83.8
2015,data.Canada,data.12 to 17 years,data.Males,,82.5
2015,data.Canada,data.12 to 17 years,data.Females,,85.2
2015,data.Canada,data.18 to 34 years,data.Both sexes,,62.2
2015,data.Canada,data.18 to 34 years,data.Males,,60.5
2015,data.Canada,data.18 to 34 years,data.Females,,63.8
2015,data.Canada,data.35 to 49 years,data.Both sexes,,66.6
2015,data.Canada,data.35 to 49 years,data.Males,,65.7
2015,data.Canada,data.35 to 49 years,data.Females,,67.5
2015,data.Canada,data.50 to 64 years,data.Both sexes,,66.7
2015,data.Canada,data.50 to 64 years,data.Males,,67.9
2015,data.Canada,data.50 to 64 years,data.Females,,65.4
2015,data.Canada,data.65 years and over,data.Both sexes,,74.3
2015,data.Canada,data.65 years and over,data.Males,,74.6
2015,data.Canada,data.65 years and over,data.Females,,73.9
2015,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Both sexes,10,79.1
2015,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Males,10,79.7
2015,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Females,10,78.5
2015,data.Newfoundland and Labrador,data.12 to 17 years,data.Both sexes,10,92.3
2015,data.Newfoundland and Labrador,data.12 to 17 years,data.Males,10,90.4
2015,data.Newfoundland and Labrador,data.12 to 17 years,data.Females,10,94.4
2015,data.Newfoundland and Labrador,data.18 to 34 years,data.Both sexes,10,64.6
2015,data.Newfoundland and Labrador,data.18 to 34 years,data.Males,10,58.3
2015,data.Newfoundland and Labrador,data.18 to 34 years,data.Females,10,70.9
2015,data.Newfoundland and Labrador,data.35 to 49 years,data.Both sexes,10,75.3
2015,data.Newfoundland and Labrador,data.35 to 49 years,data.Males,10,78.8
2015,data.Newfoundland and Labrador,data.35 to 49 years,data.Females,10,72.2
2015,data.Newfoundland and Labrador,data.50 to 64 years,data.Both sexes,10,84.4
2015,data.Newfoundland and Labrador,data.50 to 64 years,data.Males,10,87.9
2015,data.Newfoundland and Labrador,data.50 to 64 years,data.Females,10,81.1
2015,data.Newfoundland and Labrador,data.65 years and over,data.Both sexes,10,88.0
2015,data.Newfoundland and Labrador,data.65 years and over,data.Males,10,90.8
2015,data.Newfoundland and Labrador,data.65 years and over,data.Females,10,85.5
2015,data.Prince Edward Island,"data.Total, 12 years and over",data.Both sexes,11,77.6
2015,data.Prince Edward Island,"data.Total, 12 years and over",data.Males,11,78.8
2015,data.Prince Edward Island,"data.Total, 12 years and over",data.Females,11,76.5
2015,data.Prince Edward Island,data.12 to 17 years,data.Both sexes,11,92.6
2015,data.Prince Edward Island,data.12 to 17 years,data.Males,11,94.6
2015,data.Prince Edward Island,data.12 to 17 years,data.Females,11,90.6
2015,data.Prince Edward Island,data.18 to 34 years,data.Both sexes,11,78.7
2015,data.Prince Edward Island,data.18 to 34 years,data.Males,11,74.9
2015,data.Prince Edward Island,data.18 to 34 years,data.Females,11,82.6
2015,data.Prince Edward Island,data.35 to 49 years,data.Both sexes,11,71.7
2015,data.Prince Edward Island,data.35 to 49 years,data.Males,11,77.0
2015,data.Prince Edward Island,data.35 to 49 years,data.Females,11,66.7
2015,data.Prince Edward Island,data.50 to 64 years,data.Both sexes,11,72.4
2015,data.Prince Edward Island,data.50 to 64 years,data.Males,11,74.8
2015,data.Prince Edward Island,data.50 to 64 years,data.Females,11,69.9
2015,data.Prince Edward Island,data.65 years and over,data.Both sexes,11,84.4
2015,data.Prince Edward Island,data.65 years and over,data.Males,11,85.4
2015,data.Prince Edward Island,data.65 years and over,data.Females,11,83.6
2015,data.Nova Scotia,"data.Total, 12 years and over",data.Both sexes,12,76.4
2015,data.Nova Scotia,"data.Total, 12 years and over",data.Males,12,75.2
2015,data.Nova Scotia,"data.Total, 12 years and over",data.Females,12,77.6
2015,data.Nova Scotia,data.12 to 17 years,data.Both sexes,12,86.7
2015,data.Nova Scotia,data.12 to 17 years,data.Males,12,86.8
2015,data.Nova Scotia,data.12 to 17 years,data.Females,12,86.7
2015,data.Nova Scotia,data.18 to 34 years,data.Both sexes,12,66.7
2015,data.Nova Scotia,data.18 to 34 years,data.Males,12,68.6
2015,data.Nova Scotia,data.18 to 34 years,data.Females,12,64.9
2015,data.Nova Scotia,data.35 to 49 years,data.Both sexes,12,73.7
2015,data.Nova Scotia,data.35 to 49 years,data.Males,12,69.1
2015,data.Nova Scotia,data.35 to 49 years,data.Females,12,77.9
2015,data.Nova Scotia,data.50 to 64 years,data.Both sexes,12,80.4
2015,data.Nova Scotia,data.50 to 64 years,data.Males,12,77.8
2015,data.Nova Scotia,data.50 to 64 years,data.Females,12,82.6
2015,data.Nova Scotia,data.65 years and over,data.Both sexes,12,82.3
2015,data.Nova Scotia,data.65 years and over,data.Males,12,83.0
2015,data.Nova Scotia,data.65 years and over,data.Females,12,81.7
2015,data.New Brunswick,"data.Total, 12 years and over",data.Both sexes,13,70.9
2015,data.New Brunswick,"data.Total, 12 years and over",data.Males,13,71.4
2015,data.New Brunswick,"data.Total, 12 years and over",data.Females,13,70.6
2015,data.New Brunswick,data.12 to 17 years,data.Both sexes,13,87.2
2015,data.New Brunswick,data.12 to 17 years,data.Males,13,84.9
2015,data.New Brunswick,data.12 to 17 years,data.Females,13,89.7
2015,data.New Brunswick,data.18 to 34 years,data.Both sexes,13,66.9
2015,data.New Brunswick,data.18 to 34 years,data.Males,13,70.6
2015,data.New Brunswick,data.18 to 34 years,data.Females,13,63.2
2015,data.New Brunswick,data.35 to 49 years,data.Both sexes,13,64.3
2015,data.New Brunswick,data.35 to 49 years,data.Males,13,60.5
2015,data.New Brunswick,data.35 to 49 years,data.Females,13,67.7
2015,data.New Brunswick,data.50 to 64 years,data.Both sexes,13,71.5
2015,data.New Brunswick,data.50 to 64 years,data.Males,13,72.7
2015,data.New Brunswick,data.50 to 64 years,data.Females,13,70.3
2015,data.New Brunswick,data.65 years and over,data.Both sexes,13,76.3
2015,data.New Brunswick,data.65 years and over,data.Males,13,77.7
2015,data.New Brunswick,data.65 years and over,data.Females,13,75.2
2015,data.Quebec,"data.Total, 12 years and over",data.Both sexes,24,57.9
2015,data.Quebec,"data.Total, 12 years and over",data.Males,24,58.7
2015,data.Quebec,"data.Total, 12 years and over",data.Females,24,57.2
2015,data.Quebec,data.12 to 17 years,data.Both sexes,24,80.2
2015,data.Quebec,data.12 to 17 years,data.Males,24,82.9
2015,data.Quebec,data.12 to 17 years,data.Females,24,77.4
2015,data.Quebec,data.18 to 34 years,data.Both sexes,24,54.7
2015,data.Quebec,data.18 to 34 years,data.Males,24,53.4
2015,data.Quebec,data.18 to 34 years,data.Females,24,56.1
2015,data.Quebec,data.35 to 49 years,data.Both sexes,24,53.3
2015,data.Quebec,data.35 to 49 years,data.Males,24,55.1
2015,data.Quebec,data.35 to 49 years,data.Females,24,51.3
2015,data.Quebec,data.50 to 64 years,data.Both sexes,24,54.7
2015,data.Quebec,data.50 to 64 years,data.Males,24,56.9
2015,data.Quebec,data.50 to 64 years,data.Females,24,52.3
2015,data.Quebec,data.65 years and over,data.Both sexes,24,65.1
2015,data.Quebec,data.65 years and over,data.Males,24,65.2
2015,data.Quebec,data.65 years and over,data.Females,24,64.9
2015,data.Ontario,"data.Total, 12 years and over",data.Both sexes,35,70.4
2015,data.Ontario,"data.Total, 12 years and over",data.Males,35,69.4
2015,data.Ontario,"data.Total, 12 years and over",data.Females,35,71.4
2015,data.Ontario,data.12 to 17 years,data.Both sexes,35,83.2
2015,data.Ontario,data.12 to 17 years,data.Males,35,79.5
2015,data.Ontario,data.12 to 17 years,data.Females,35,87.1
2015,data.Ontario,data.18 to 34 years,data.Both sexes,35,64.6
2015,data.Ontario,data.18 to 34 years,data.Males,35,62.6
2015,data.Ontario,data.18 to 34 years,data.Females,35,66.6
2015,data.Ontario,data.35 to 49 years,data.Both sexes,35,69.5
2015,data.Ontario,data.35 to 49 years,data.Males,35,67.7
2015,data.Ontario,data.35 to 49 years,data.Females,35,71.2
2015,data.Ontario,data.50 to 64 years,data.Both sexes,35,69.5
2015,data.Ontario,data.50 to 64 years,data.Males,35,70.6
2015,data.Ontario,data.50 to 64 years,data.Females,35,68.5
2015,data.Ontario,data.65 years and over,data.Both sexes,35,76.9
2015,data.Ontario,data.65 years and over,data.Males,35,77.1
