Year,data.Geography,data.Type of materials diverted,data.Sources of materials prepared for recycling,GeoCode,Value
2018,,,,,257.6880441
2020,,,,,260.5568381
2018,data.Canada,data.All materials diverted,data.Residential sources of diverted materials,,
2018,data.Canada,data.All materials diverted,data.Non-residential sources of diverted materials,,
2018,data.Canada,data.All paper fibres,data.All sources of diverted materials,,94.95969306
2018,data.Canada,data.All paper fibres,data.Residential sources of diverted materials,,41.46918971
2018,data.Canada,data.All paper fibres,data.Non-residential sources of diverted materials,,53.49050335
2018,data.Canada,data.Glass,data.All sources of diverted materials,,10.7090274
2018,data.Canada,data.Glass,data.Residential sources of diverted materials,,8.04131457
2018,data.Canada,data.Glass,data.Non-residential sources of diverted materials,,2.667712826
2018,data.Canada,data.Ferrous metals,data.All sources of diverted materials,,16.85861551
2018,data.Canada,data.Ferrous metals,data.Residential sources of diverted materials,,3.098900302
2018,data.Canada,data.Ferrous metals,data.Non-residential sources of diverted materials,,13.75971521
2018,data.Canada,data.Copper and aluminum,data.All sources of diverted materials,,3.562975872
2018,data.Canada,data.Copper and aluminum,data.Residential sources of diverted materials,,1.098473161
2018,data.Canada,data.Copper and aluminum,data.Non-residential sources of diverted materials,,2.464502711
2018,data.Canada,data.Mixed metals,data.All sources of diverted materials,,3.156258866
2018,data.Canada,data.Mixed metals,data.Residential sources of diverted materials,,1.615050974
2018,data.Canada,data.Mixed metals,data.Non-residential sources of diverted materials,,1.541207893
2018,data.Canada,data.White goods,data.All sources of diverted materials,,1.712096484
2018,data.Canada,data.White goods,data.Residential sources of diverted materials,,1.041492311
2018,data.Canada,data.White goods,data.Non-residential sources of diverted materials,,0.670604173
2018,data.Canada,data.Electronics,data.All sources of diverted materials,,2.840139253
2018,data.Canada,data.Electronics,data.Residential sources of diverted materials,,
2018,data.Canada,data.Electronics,data.Non-residential sources of diverted materials,,
2018,data.Canada,data.Plastics,data.All sources of diverted materials,,9.565849089
2018,data.Canada,data.Plastics,data.Residential sources of diverted materials,,6.75360671
2018,data.Canada,data.Plastics,data.Non-residential sources of diverted materials,,2.812242379
2018,data.Canada,data.Gable top and aseptic containers,data.All sources of diverted materials,,0.680505675
2018,data.Canada,data.Gable top and aseptic containers,data.Residential sources of diverted materials,,0.599081335
