Year,Geography,Product category,GeoCode,Value
2015,,,,0.91
2016,,,,0.91
2017,,,,0.89
2018,,,,0.88
2019,,,,0.88
2020,,,,0.89
2015,Canada,Construction materials,,0.93
2015,Canada,Electrical and electronic equipment,,0.99
2015,Canada,Electronics,,1.2
2015,Canada,Major appliances,,0.89
2015,Canada,Other electrical and electronic equipment,,0.93
2015,Canada,Packaging,,1.06
2015,Canada,Bottles,,1.97
2015,Canada,Film,,0.94
2015,Canada,Non-bottle rigid,,0.99
2015,Canada,Other packaging products,,0.91
2015,Canada,Agriculture film,,1.01
2015,Canada,Textiles,,0.89
2015,Canada,Vehicles,,0.68
2015,Canada,Other products,,0.77
2015,Newfoundland and Labrador,"Total, all product categories",10,3.92
2015,Newfoundland and Labrador,Construction materials,10,0.89
2015,Newfoundland and Labrador,Electrical and electronic equipment,10,0.95
2015,Newfoundland and Labrador,Packaging,10,0.91
2015,Newfoundland and Labrador,Agriculture film,10,0.72
2015,Newfoundland and Labrador,Textiles,10,0.89
2015,Newfoundland and Labrador,Vehicles,10,25.17
2015,Newfoundland and Labrador,Other products,10,0.61
2015,Prince Edward Island,"Total, all product categories",11,0.76
2015,Prince Edward Island,Construction materials,11,0.92
2015,Prince Edward Island,Electrical and electronic equipment,11,1.11
2015,Prince Edward Island,Packaging,11,1.02
2015,Prince Edward Island,Agriculture film,11,1.09
2015,Prince Edward Island,Textiles,11,0.88
2015,Prince Edward Island,Vehicles,11,0.22
2015,Prince Edward Island,Other products,11,0.6
2015,Nova Scotia,"Total, all product categories",12,0.82
2015,Nova Scotia,Construction materials,12,0.9
2015,Nova Scotia,Electrical and electronic equipment,12,1.05
2015,Nova Scotia,Packaging,12,1.28
2015,Nova Scotia,Agriculture film,12,1.09
2015,Nova Scotia,Textiles,12,0.89
2015,Nova Scotia,Vehicles,12,0.23
2015,Nova Scotia,Other products,12,0.62
2015,New Brunswick,"Total, all product categories",13,0.77
2015,New Brunswick,Construction materials,13,0.91
