Year,Geography,Source,GeoCode,Value
1990,,,,607.7487554
1991,,,,603.1382253
1992,,,,621.5349278
1993,,,,626.6110528
1994,,,,649.0336372
1995,,,,667.9133152
1996,,,,689.2584294
1997,,,,705.5381674
1998,,,,712.1579455
1999,,,,722.8534514
2000,,,,747.7385576
2001,,,,738.8852933
2002,,,,744.657392
2003,,,,763.142981
2004,,,,766.7242191
2005,,,,761.4916163
2006,,,,756.7696186
2007,,,,776.5211525
2008,,,,759.5733956
2009,,,,716.1347197
2010,,,,728.5165713
2011,,,,738.3222143
2012,,,,743.8554602
2013,,,,750.9701532
2014,,,,749.7062958
2015,,,,745.7161238
2016,,,,731.3230349
2017,,,,742.0101347
2018,,,,752.630502
2019,,,,752.024572
2020,,,,686.361953
2021,,,,698.4411243
2022,,,,707.7665923
1990,data.Canada,data.Agriculture,,50.68167987
1991,data.Canada,data.Agriculture,,50.78356565
1992,data.Canada,data.Agriculture,,52.96039086
1993,data.Canada,data.Agriculture,,54.30584958
1994,data.Canada,data.Agriculture,,55.88434759
1995,data.Canada,data.Agriculture,,58.47725783
1996,data.Canada,data.Agriculture,,60.08079343
1997,data.Canada,data.Agriculture,,60.88512563
1998,data.Canada,data.Agriculture,,60.91379985
1999,data.Canada,data.Agriculture,,61.17153552
2000,data.Canada,data.Agriculture,,62.19485373
2001,data.Canada,data.Agriculture,,61.87876695
2002,data.Canada,data.Agriculture,,61.78893656
2003,data.Canada,data.Agriculture,,63.59927194
2004,data.Canada,data.Agriculture,,64.62693014
2005,data.Canada,data.Agriculture,,65.63026633
2006,data.Canada,data.Agriculture,,64.25570837
2007,data.Canada,data.Agriculture,,64.13839792
2008,data.Canada,data.Agriculture,,63.56665856
2009,data.Canada,data.Agriculture,,60.55376031
2010,data.Canada,data.Agriculture,,60.57674482
2011,data.Canada,data.Agriculture,,61.45527617
2012,data.Canada,data.Agriculture,,63.40142379
2013,data.Canada,data.Agriculture,,65.17767017
2014,data.Canada,data.Agriculture,,64.26981854
2015,data.Canada,data.Agriculture,,65.70677535
2016,data.Canada,data.Agriculture,,66.7306129
2017,data.Canada,data.Agriculture,,67.29643546
2018,data.Canada,data.Agriculture,,69.04629623
2019,data.Canada,data.Agriculture,,69.31666404
2020,data.Canada,data.Agriculture,,70.14757401
2021,data.Canada,data.Agriculture,,69.21017239
2022,data.Canada,data.Agriculture,,70.21163065
1990,data.Canada,data.Buildings,,72.38195371
1991,data.Canada,data.Buildings,,71.72763232
1992,data.Canada,data.Buildings,,73.60960264
1993,data.Canada,data.Buildings,,77.19723211
1994,data.Canada,data.Buildings,,77.53205464
1995,data.Canada,data.Buildings,,78.25638098
1996,data.Canada,data.Buildings,,84.53904485
1997,data.Canada,data.Buildings,,82.04369477
1998,data.Canada,data.Buildings,,73.64667402
1999,data.Canada,data.Buildings,,77.50389076
2000,data.Canada,data.Buildings,,84.06091272
2001,data.Canada,data.Buildings,,80.66838056
2002,data.Canada,data.Buildings,,85.0374629
2003,data.Canada,data.Buildings,,90.27310773
2004,data.Canada,data.Buildings,,88.83564821
2005,data.Canada,data.Buildings,,84.93106275
2006,data.Canada,data.Buildings,,79.77750748
2007,data.Canada,data.Buildings,,85.65253311
2008,data.Canada,data.Buildings,,85.55881603
2009,data.Canada,data.Buildings,,83.97127449
2010,data.Canada,data.Buildings,,81.58011776
2011,data.Canada,data.Buildings,,86.05319035
2012,data.Canada,data.Buildings,,84.5279333
2013,data.Canada,data.Buildings,,85.59531307
2014,data.Canada,data.Buildings,,86.10435142
2015,data.Canada,data.Buildings,,85.15612944
2016,data.Canada,data.Buildings,,86.0499153
2017,data.Canada,data.Buildings,,88.15150277
2018,data.Canada,data.Buildings,,92.21956565
2019,data.Canada,data.Buildings,,94.19175594
2020,data.Canada,data.Buildings,,88.58345131
2021,data.Canada,data.Buildings,,85.25659146
2022,data.Canada,data.Buildings,,88.78101967
1990,data.Canada,data.Heavy Industry,,96.79497931
1991,data.Canada,data.Heavy Industry,,96.61610724
1992,data.Canada,data.Heavy Industry,,94.05882926
1993,data.Canada,data.Heavy Industry,,93.47507834
1994,data.Canada,data.Heavy Industry,,98.87132587
1995,data.Canada,data.Heavy Industry,,99.72491955
1996,data.Canada,data.Heavy Industry,,102.6320288
1997,data.Canada,data.Heavy Industry,,102.5166949
1998,data.Canada,data.Heavy Industry,,98.88317026
1999,data.Canada,data.Heavy Industry,,96.64733661
2000,data.Canada,data.Heavy Industry,,96.23385466
2001,data.Canada,data.Heavy Industry,,90.86228417
2002,data.Canada,data.Heavy Industry,,91.27004675
2003,data.Canada,data.Heavy Industry,,90.0120549
2004,data.Canada,data.Heavy Industry,,93.02070667
2005,data.Canada,data.Heavy Industry,,88.02131827
2006,data.Canada,data.Heavy Industry,,88.07697887
2007,data.Canada,data.Heavy Industry,,86.33079314
2008,data.Canada,data.Heavy Industry,,84.64985288
2009,data.Canada,data.Heavy Industry,,71.52080411
2010,data.Canada,data.Heavy Industry,,74.74526615
2011,data.Canada,data.Heavy Industry,,80.87984844
2012,data.Canada,data.Heavy Industry,,80.8091545
2013,data.Canada,data.Heavy Industry,,79.76792473
2014,data.Canada,data.Heavy Industry,,81.92341957
2015,data.Canada,data.Heavy Industry,,79.50543461
2016,data.Canada,data.Heavy Industry,,76.64373974
2017,data.Canada,data.Heavy Industry,,77.37445922
2018,data.Canada,data.Heavy Industry,,79.76072183
2019,data.Canada,data.Heavy Industry,,79.25049789
2020,data.Canada,data.Heavy Industry,,74.27390933
2021,data.Canada,data.Heavy Industry,,77.6945461
2022,data.Canada,data.Heavy Industry,,77.92950281
1990,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,31.51521502
1991,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,29.15941302
1992,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,28.38540694
1993,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,25.59862278
1994,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,26.01501349
1995,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,28.12386903
1996,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,28.17438694
1997,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,28.87927693
1998,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,26.58140618
1999,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,27.23392416
2000,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,28.40468194
2001,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,26.83966841
2002,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,27.16444998
2003,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,27.11177638
2004,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,28.06512352
2005,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,27.55315694
2006,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,26.12601759
2007,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,26.14889348
2008,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,24.58650023
2009,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,21.12694831
2010,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,22.65465765
2011,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,24.06520301
2012,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,23.97259642
2013,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,24.39731101
2014,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,22.60303721
2015,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,23.47342616
2016,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,23.80649523
2017,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,24.57841508
2018,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,25.11831153
2019,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,25.06529677
2020,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,22.3487436
2021,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,23.24366335
2022,data.Canada,"data.Light Manufacturing, Construction and Forest Resources",,23.85641957
1990,data.Canada,data.Oil and Gas,,118.2008073
1991,data.Canada,data.Oil and Gas,,119.7154047
1992,data.Canada,data.Oil and Gas,,129.424116
1993,data.Canada,data.Oil and Gas,,138.2679247
1994,data.Canada,data.Oil and Gas,,144.429735
1995,data.Canada,data.Oil and Gas,,152.0964504
1996,data.Canada,data.Oil and Gas,,160.1742919
1997,data.Canada,data.Oil and Gas,,161.9912384
1998,data.Canada,data.Oil and Gas,,166.454243
1999,data.Canada,data.Oil and Gas,,173.6883136
2000,data.Canada,data.Oil and Gas,,178.9801163
2001,data.Canada,data.Oil and Gas,,180.5851935
2002,data.Canada,data.Oil and Gas,,184.7954817
2003,data.Canada,data.Oil and Gas,,188.8350351
2004,data.Canada,data.Oil and Gas,,192.2363031
2005,data.Canada,data.Oil and Gas,,195.3521113
2006,data.Canada,data.Oil and Gas,,202.2610799
2007,data.Canada,data.Oil and Gas,,206.7182336
2008,data.Canada,data.Oil and Gas,,202.8790334
2009,data.Canada,data.Oil and Gas,,198.0652367
2010,data.Canada,data.Oil and Gas,,203.6559604
2011,data.Canada,data.Oil and Gas,,210.4648937
2012,data.Canada,data.Oil and Gas,,218.9563355
2013,data.Canada,data.Oil and Gas,,223.5454443
2014,data.Canada,data.Oil and Gas,,229.7768359
2015,data.Canada,data.Oil and Gas,,229.1140249
2016,data.Canada,data.Oil and Gas,,214.1432698
2017,data.Canada,data.Oil and Gas,,220.722341
2018,data.Canada,data.Oil and Gas,,228.4771368
2019,data.Canada,data.Oil and Gas,,226.1482533
2020,data.Canada,data.Oil and Gas,,209.2249719
2021,data.Canada,data.Oil and Gas,,215.8156019
2022,data.Canada,data.Oil and Gas,,216.7439066
1990,data.Canada,data.Transport,,117.8741911
1991,data.Canada,data.Transport,,113.2456634
1992,data.Canada,data.Transport,,115.3073089
1993,data.Canada,data.Transport,,118.2581472
1994,data.Canada,data.Transport,,124.3445129
1995,data.Canada,data.Transport,,126.4088024
1996,data.Canada,data.Transport,,129.110335
1997,data.Canada,data.Transport,,133.3801784
1998,data.Canada,data.Transport,,136.4387576
1999,data.Canada,data.Transport,,140.4871115
2000,data.Canada,data.Transport,,141.6348916
2001,data.Canada,data.Transport,,141.7313221
2002,data.Canada,data.Transport,,143.8524776
2003,data.Canada,data.Transport,,148.911655
2004,data.Canada,data.Transport,,153.6480824
2005,data.Canada,data.Transport,,156.1641113
2006,data.Canada,data.Transport,,157.0573587
2007,data.Canada,data.Transport,,162.0285771
2008,data.Canada,data.Transport,,162.6231997
2009,data.Canada,data.Transport,,161.4627181
2010,data.Canada,data.Transport,,164.9516716
2011,data.Canada,data.Transport,,163.9207161
2012,data.Canada,data.Transport,,164.127176
2013,data.Canada,data.Transport,,166.6498877
2014,data.Canada,data.Transport,,164.2343667
2015,data.Canada,data.Transport,,162.2051042
2016,data.Canada,data.Transport,,162.019488
2017,data.Canada,data.Transport,,165.0231014
2018,data.Canada,data.Transport,,168.9774929
2019,data.Canada,data.Transport,,169.8438254
2020,data.Canada,data.Transport,,142.8735506
2021,data.Canada,data.Transport,,150.0505098
2022,data.Canada,data.Transport,,156.2900777
1990,data.Canada,data.Waste,,21.31446849
1991,data.Canada,data.Waste,,21.38272551
1992,data.Canada,data.Waste,,21.55104607
1993,data.Canada,data.Waste,,21.87492751
1994,data.Canada,data.Waste,,22.33970388
1995,data.Canada,data.Waste,,22.36875739
1996,data.Canada,data.Waste,,22.09693894
1997,data.Canada,data.Waste,,22.1170256
1998,data.Canada,data.Waste,,23.1281662
1999,data.Canada,data.Waste,,23.40090737
2000,data.Canada,data.Waste,,23.90039381
