Year,data.Event type,data.Event sub-type,Value
2010,data.Biological,data.Epidemic,1
2010,data.Geological,data.Earthquake,1
2010,data.Meteorological - Hydrological,data.Flood,7
2010,data.Meteorological - Hydrological,data.Hurricane / Typhoon / Tropical Storm,2
2010,data.Meteorological - Hydrological,data.Storm - Unspecified / Other,1
2010,data.Meteorological - Hydrological,data.Storm Surge,1
2010,data.Meteorological - Hydrological,data.Storms and Severe Thunderstorms,2
2010,data.Meteorological - Hydrological,data.Tornado,3
2010,data.Meteorological - Hydrological,data.Wildfire,5
2010,data.Meteorological - Hydrological,data.Winter Storm,1
2011,data.Meteorological - Hydrological,data.Flood,7
2011,data.Meteorological - Hydrological,data.Hurricane / Typhoon / Tropical Storm,1
2011,data.Meteorological - Hydrological,data.Tornado,1
2011,data.Meteorological - Hydrological,data.Wildfire,5
2012,data.Biological,data.Epidemic,1
2012,data.Meteorological - Hydrological,data.Flood,6
2012,data.Meteorological - Hydrological,data.Wildfire,10
2013,data.Meteorological - Hydrological,data.Flood,4
2013,data.Meteorological - Hydrological,data.Storms and Severe Thunderstorms,1
2013,data.Meteorological - Hydrological,data.Winter Storm,3
2014,data.Meteorological - Hydrological,data.Flood,5
2014,data.Meteorological - Hydrological,data.Hurricane / Typhoon / Tropical Storm,1
2014,data.Meteorological - Hydrological,data.Wildfire,2
2015,data.Meteorological - Hydrological,data.Flood,3
2015,data.Meteorological - Hydrological,data.Storm - Unspecified / Other,1
2015,data.Meteorological - Hydrological,data.Storms and Severe Thunderstorms,6
2015,data.Meteorological - Hydrological,data.Tornado,1
2015,data.Meteorological - Hydrological,data.Wildfire,2
2015,data.Meteorological - Hydrological,data.Winter Storm,1
2016,data.Biological,data.Epidemic,1
2016,data.Geological,data.Landslide,1
2016,data.Meteorological - Hydrological,data.Flood,7
2016,data.Meteorological - Hydrological,data.Storm - Unspecified / Other,4
2016,data.Meteorological - Hydrological,data.Storms and Severe Thunderstorms,7
2016,data.Meteorological - Hydrological,data.Tornado,1
2016,data.Meteorological - Hydrological,data.Wildfire,5
2016,data.Meteorological - Hydrological,data.Winter Storm,3
2017,data.Meteorological - Hydrological,data.Flood,3
2017,data.Meteorological - Hydrological,data.Storms and Severe Thunderstorms,1
2017,data.Meteorological - Hydrological,data.Wildfire,1
2017,data.Meteorological - Hydrological,data.Winter Storm,3
2018,data.Meteorological - Hydrological,data.Flood,3
2018,data.Meteorological - Hydrological,data.Heat Event,1
2018,data.Meteorological - Hydrological,data.Storm - Unspecified / Other,1
2018,data.Meteorological - Hydrological,data.Storms and Severe Thunderstorms,3
2018,data.Meteorological - Hydrological,data.Tornado,1
2018,data.Meteorological - Hydrological,data.Wildfire,2
2018,data.Meteorological - Hydrological,data.Winter Storm,1
2019,data.Meteorological - Hydrological,data.Flood,2
2019,data.Meteorological - Hydrological,data.Winter Storm,2
