Year,data.Geography,data.Core public infrastructure assets,data.Type of municipality by population size,GeoCode,Value
2016,data.Canada,data.Potable water,data.All municipalities,,29.45
2016,data.Canada,data.Potable water,data.All urban municipalities,,32.43
2016,data.Canada,data.Potable water,"data.Urban municipalities, population 1 to 4,999",,22.11
2016,data.Canada,data.Potable water,"data.Urban municipalities, population 5,000 to 29,999",,36.05
2016,data.Canada,data.Potable water,"data.Urban municipalities, population 30,000 or more",,41.67
2016,data.Canada,data.Potable water,data.All rural municipalities,,27.61
2016,data.Canada,data.Potable water,"data.Rural municipalities, population 1 to 4,999",,26.54
2016,data.Canada,data.Potable water,"data.Rural municipalities, population 5,000 or more",,31.08
2016,data.Canada,data.Stormwater,data.All municipalities,,51.11
2016,data.Canada,data.Stormwater,data.All urban municipalities,,59.42
2016,data.Canada,data.Stormwater,"data.Urban municipalities, population 1 to 4,999",,37.91
2016,data.Canada,data.Stormwater,"data.Urban municipalities, population 5,000 to 29,999",,64.03
2016,data.Canada,data.Stormwater,"data.Urban municipalities, population 30,000 or more",,77.18
2016,data.Canada,data.Stormwater,data.All rural municipalities,,45.44
2016,data.Canada,data.Stormwater,"data.Rural municipalities, population 1 to 4,999",,44.87
2016,data.Canada,data.Stormwater,"data.Rural municipalities, population 5,000 or more",,46.98
2016,data.Canada,data.Wastewater,data.All municipalities,,35.37
2016,data.Canada,data.Wastewater,data.All urban municipalities,,39.44
2016,data.Canada,data.Wastewater,"data.Urban municipalities, population 1 to 4,999",,28.21
2016,data.Canada,data.Wastewater,"data.Urban municipalities, population 5,000 to 29,999",,42.15
2016,data.Canada,data.Wastewater,"data.Urban municipalities, population 30,000 or more",,50.36
2016,data.Canada,data.Wastewater,data.All rural municipalities,,33.02
2016,data.Canada,data.Wastewater,"data.Rural municipalities, population 1 to 4,999",,32.6
2016,data.Canada,data.Wastewater,"data.Rural municipalities, population 5,000 or more",,34.08
2016,data.Canada,data.Solid waste,data.All municipalities,,15.27
2016,data.Canada,data.Solid waste,data.All urban municipalities,,18.18
2016,data.Canada,data.Solid waste,"data.Urban municipalities, population 1 to 4,999",,11.76
2016,data.Canada,data.Solid waste,"data.Urban municipalities, population 5,000 to 29,999",,19.38
2016,data.Canada,data.Solid waste,"data.Urban municipalities, population 30,000 or more",,23.23
2016,data.Canada,data.Solid waste,data.All rural municipalities,,13.67
2016,data.Canada,data.Solid waste,"data.Rural municipalities, population 1 to 4,999",,16.1
2016,data.Canada,data.Solid waste,"data.Rural municipalities, population 5,000 or more",,6.92
2016,data.Newfoundland and Labrador,data.Potable water,data.All municipalities,10,35.48
2016,data.Newfoundland and Labrador,data.Potable water,data.All urban municipalities,10,23.08
2016,data.Newfoundland and Labrador,data.Potable water,"data.Urban municipalities, population 1 to 4,999",10,18.75
2016,data.Newfoundland and Labrador,data.Potable water,"data.Urban municipalities, population 5,000 to 29,999",10,22.22
2016,data.Newfoundland and Labrador,data.Potable water,"data.Urban municipalities, population 30,000 or more",10,100.0
2016,data.Newfoundland and Labrador,data.Potable water,data.All rural municipalities,10,44.44
2016,data.Newfoundland and Labrador,data.Potable water,"data.Rural municipalities, population 1 to 4,999",10,36.67
2016,data.Newfoundland and Labrador,data.Potable water,"data.Rural municipalities, population 5,000 or more",10,83.33
2016,data.Newfoundland and Labrador,data.Stormwater,data.All municipalities,10,71.43
2016,data.Newfoundland and Labrador,data.Stormwater,data.All urban municipalities,10,66.67
