Year,data.Geography,GeoCode,Value
1990,,,4.5
1991,,,4.5
1992,,,4.7
1993,,,4.8
1994,,,4.8
1995,,,5.2
1996,,,5.3
1997,,,5.4
1998,,,5.7
1999,,,5.9
2000,,,6.0
2001,,,6.3
2002,,,6.4
2003,,,6.9
2004,,,7.0
2005,,,7.3
2006,,,7.3
2007,,,7.6
2008,,,8.1
2009,,,8.4
2010,,,8.5
2011,,,8.8
2012,,,9.2
2013,,,9.6
2014,,,9.6
2015,,,10.2
2016,,,10.2
2017,,,10.2
2018,,,11.3
2019,,,12.1
2020,,,13.0
2021,,,13.5
2022,,,13.6
2023,,,13.7
2022,data.Alberta,48,15.4
2022,data.British Columbia,59,19.6
2022,data.Manitoba,46,11.0
2022,data.New Brunswick,13,9.9
2022,data.Newfoundland and Labrador,10,6.9
2022,data.Northwest Territories,61,15.8
2022,data.Nova Scotia,12,13.2
2022,data.Nunavut,62,10.2
2022,data.Ontario,35,10.9
2022,data.Prince Edward Island,11,4.8
2022,data.Quebec,24,16.8
2022,data.Saskatchewan,47,9.8
2022,data.Yukon,60,19.3
2023,data.Alberta,48,15.5
2023,data.British Columbia,59,19.7
2023,data.Manitoba,46,11.1
2023,data.New Brunswick,13,10.3
2023,data.Newfoundland and Labrador,10,7.0
2023,data.Northwest Territories,61,15.8
2023,data.Nova Scotia,12,13.6
2023,data.Nunavut,62,10.2
2023,data.Ontario,35,10.9
2023,data.Prince Edward Island,11,5.1
2023,data.Quebec,24,16.9
2023,data.Saskatchewan,47,9.8
2023,data.Yukon,60,21.1
