Year,data.Geography,data.Violations,GeoCode,Value
2015,,,,1070.26
2016,,,,1076.07
2017,,,,1112.66
2018,,,,1151.59
2019,,,,1279.05
2020,,,,1265.74
2021,,,,1331.58
2022,,,,1364.61
2015,data.Canada,data.Homicide [110],,1.71
2015,data.Canada,data.Total other violations causing death [120],,0.24
2015,data.Canada,data.Attempted murder [1210],,2.18
2015,data.Canada,"data.Sexual assault, level 3, aggravated [1310]",,0.29
2015,data.Canada,"data.Sexual assault, level 2, weapon or bodily harm [1320]",,1.06
2015,data.Canada,"data.Sexual assault, level 1 [1330]",,57.32
2015,data.Canada,data.Total sexual violations against children [130],,14.72
2015,data.Canada,"data.Assault, level 3, aggravated [1410]",,9.3
2015,data.Canada,"data.Assault, level 2, weapon or bodily harm [1420]",,132.73
2015,data.Canada,"data.Assault, level 1 [1430]",,439.87
2015,data.Canada,data.Total robbery [160],,62.04
2015,data.Canada,data.Uttering threats [1627],,175.94
2015,data.Canada,data.Total other violent violations [180],,14.16
2015,data.Newfoundland and Labrador,data.Total violent Criminal Code violations [100],10,1368.64
2015,data.Newfoundland and Labrador,data.Homicide [110],10,0.57
2015,data.Newfoundland and Labrador,data.Total other violations causing death [120],10,0.0
2015,data.Newfoundland and Labrador,data.Attempted murder [1210],10,0.76
2015,data.Newfoundland and Labrador,"data.Sexual assault, level 3, aggravated [1310]",10,0.19
2015,data.Newfoundland and Labrador,"data.Sexual assault, level 2, weapon or bodily harm [1320]",10,0.19
2015,data.Newfoundland and Labrador,"data.Sexual assault, level 1 [1330]",10,68.55
2015,data.Newfoundland and Labrador,data.Total sexual violations against children [130],10,19.12
2015,data.Newfoundland and Labrador,"data.Assault, level 3, aggravated [1410]",10,7.38
2015,data.Newfoundland and Labrador,"data.Assault, level 2, weapon or bodily harm [1420]",10,114.94
2015,data.Newfoundland and Labrador,"data.Assault, level 1 [1430]",10,600.44
2015,data.Newfoundland and Labrador,data.Total robbery [160],10,35.41
2015,data.Newfoundland and Labrador,data.Uttering threats [1627],10,351.82
2015,data.Newfoundland and Labrador,data.Total other violent violations [180],10,9.09
2015,data.Prince Edward Island,data.Total violent Criminal Code violations [100],11,749.24
2015,data.Prince Edward Island,data.Homicide [110],11,0.69
2015,data.Prince Edward Island,data.Total other violations causing death [120],11,0.0
2015,data.Prince Edward Island,data.Attempted murder [1210],11,2.08
2015,data.Prince Edward Island,"data.Sexual assault, level 3, aggravated [1310]",11,0.0
2015,data.Prince Edward Island,"data.Sexual assault, level 2, weapon or bodily harm [1320]",11,0.0
2015,data.Prince Edward Island,"data.Sexual assault, level 1 [1330]",11,48.43
2015,data.Prince Edward Island,data.Total sexual violations against children [130],11,15.91
2015,data.Prince Edward Island,"data.Assault, level 3, aggravated [1410]",11,4.15
2015,data.Prince Edward Island,"data.Assault, level 2, weapon or bodily harm [1420]",11,62.26
2015,data.Prince Edward Island,"data.Assault, level 1 [1430]",11,312.7
2015,data.Prince Edward Island,data.Total robbery [160],11,11.07
2015,data.Prince Edward Island,data.Uttering threats [1627],11,140.44
2015,data.Prince Edward Island,data.Total other violent violations [180],11,13.84
2015,data.Nova Scotia,data.Total violent Criminal Code violations [100],12,1205.84
2015,data.Nova Scotia,data.Homicide [110],12,1.28
2015,data.Nova Scotia,data.Total other violations causing death [120],12,0.21
2015,data.Nova Scotia,data.Attempted murder [1210],12,3.52
2015,data.Nova Scotia,"data.Sexual assault, level 3, aggravated [1310]",12,0.43
2015,data.Nova Scotia,"data.Sexual assault, level 2, weapon or bodily harm [1320]",12,0.75
2015,data.Nova Scotia,"data.Sexual assault, level 1 [1330]",12,69.62
