Year,data.Geography,data.Type of case,data.Elapsed time,GeoCode,Value
2014/2015,data.Canada,data.Total cases,data.Less than or equal to 3 months,,52.22
2014/2015,data.Canada,data.Total cases,data.Greater than 3 months to 6 months,,17.57
2014/2015,data.Canada,data.Total cases,data.Greater than 6 months to 12 months,,14.53
2014/2015,data.Canada,data.Total cases,data.Greater than 12 months to 24 months,,8.07
2014/2015,data.Canada,data.Total cases,data.Greater than 24 months,,7.52
2014/2015,data.Canada,data.Total cases,data.Unknown,,0.09
2014/2015,data.Canada,data.General civil cases,data.Less than or equal to 3 months,,45.77
2014/2015,data.Canada,data.General civil cases,data.Greater than 3 months to 6 months,,16.88
2014/2015,data.Canada,data.General civil cases,data.Greater than 6 months to 12 months,,17.57
2014/2015,data.Canada,data.General civil cases,data.Greater than 12 months to 24 months,,9.94
2014/2015,data.Canada,data.General civil cases,data.Greater than 24 months,,9.8
2014/2015,data.Canada,data.General civil cases,data.Unknown,,0.04
2014/2015,data.Canada,data.Family cases,data.Less than or equal to 3 months,,62.54
2014/2015,data.Canada,data.Family cases,data.Greater than 3 months to 6 months,,18.69
2014/2015,data.Canada,data.Family cases,data.Greater than 6 months to 12 months,,9.66
2014/2015,data.Canada,data.Family cases,data.Greater than 12 months to 24 months,,5.08
2014/2015,data.Canada,data.Family cases,data.Greater than 24 months,,3.87
2014/2015,data.Canada,data.Family cases,data.Unknown,,0.16
2014/2015,data.Prince Edward Island,data.Total cases,data.Less than or equal to 3 months,11,
2014/2015,data.Prince Edward Island,data.Total cases,data.Greater than 3 months to 6 months,11,
2014/2015,data.Prince Edward Island,data.Total cases,data.Greater than 6 months to 12 months,11,
2014/2015,data.Prince Edward Island,data.Total cases,data.Greater than 12 months to 24 months,11,
2014/2015,data.Prince Edward Island,data.Total cases,data.Greater than 24 months,11,
2014/2015,data.Prince Edward Island,data.Total cases,data.Unknown,11,
2014/2015,data.Prince Edward Island,data.General civil cases,data.Less than or equal to 3 months,11,
2014/2015,data.Prince Edward Island,data.General civil cases,data.Greater than 3 months to 6 months,11,
2014/2015,data.Prince Edward Island,data.General civil cases,data.Greater than 6 months to 12 months,11,
2014/2015,data.Prince Edward Island,data.General civil cases,data.Greater than 12 months to 24 months,11,
2014/2015,data.Prince Edward Island,data.General civil cases,data.Greater than 24 months,11,
2014/2015,data.Prince Edward Island,data.General civil cases,data.Unknown,11,
2014/2015,data.Prince Edward Island,data.Family cases,data.Less than or equal to 3 months,11,
2014/2015,data.Prince Edward Island,data.Family cases,data.Greater than 3 months to 6 months,11,
2014/2015,data.Prince Edward Island,data.Family cases,data.Greater than 6 months to 12 months,11,
2014/2015,data.Prince Edward Island,data.Family cases,data.Greater than 12 months to 24 months,11,
2014/2015,data.Prince Edward Island,data.Family cases,data.Greater than 24 months,11,
2014/2015,data.Prince Edward Island,data.Family cases,data.Unknown,11,
2014/2015,data.Nova Scotia,data.Total cases,data.Less than or equal to 3 months,12,43.31
2014/2015,data.Nova Scotia,data.Total cases,data.Greater than 3 months to 6 months,12,17.73
2014/2015,data.Nova Scotia,data.Total cases,data.Greater than 6 months to 12 months,12,14.62
2014/2015,data.Nova Scotia,data.Total cases,data.Greater than 12 months to 24 months,12,12.23
2014/2015,data.Nova Scotia,data.Total cases,data.Greater than 24 months,12,11.38
2014/2015,data.Nova Scotia,data.Total cases,data.Unknown,12,0.74
2014/2015,data.Nova Scotia,data.General civil cases,data.Less than or equal to 3 months,12,36.63
2014/2015,data.Nova Scotia,data.General civil cases,data.Greater than 3 months to 6 months,12,13.14
2014/2015,data.Nova Scotia,data.General civil cases,data.Greater than 6 months to 12 months,12,15.32
2014/2015,data.Nova Scotia,data.General civil cases,data.Greater than 12 months to 24 months,12,16.75
2014/2015,data.Nova Scotia,data.General civil cases,data.Greater than 24 months,12,18.04
2014/2015,data.Nova Scotia,data.General civil cases,data.Unknown,12,0.12
2014/2015,data.Nova Scotia,data.Family cases,data.Less than or equal to 3 months,12,46.85
2014/2015,data.Nova Scotia,data.Family cases,data.Greater than 3 months to 6 months,12,20.16
2014/2015,data.Nova Scotia,data.Family cases,data.Greater than 6 months to 12 months,12,14.24
2014/2015,data.Nova Scotia,data.Family cases,data.Greater than 12 months to 24 months,12,9.83
2014/2015,data.Nova Scotia,data.Family cases,data.Greater than 24 months,12,7.85
2014/2015,data.Nova Scotia,data.Family cases,data.Unknown,12,1.07
2014/2015,data.New Brunswick,data.Total cases,data.Less than or equal to 3 months,13,53.68
2014/2015,data.New Brunswick,data.Total cases,data.Greater than 3 months to 6 months,13,17.45
2014/2015,data.New Brunswick,data.Total cases,data.Greater than 6 months to 12 months,13,14.53
2014/2015,data.New Brunswick,data.Total cases,data.Greater than 12 months to 24 months,13,9.64
2014/2015,data.New Brunswick,data.Total cases,data.Greater than 24 months,13,4.32
2014/2015,data.New Brunswick,data.Total cases,data.Unknown,13,0.39
2014/2015,data.New Brunswick,data.General civil cases,data.Less than or equal to 3 months,13,50.79
2014/2015,data.New Brunswick,data.General civil cases,data.Greater than 3 months to 6 months,13,18.75
2014/2015,data.New Brunswick,data.General civil cases,data.Greater than 6 months to 12 months,13,14.56
2014/2015,data.New Brunswick,data.General civil cases,data.Greater than 12 months to 24 months,13,10.07
2014/2015,data.New Brunswick,data.General civil cases,data.Greater than 24 months,13,5.24
2014/2015,data.New Brunswick,data.General civil cases,data.Unknown,13,0.59
2014/2015,data.New Brunswick,data.Family cases,data.Less than or equal to 3 months,13,57.44
2014/2015,data.New Brunswick,data.Family cases,data.Greater than 3 months to 6 months,13,15.75
2014/2015,data.New Brunswick,data.Family cases,data.Greater than 6 months to 12 months,13,14.48
2014/2015,data.New Brunswick,data.Family cases,data.Greater than 12 months to 24 months,13,9.07
2014/2015,data.New Brunswick,data.Family cases,data.Greater than 24 months,13,3.12
2014/2015,data.New Brunswick,data.Family cases,data.Unknown,13,0.13
2014/2015,data.Ontario,data.Total cases,data.Less than or equal to 3 months,35,49.04
2014/2015,data.Ontario,data.Total cases,data.Greater than 3 months to 6 months,35,18.11
2014/2015,data.Ontario,data.Total cases,data.Greater than 6 months to 12 months,35,15.7
2014/2015,data.Ontario,data.Total cases,data.Greater than 12 months to 24 months,35,8.2
2014/2015,data.Ontario,data.Total cases,data.Greater than 24 months,35,8.92
2014/2015,data.Ontario,data.Total cases,data.Unknown,35,0.02
2014/2015,data.Ontario,data.General civil cases,data.Less than or equal to 3 months,35,38.13
2014/2015,data.Ontario,data.General civil cases,data.Greater than 3 months to 6 months,35,18.12
2014/2015,data.Ontario,data.General civil cases,data.Greater than 6 months to 12 months,35,20.6
2014/2015,data.Ontario,data.General civil cases,data.Greater than 12 months to 24 months,35,10.75
2014/2015,data.Ontario,data.General civil cases,data.Greater than 24 months,35,12.37
2014/2015,data.Ontario,data.General civil cases,data.Unknown,35,0.02
2014/2015,data.Ontario,data.Family cases,data.Less than or equal to 3 months,35,67.47
2014/2015,data.Ontario,data.Family cases,data.Greater than 3 months to 6 months,35,18.09
2014/2015,data.Ontario,data.Family cases,data.Greater than 6 months to 12 months,35,7.42
2014/2015,data.Ontario,data.Family cases,data.Greater than 12 months to 24 months,35,3.9
2014/2015,data.Ontario,data.Family cases,data.Greater than 24 months,35,3.08
2014/2015,data.Ontario,data.Family cases,data.Unknown,35,0.04
2014/2015,data.Saskatchewan,data.Total cases,data.Less than or equal to 3 months,47,
2014/2015,data.Saskatchewan,data.Total cases,data.Greater than 3 months to 6 months,47,
2014/2015,data.Saskatchewan,data.Total cases,data.Greater than 6 months to 12 months,47,
2014/2015,data.Saskatchewan,data.Total cases,data.Greater than 12 months to 24 months,47,
2014/2015,data.Saskatchewan,data.Total cases,data.Greater than 24 months,47,
2014/2015,data.Saskatchewan,data.Total cases,data.Unknown,47,
2014/2015,data.Saskatchewan,data.General civil cases,data.Less than or equal to 3 months,47,
2014/2015,data.Saskatchewan,data.General civil cases,data.Greater than 3 months to 6 months,47,
2014/2015,data.Saskatchewan,data.General civil cases,data.Greater than 6 months to 12 months,47,
2014/2015,data.Saskatchewan,data.General civil cases,data.Greater than 12 months to 24 months,47,
2014/2015,data.Saskatchewan,data.General civil cases,data.Greater than 24 months,47,
2014/2015,data.Saskatchewan,data.General civil cases,data.Unknown,47,
2014/2015,data.Saskatchewan,data.Family cases,data.Less than or equal to 3 months,47,
2014/2015,data.Saskatchewan,data.Family cases,data.Greater than 3 months to 6 months,47,
2014/2015,data.Saskatchewan,data.Family cases,data.Greater than 6 months to 12 months,47,
2014/2015,data.Saskatchewan,data.Family cases,data.Greater than 12 months to 24 months,47,
2014/2015,data.Saskatchewan,data.Family cases,data.Greater than 24 months,47,
2014/2015,data.Saskatchewan,data.Family cases,data.Unknown,47,
2014/2015,data.Alberta,data.Total cases,data.Less than or equal to 3 months,48,63.81
2014/2015,data.Alberta,data.Total cases,data.Greater than 3 months to 6 months,48,12.55
2014/2015,data.Alberta,data.Total cases,data.Greater than 6 months to 12 months,48,11.11
2014/2015,data.Alberta,data.Total cases,data.Greater than 12 months to 24 months,48,6.95
2014/2015,data.Alberta,data.Total cases,data.Greater than 24 months,48,5.56
2014/2015,data.Alberta,data.Total cases,data.Unknown,48,0.02
2014/2015,data.Alberta,data.General civil cases,data.Less than or equal to 3 months,48,61.92
2014/2015,data.Alberta,data.General civil cases,data.Greater than 3 months to 6 months,48,10.59
2014/2015,data.Alberta,data.General civil cases,data.Greater than 6 months to 12 months,48,12.03
2014/2015,data.Alberta,data.General civil cases,data.Greater than 12 months to 24 months,48,8.12
2014/2015,data.Alberta,data.General civil cases,data.Greater than 24 months,48,7.32
2014/2015,data.Alberta,data.General civil cases,data.Unknown,48,0.03
2014/2015,data.Alberta,data.Family cases,data.Less than or equal to 3 months,48,66.6
2014/2015,data.Alberta,data.Family cases,data.Greater than 3 months to 6 months,48,15.42
2014/2015,data.Alberta,data.Family cases,data.Greater than 6 months to 12 months,48,9.75
2014/2015,data.Alberta,data.Family cases,data.Greater than 12 months to 24 months,48,5.24
2014/2015,data.Alberta,data.Family cases,data.Greater than 24 months,48,2.98
2014/2015,data.Alberta,data.Family cases,data.Unknown,48,0.01
2014/2015,data.British Columbia,data.Total cases,data.Less than or equal to 3 months,59,46.0
2014/2015,data.British Columbia,data.Total cases,data.Greater than 3 months to 6 months,59,22.7
2014/2015,data.British Columbia,data.Total cases,data.Greater than 6 months to 12 months,59,15.85
2014/2015,data.British Columbia,data.Total cases,data.Greater than 12 months to 24 months,59,8.84
2014/2015,data.British Columbia,data.Total cases,data.Greater than 24 months,59,6.38
2014/2015,data.British Columbia,data.Total cases,data.Unknown,59,0.23
2014/2015,data.British Columbia,data.General civil cases,data.Less than or equal to 3 months,59,45.43
2014/2015,data.British Columbia,data.General civil cases,data.Greater than 3 months to 6 months,59,21.51
2014/2015,data.British Columbia,data.General civil cases,data.Greater than 6 months to 12 months,59,16.83
2014/2015,data.British Columbia,data.General civil cases,data.Greater than 12 months to 24 months,59,9.96
2014/2015,data.British Columbia,data.General civil cases,data.Greater than 24 months,59,6.18
2014/2015,data.British Columbia,data.General civil cases,data.Unknown,59,0.09
2014/2015,data.British Columbia,data.Family cases,data.Less than or equal to 3 months,59,47.02
2014/2015,data.British Columbia,data.Family cases,data.Greater than 3 months to 6 months,59,24.82
2014/2015,data.British Columbia,data.Family cases,data.Greater than 6 months to 12 months,59,14.09
2014/2015,data.British Columbia,data.Family cases,data.Greater than 12 months to 24 months,59,6.85
2014/2015,data.British Columbia,data.Family cases,data.Greater than 24 months,59,6.75
2014/2015,data.British Columbia,data.Family cases,data.Unknown,59,0.48
2014/2015,data.Yukon,data.Total cases,data.Less than or equal to 3 months,60,59.54
2014/2015,data.Yukon,data.Total cases,data.Greater than 3 months to 6 months,60,14.86
2014/2015,data.Yukon,data.Total cases,data.Greater than 6 months to 12 months,60,13.35
2014/2015,data.Yukon,data.Total cases,data.Greater than 12 months to 24 months,60,8.43
2014/2015,data.Yukon,data.Total cases,data.Greater than 24 months,60,3.82
2014/2015,data.Yukon,data.Total cases,data.Unknown,60,0.0
2014/2015,data.Yukon,data.General civil cases,data.Less than or equal to 3 months,60,56.46
2014/2015,data.Yukon,data.General civil cases,data.Greater than 3 months to 6 months,60,14.46
2014/2015,data.Yukon,data.General civil cases,data.Greater than 6 months to 12 months,60,15.08
2014/2015,data.Yukon,data.General civil cases,data.Greater than 12 months to 24 months,60,9.38
2014/2015,data.Yukon,data.General civil cases,data.Greater than 24 months,60,4.62
2014/2015,data.Yukon,data.General civil cases,data.Unknown,60,0.0
