Year,data.Institutions,data.Characteristics,data.Level of confidence,Value
2019,,,,41
2019,data.Police,data.Total population,data.Some confidence,49
2019,data.Police,data.Total population,data.Not very much or no confidence,9
2019,data.Police,data.Male,data.A great deal of confidence,41
2019,data.Police,data.Male,data.Some confidence,49
2019,data.Police,data.Male,data.Not very much or no confidence,10
2019,data.Police,data.Female,data.A great deal of confidence,42
2019,data.Police,data.Female,data.Some confidence,49
2019,data.Police,data.Female,data.Not very much or no confidence,9
2019,data.Police,data.Indigenous person,data.A great deal of confidence,27
2019,data.Police,data.Indigenous person,data.Some confidence,55
2019,data.Police,data.Indigenous person,data.Not very much or no confidence,16
2019,data.Police,data.Non-Indigenous person,data.A great deal of confidence,42
2019,data.Police,data.Non-Indigenous person,data.Some confidence,49
2019,data.Police,data.Non-Indigenous person,data.Not very much or no confidence,9
2019,data.Police,data.Visible minority,data.A great deal of confidence,35
2019,data.Police,data.Visible minority,data.Some confidence,52
2019,data.Police,data.Visible minority,data.Not very much or no confidence,13
2019,data.Police,data.Non-visible minority,data.A great deal of confidence,44
2019,data.Police,data.Non-visible minority,data.Some confidence,48
2019,data.Police,data.Non-visible minority,data.Not very much or no confidence,8
