Year,Region,Goods and services (products),Value
2015,,,1035.264
2015,All regions,"Total, environmental products",669.059
2015,All regions,"Total, clean technology products",366.207
2016,,,946.424
2016,All regions,"Total, environmental products",619.046
2016,All regions,"Total, clean technology products",327.372
2017,,,1026.612
2017,All regions,"Total, environmental products",718.022
2017,All regions,"Total, clean technology products",308.595
2018,,,977.962
2018,All regions,"Total, environmental products",647.58
2018,All regions,"Total, clean technology products",330.386
2019,,,1122.255
2019,All regions,"Total, environmental products",586.736
2019,All regions,"Total, clean technology products",535.52
2020,,,1013.389
2020,All regions,"Total, environmental products",473.014
2020,All regions,"Total, clean technology products",540.375
2021,,,1312.017
2021,All regions,"Total, environmental products",690.704
2021,All regions,"Total, clean technology products",621.312
2022,,,1252.392
2022,All regions,"Total, environmental products",731.638
2022,All regions,"Total, clean technology products",520.75
2015,Europe,"Total, environmental and clean technology products",5.863
2015,Europe,"Total, environmental products",3.773
2015,Europe,"Total, clean technology products",2.09
2015,North America,"Total, environmental and clean technology products",47.027
2015,North America,"Total, environmental products",0.866
2015,North America,"Total, clean technology products",46.161
2015,Africa,"Total, environmental and clean technology products",54.445
2015,Africa,"Total, environmental products",16.184
2015,Africa,"Total, clean technology products",38.264
2015,South America,"Total, environmental and clean technology products",59.309
2015,South America,"Total, environmental products",2.093
2015,South America,"Total, clean technology products",57.215
2015,Central America,"Total, environmental and clean technology products",10.067
2015,Central America,"Total, environmental products",1.236
2015,Central America,"Total, clean technology products",8.831
2015,Antilles,"Total, environmental and clean technology products",21.327
2015,Antilles,"Total, environmental products",1.569
2015,Antilles,"Total, clean technology products",19.76
2015,Middle East,"Total, environmental and clean technology products",8.263
2015,Middle East,"Total, environmental products",0.05
2015,Middle East,"Total, clean technology products",8.213
2015,Oceania,"Total, environmental and clean technology products",1.765
2015,Oceania,"Total, environmental products",0.015
2015,Oceania,"Total, clean technology products",1.75
2015,Asia,"Total, environmental and clean technology products",827.198
2015,Asia,"Total, environmental products",643.273
2015,Asia,"Total, clean technology products",183.923
2016,Europe,"Total, environmental and clean technology products",2.065
2016,Europe,"Total, environmental products",0.02
2016,Europe,"Total, clean technology products",2.044
2016,North America,"Total, environmental and clean technology products",44.726
2016,North America,"Total, environmental products",1.819
2016,North America,"Total, clean technology products",42.907
2016,Africa,"Total, environmental and clean technology products",61.242
2016,Africa,"Total, environmental products",3.641
2016,Africa,"Total, clean technology products",57.599
2016,South America,"Total, environmental and clean technology products",37.531
2016,South America,"Total, environmental products",0.796
2016,South America,"Total, clean technology products",36.735
2016,Central America,"Total, environmental and clean technology products",5.315
2016,Central America,"Total, environmental products",0.005
2016,Central America,"Total, clean technology products",5.309
2016,Antilles,"Total, environmental and clean technology products",14.376
2016,Antilles,"Total, environmental products",0.578
2016,Antilles,"Total, clean technology products",13.797
2016,Middle East,"Total, environmental and clean technology products",3.32
2016,Middle East,"Total, environmental products",0.062
2016,Middle East,"Total, clean technology products",3.257
2016,Oceania,"Total, environmental and clean technology products",0.375
2016,Oceania,"Total, environmental products",0.0
2016,Oceania,"Total, clean technology products",0.375
2016,Asia,"Total, environmental and clean technology products",777.474
2016,Asia,"Total, environmental products",612.125
2016,Asia,"Total, clean technology products",165.349
2017,Europe,"Total, environmental and clean technology products",1.342
2017,Europe,"Total, environmental products",0.018
2017,Europe,"Total, clean technology products",1.324
2017,North America,"Total, environmental and clean technology products",75.979
2017,North America,"Total, environmental products",35.163
2017,North America,"Total, clean technology products",40.816
2017,Africa,"Total, environmental and clean technology products",64.21
2017,Africa,"Total, environmental products",10.007
2017,Africa,"Total, clean technology products",54.204
2017,South America,"Total, environmental and clean technology products",42.546
2017,South America,"Total, environmental products",1.989
2017,South America,"Total, clean technology products",40.557
2017,Central America,"Total, environmental and clean technology products",3.469
2017,Central America,"Total, environmental products",0.024
2017,Central America,"Total, clean technology products",3.445
2017,Antilles,"Total, environmental and clean technology products",11.562
2017,Antilles,"Total, environmental products",0.699
2017,Antilles,"Total, clean technology products",10.863
2017,Middle East,"Total, environmental and clean technology products",2.927
2017,Middle East,"Total, environmental products",0.114
2017,Middle East,"Total, clean technology products",2.814
2017,Oceania,"Total, environmental and clean technology products",0.255
2017,Oceania,"Total, environmental products",0.009
2017,Oceania,"Total, clean technology products",0.246
2017,Asia,"Total, environmental and clean technology products",824.322
2017,Asia,"Total, environmental products",669.999
2017,Asia,"Total, clean technology products",154.326
2018,Europe,"Total, environmental and clean technology products",2.064
2018,Europe,"Total, environmental products",0.289
2018,Europe,"Total, clean technology products",1.775
2018,North America,"Total, environmental and clean technology products",90.869
2018,North America,"Total, environmental products",32.112
2018,North America,"Total, clean technology products",58.758
2018,Africa,"Total, environmental and clean technology products",46.096
2018,Africa,"Total, environmental products",12.791
2018,Africa,"Total, clean technology products",33.306
2018,South America,"Total, environmental and clean technology products",79.344
2018,South America,"Total, environmental products",29.302
2018,South America,"Total, clean technology products",50.043
2018,Central America,"Total, environmental and clean technology products",9.303
2018,Central America,"Total, environmental products",6.642
2018,Central America,"Total, clean technology products",2.662
2018,Antilles,"Total, environmental and clean technology products",12.359
2018,Antilles,"Total, environmental products",0.933
2018,Antilles,"Total, clean technology products",11.426
2018,Middle East,"Total, environmental and clean technology products",4.439
2018,Middle East,"Total, environmental products",0.167
2018,Middle East,"Total, clean technology products",4.273
2018,Oceania,"Total, environmental and clean technology products",0.766
2018,Oceania,"Total, environmental products",0.0
2018,Oceania,"Total, clean technology products",0.766
2018,Asia,"Total, environmental and clean technology products",732.722
2018,Asia,"Total, environmental products",565.344
2018,Asia,"Total, clean technology products",167.377
2019,Europe,"Total, environmental and clean technology products",2.267
2019,Europe,"Total, environmental products",1.054
2019,Europe,"Total, clean technology products",1.213
2019,North America,"Total, environmental and clean technology products",80.283
2019,North America,"Total, environmental products",15.752
2019,North America,"Total, clean technology products",64.531
2019,Africa,"Total, environmental and clean technology products",162.128
2019,Africa,"Total, environmental products",49.979
2019,Africa,"Total, clean technology products",112.151
2019,South America,"Total, environmental and clean technology products",82.364
2019,South America,"Total, environmental products",24.256
2019,South America,"Total, clean technology products",58.108
2019,Central America,"Total, environmental and clean technology products",3.312
2019,Central America,"Total, environmental products",0.135
2019,Central America,"Total, clean technology products",3.178
2019,Antilles,"Total, environmental and clean technology products",10.82
2019,Antilles,"Total, environmental products",0.245
