Year,data.Geography,data.Living arrangement,data.Household food security status,Value
2015-2016,data.Canada,data.Total all living arrangements,data.Food secure,
2017-2018,data.Canada,data.Total all living arrangements,data.Food secure,87.3
2015-2016,data.Canada,data.Total all living arrangements,data.Food insecure marginal,
2017-2018,data.Canada,data.Total all living arrangements,data.Food insecure marginal,4.0
2015-2016,data.Canada,data.Total all living arrangements,data.Food insecure moderate and severe,
2017-2018,data.Canada,data.Total all living arrangements,data.Food insecure moderate and severe,8.7
2015-2016,data.Canada,data.Female living alone,data.Food secure,
2017-2018,data.Canada,data.Female living alone,data.Food secure,83.8
2015-2016,data.Canada,data.Female living alone,data.Food insecure marginal,
2017-2018,data.Canada,data.Female living alone,data.Food insecure marginal,4.1
2015-2016,data.Canada,data.Female living alone,data.Food insecure moderate and severe,
2017-2018,data.Canada,data.Female living alone,data.Food insecure moderate and severe,12.1
2015-2016,data.Canada,data.Male living alone,data.Food secure,
2017-2018,data.Canada,data.Male living alone,data.Food secure,83.3
2015-2016,data.Canada,data.Male living alone,data.Food insecure marginal,
2017-2018,data.Canada,data.Male living alone,data.Food insecure marginal,4.7
2015-2016,data.Canada,data.Male living alone,data.Food insecure moderate and severe,
2017-2018,data.Canada,data.Male living alone,data.Food insecure moderate and severe,12.0
2015-2016,data.Canada,data.Couple no children,data.Food secure,
2017-2018,data.Canada,data.Couple no children,data.Food secure,94.3
2015-2016,data.Canada,data.Couple no children,data.Food insecure marginal,
2017-2018,data.Canada,data.Couple no children,data.Food insecure marginal,2.3
2015-2016,data.Canada,data.Couple no children,data.Food insecure moderate and severe,
2017-2018,data.Canada,data.Couple no children,data.Food insecure moderate and severe,3.4
2015-2016,data.Canada,data.Couple with child(ren) less than 18 years old,data.Food secure,
2017-2018,data.Canada,data.Couple with child(ren) less than 18 years old,data.Food secure,88.2
2015-2016,data.Canada,data.Couple with child(ren) less than 18 years old,data.Food insecure marginal,
2017-2018,data.Canada,data.Couple with child(ren) less than 18 years old,data.Food insecure marginal,4.4
2015-2016,data.Canada,data.Couple with child(ren) less than 18 years old,data.Food insecure moderate and severe,
2017-2018,data.Canada,data.Couple with child(ren) less than 18 years old,data.Food insecure moderate and severe,7.3
2015-2016,data.Canada,data.Female lone parent with child(ren) less than 18 years old,data.Food secure,
2017-2018,data.Canada,data.Female lone parent with child(ren) less than 18 years old,data.Food secure,66.9
2015-2016,data.Canada,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2017-2018,data.Canada,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure marginal,8.0
2015-2016,data.Canada,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,
2017-2018,data.Canada,data.Female lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,25.1
2015-2016,data.Canada,data.Male lone parent with child(ren) less than 18 years old,data.Food secure,
2017-2018,data.Canada,data.Male lone parent with child(ren) less than 18 years old,data.Food secure,78.4
2015-2016,data.Canada,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure marginal,
2017-2018,data.Canada,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure marginal,5.3
2015-2016,data.Canada,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,
2017-2018,data.Canada,data.Male lone parent with child(ren) less than 18 years old,data.Food insecure moderate and severe,16.3
2015-2016,data.Canada,data.Other living arrangements,data.Food secure,
2017-2018,data.Canada,data.Other living arrangements,data.Food secure,86.2
2015-2016,data.Canada,data.Other living arrangements,data.Food insecure marginal,
2017-2018,data.Canada,data.Other living arrangements,data.Food insecure marginal,4.5
2015-2016,data.Canada,data.Other living arrangements,data.Food insecure moderate and severe,
2017-2018,data.Canada,data.Other living arrangements,data.Food insecure moderate and severe,9.3
2015-2016,data.Newfoundland and Labrador,data.Total all living arrangements,data.Food secure,
2017-2018,data.Newfoundland and Labrador,data.Total all living arrangements,data.Food secure,85.3
2015-2016,data.Newfoundland and Labrador,data.Total all living arrangements,data.Food insecure marginal,
2017-2018,data.Newfoundland and Labrador,data.Total all living arrangements,data.Food insecure marginal,4.7
2015-2016,data.Newfoundland and Labrador,data.Total all living arrangements,data.Food insecure moderate and severe,
2017-2018,data.Newfoundland and Labrador,data.Total all living arrangements,data.Food insecure moderate and severe,10.1
2015-2016,data.Newfoundland and Labrador,data.Female living alone,data.Food secure,
2017-2018,data.Newfoundland and Labrador,data.Female living alone,data.Food secure,74.4
2015-2016,data.Newfoundland and Labrador,data.Female living alone,data.Food insecure marginal,
2017-2018,data.Newfoundland and Labrador,data.Female living alone,data.Food insecure marginal,7.3
2015-2016,data.Newfoundland and Labrador,data.Female living alone,data.Food insecure moderate and severe,
2017-2018,data.Newfoundland and Labrador,data.Female living alone,data.Food insecure moderate and severe,18.3
2015-2016,data.Newfoundland and Labrador,data.Male living alone,data.Food secure,
2017-2018,data.Newfoundland and Labrador,data.Male living alone,data.Food secure,77.7
2015-2016,data.Newfoundland and Labrador,data.Male living alone,data.Food insecure marginal,
2017-2018,data.Newfoundland and Labrador,data.Male living alone,data.Food insecure marginal,6.8
2015-2016,data.Newfoundland and Labrador,data.Male living alone,data.Food insecure moderate and severe,
2017-2018,data.Newfoundland and Labrador,data.Male living alone,data.Food insecure moderate and severe,15.5
2015-2016,data.Newfoundland and Labrador,data.Couple no children,data.Food secure,
2017-2018,data.Newfoundland and Labrador,data.Couple no children,data.Food secure,93.4
2015-2016,data.Newfoundland and Labrador,data.Couple no children,data.Food insecure marginal,
2017-2018,data.Newfoundland and Labrador,data.Couple no children,data.Food insecure marginal,3.6
2015-2016,data.Newfoundland and Labrador,data.Couple no children,data.Food insecure moderate and severe,
2017-2018,data.Newfoundland and Labrador,data.Couple no children,data.Food insecure moderate and severe,3.1
2015-2016,data.Newfoundland and Labrador,data.Couple with child(ren) less than 18 years old,data.Food secure,
2017-2018,data.Newfoundland and Labrador,data.Couple with child(ren) less than 18 years old,data.Food secure,88.5
2015-2016,data.Newfoundland and Labrador,data.Couple with child(ren) less than 18 years old,data.Food insecure marginal,
2017-2018,data.Newfoundland and Labrador,data.Couple with child(ren) less than 18 years old,data.Food insecure marginal,3.9
2015-2016,data.Newfoundland and Labrador,data.Couple with child(ren) less than 18 years old,data.Food insecure moderate and severe,
2017-2018,data.Newfoundland and Labrador,data.Couple with child(ren) less than 18 years old,data.Food insecure moderate and severe,7.6
