Year,data.Index,Value
1986,data.Biodiversity,
1991,data.Biodiversity,
1996,data.Biodiversity,
2001,data.Biodiversity,51.0
2006,data.Biodiversity,54.0
2011,data.Biodiversity,55.0
1981,data.Soil Quality,64.0
1986,data.Soil Quality,65.0
1991,data.Soil Quality,66.0
1996,data.Soil Quality,70.0
2001,data.Soil Quality,75.0
2006,data.Soil Quality,78.0
2011,data.Soil Quality,78.0
1981,data.Water Quality,82.0
1986,data.Water Quality,79.0
1991,data.Water Quality,79.0
1996,data.Water Quality,76.0
2001,data.Water Quality,74.0
2006,data.Water Quality,75.0
2011,data.Water Quality,75.0
1981,data.Air Quality,51.0
1986,data.Air Quality,52.0
1991,data.Air Quality,54.0
1996,data.Air Quality,54.0
2001,data.Air Quality,55.0
2006,data.Air Quality,60.0
2011,data.Air Quality,63.0
2016,data.Soil Quality,77.0
2016,data.Water Quality,77.0
2016,data.Air Quality,63.0
2016,data.Biodiversity,54.0
