Year,Geography,GeoCode,Value
2016,,,7.8
2017,,,10.7
2018,,,11.4
2019,,,9.9
2020,,,16.9
2021,,,20.6
2022,,,19.4
2023,,,20.8
2016,British Columbia,59,16.6
2017,British Columbia,59,26.3
2018,British Columbia,59,27.4
2019,British Columbia,59,20.1
2020,British Columbia,59,34.7
2021,British Columbia,59,44.7
2022,British Columbia,59,45.0
2023,British Columbia,59,46.6
2016,Alberta,48,14.3
2017,Alberta,48,17.6
2018,Alberta,48,18.8
2019,Alberta,48,14.4
2020,Alberta,48,27.0
2021,Alberta,48,37.0
2022,Alberta,48,33.9
2023,Alberta,48,39.4
2016,Saskatchewan,47,7.3
2017,Saskatchewan,47,7.4
2018,Saskatchewan,47,10.0
2019,Saskatchewan,47,9.9
2020,Saskatchewan,47,21.4
2021,Saskatchewan,47,28.0
2022,Saskatchewan,47,24.8
2023,Saskatchewan,47,24.0
2016,Manitoba,46,6.7
2017,Manitoba,46,7.9
2018,Manitoba,46,6.9
2019,Manitoba,46,4.5
2020,Manitoba,46,18.8
2021,Manitoba,46,19.4
2022,Manitoba,46,3.7
2016,Ontario,35,6.2
2017,Ontario,35,9.0
2018,Ontario,35,10.5
2019,Ontario,35,10.7
2020,Ontario,35,16.7
2021,Ontario,35,19.3
2022,Ontario,35,16.7
2023,Ontario,35,16.6
2016,Quebec,24,3.2
2017,Quebec,24,3.4
2018,Quebec,24,2.5
2019,Quebec,24,2.5
2020,Quebec,24,3.7
2021,Quebec,24,3.4
2022,Quebec,24,6.2
2023,Quebec,24,6.0
2016,New Brunswick,13,4.5
2017,New Brunswick,13,5.0
2018,New Brunswick,13,3.9
2019,New Brunswick,13,4.5
2020,New Brunswick,13,5.7
2021,New Brunswick,13,5.9
2022,New Brunswick,13,9.5
2023,New Brunswick,13,8.6
2016,Nova Scotia,12,5.6
2017,Nova Scotia,12,6.7
2018,Nova Scotia,12,5.7
2019,Nova Scotia,12,5.7
2020,Nova Scotia,12,5.0
2021,Nova Scotia,12,4.0
2022,Nova Scotia,12,6.1
2023,Nova Scotia,12,7.0
2016,Prince Edward Island,11,3.4
2017,Prince Edward Island,11,3.3
2018,Prince Edward Island,11,5.3
2019,Prince Edward Island,11,3.2
2020,Prince Edward Island,11,5.0
2021,Prince Edward Island,11,7.4
2022,Prince Edward Island,11,3.6
2023,Prince Edward Island,11,4.0
2016,Newfoundland and Labrador,10,3.4
2017,Newfoundland and Labrador,10,6.2
2018,Newfoundland and Labrador,10,2.3
2019,Newfoundland and Labrador,10,3.4
2020,Newfoundland and Labrador,10,4.6
2021,Newfoundland and Labrador,10,5.1
2022,Newfoundland and Labrador,10,5.6
2023,Newfoundland and Labrador,10,6.7
2016,Yukon,60,18.2
2017,Yukon,60,17.7
2018,Yukon,60,12.4
2019,Yukon,60,9.7
2020,Yukon,60,23.8
2021,Yukon,60,53.5
2022,Yukon,60,43.3
2023,Yukon,60,37.8
2016,Northwest Territories,61,11.2
2017,Northwest Territories,61,2.2
2018,Northwest Territories,61,4.5
2019,Northwest Territories,61,2.3
2020,Northwest Territories,61,6.7
2021,Northwest Territories,61,9.0
2022,Northwest Territories,61,15.7
2023,Northwest Territories,61,4.4
2016,Nunavut,62,0.0
2017,Nunavut,62,0.0
2018,Nunavut,62,0.0
2023,Nunavut,62,0.0
