Year,data.Geography,data.Sex,data.Grade,data.Type of e-cigarettes,GeoCode,Value
2016-2017,,,,,,10.0
2016-2017,data.Canada,data.Male,data.All grades,data.Both type,,12.4
2016-2017,data.Canada,data.Female,data.All grades,data.Both type,,7.6
2016-2017,data.Canada,data.Both sexes,data.Grades 7-9,data.Both type,,5.4
2016-2017,data.Canada,data.Male,data.Grades 7-9,data.Both type,,6.5
2016-2017,data.Canada,data.Female,data.Grades 7-9,data.Both type,,4.4
2016-2017,data.Canada,data.Both sexes,data.Grades 10-12,data.Both type,,14.6
2016-2017,data.Canada,data.Male,data.Grades 10-12,data.Both type,,18.3
2016-2017,data.Canada,data.Female,data.Grades 10-12,data.Both type,,10.7
2016-2017,data.Newfoundland and Labrador,data.Both sexes,data.All grades,data.Both type,10,22.4
2016-2017,data.Newfoundland and Labrador,data.Male,data.All grades,data.Both type,10,26.1
2016-2017,data.Newfoundland and Labrador,data.Female,data.All grades,data.Both type,10,18.6
2016-2017,data.Newfoundland and Labrador,data.Both sexes,data.Grades 7-9,data.Both type,10,12.2
2016-2017,data.Newfoundland and Labrador,data.Male,data.Grades 7-9,data.Both type,10,15.6
2016-2017,data.Newfoundland and Labrador,data.Female,data.Grades 7-9,data.Both type,10,8.7
2016-2017,data.Newfoundland and Labrador,data.Both sexes,data.Grades 10-12,data.Both type,10,31.9
2016-2017,data.Newfoundland and Labrador,data.Male,data.Grades 10-12,data.Both type,10,35.8
2016-2017,data.Newfoundland and Labrador,data.Female,data.Grades 10-12,data.Both type,10,28.0
2016-2017,data.Prince Edward Island,data.Both sexes,data.All grades,data.Both type,11,17.0
2016-2017,data.Prince Edward Island,data.Male,data.All grades,data.Both type,11,20.8
2016-2017,data.Prince Edward Island,data.Female,data.All grades,data.Both type,11,13.0
2016-2017,data.Prince Edward Island,data.Both sexes,data.Grades 7-9,data.Both type,11,7.3
2016-2017,data.Prince Edward Island,data.Male,data.Grades 7-9,data.Both type,11,9.5
2016-2017,data.Prince Edward Island,data.Female,data.Grades 7-9,data.Both type,11,5.1
2016-2017,data.Prince Edward Island,data.Both sexes,data.Grades 10-12,data.Both type,11,26.0
2016-2017,data.Prince Edward Island,data.Male,data.Grades 10-12,data.Both type,11,30.8
2016-2017,data.Prince Edward Island,data.Female,data.Grades 10-12,data.Both type,11,20.6
2016-2017,data.Nova Scotia,data.Both sexes,data.All grades,data.Both type,12,20.9
2016-2017,data.Nova Scotia,data.Male,data.All grades,data.Both type,12,24.3
2016-2017,data.Nova Scotia,data.Female,data.All grades,data.Both type,12,17.5
2016-2017,data.Nova Scotia,data.Both sexes,data.Grades 7-9,data.Both type,12,12.9
2016-2017,data.Nova Scotia,data.Male,data.Grades 7-9,data.Both type,12,14.6
2016-2017,data.Nova Scotia,data.Female,data.Grades 7-9,data.Both type,12,11.2
2016-2017,data.Nova Scotia,data.Both sexes,data.Grades 10-12,data.Both type,12,28.1
2016-2017,data.Nova Scotia,data.Male,data.Grades 10-12,data.Both type,12,32.9
2016-2017,data.Nova Scotia,data.Female,data.Grades 10-12,data.Both type,12,23.1
2016-2017,data.Quebec,data.Both sexes,data.All grades,data.Both type,24,9.8
2016-2017,data.Quebec,data.Male,data.All grades,data.Both type,24,12.4
2016-2017,data.Quebec,data.Female,data.All grades,data.Both type,24,7.1
2016-2017,data.Quebec,data.Both sexes,data.Secondary I-III,data.Both type,24,7.5
2016-2017,data.Quebec,data.Male,data.Secondary I-III,data.Both type,24,8.9
2016-2017,data.Quebec,data.Female,data.Secondary I-III,data.Both type,24,6.0
2016-2017,data.Quebec,data.Both sexes,data.Secondary IV-V,data.Both type,24,13.9
2016-2017,data.Quebec,data.Male,data.Secondary IV-V,data.Both type,24,18.9
2016-2017,data.Quebec,data.Female,data.Secondary IV-V,data.Both type,24,9.1
2016-2017,data.Ontario,data.Both sexes,data.All grades,data.Both type,35,6.6
2016-2017,data.Ontario,data.Male,data.All grades,data.Both type,35,8.9
2016-2017,data.Ontario,data.Female,data.All grades,data.Both type,35,4.3
2016-2017,data.Ontario,data.Both sexes,data.Grades 7-9,data.Both type,35,2.8
2016-2017,data.Ontario,data.Male,data.Grades 7-9,data.Both type,35,3.9
2016-2017,data.Ontario,data.Female,data.Grades 7-9,data.Both type,35,1.6
2016-2017,data.Ontario,data.Both sexes,data.Grades 10-12,data.Both type,35,9.9
2016-2017,data.Ontario,data.Male,data.Grades 10-12,data.Both type,35,13.1
2016-2017,data.Ontario,data.Female,data.Grades 10-12,data.Both type,35,6.5
2016-2017,data.Manitoba,data.Both sexes,data.All grades,data.Both type,46,15.0
2016-2017,data.Manitoba,data.Male,data.All grades,data.Both type,46,15.4
2016-2017,data.Manitoba,data.Female,data.All grades,data.Both type,46,14.7
2016-2017,data.Manitoba,data.Both sexes,data.Grades 7-9,data.Both type,46,7.0
2016-2017,data.Manitoba,data.Male,data.Grades 7-9,data.Both type,46,8.0
2016-2017,data.Manitoba,data.Female,data.Grades 7-9,data.Both type,46,6.1
2016-2017,data.Manitoba,data.Both sexes,data.Grades 10-12,data.Both type,46,22.0
2016-2017,data.Manitoba,data.Male,data.Grades 10-12,data.Both type,46,22.0
2016-2017,data.Manitoba,data.Female,data.Grades 10-12,data.Both type,46,22.1
2016-2017,data.Saskatchewan,data.Both sexes,data.All grades,data.Both type,47,10.8
2016-2017,data.Saskatchewan,data.Male,data.All grades,data.Both type,47,13.4
2016-2017,data.Saskatchewan,data.Female,data.All grades,data.Both type,47,8.0
2016-2017,data.Saskatchewan,data.Both sexes,data.Grades 7-9,data.Both type,47,6.3
2016-2017,data.Saskatchewan,data.Male,data.Grades 7-9,data.Both type,47,7.7
2016-2017,data.Saskatchewan,data.Female,data.Grades 7-9,data.Both type,47,4.7
2016-2017,data.Saskatchewan,data.Both sexes,data.Grades 10-12,data.Both type,47,14.7
2016-2017,data.Saskatchewan,data.Male,data.Grades 10-12,data.Both type,47,18.4
2016-2017,data.Saskatchewan,data.Female,data.Grades 10-12,data.Both type,47,10.9
2016-2017,data.Alberta,data.Both sexes,data.All grades,data.Both type,48,14.5
2016-2017,data.Alberta,data.Male,data.All grades,data.Both type,48,16.4
2016-2017,data.Alberta,data.Female,data.All grades,data.Both type,48,12.4
2016-2017,data.Alberta,data.Both sexes,data.Grades 7-9,data.Both type,48,6.8
2016-2017,data.Alberta,data.Male,data.Grades 7-9,data.Both type,48,7.2
2016-2017,data.Alberta,data.Female,data.Grades 7-9,data.Both type,48,6.4
2016-2017,data.Alberta,data.Both sexes,data.Grades 10-12,data.Both type,48,22.2
2016-2017,data.Alberta,data.Male,data.Grades 10-12,data.Both type,48,25.8
2016-2017,data.Alberta,data.Female,data.Grades 10-12,data.Both type,48,18.5
2016-2017,data.British Columbia,data.Both sexes,data.All grades,data.Both type,59,12.5
2016-2017,data.British Columbia,data.Male,data.All grades,data.Both type,59,15.4
2016-2017,data.British Columbia,data.Female,data.All grades,data.Both type,59,9.4
