Year,Sex,Age group,Value
2015,Both sexes,Ages 5 to 17,37.6
2015,Both sexes,Ages 5 to 11,47.5
2015,Both sexes,Ages 12 to 17,26.8
2015,Both sexes,Ages 18 to 64,45.2
2015,Both sexes,Ages 65 to 79,21.2
2015,Males,Ages 5 to 17,48.4
2015,Males,Ages 5 to 11,60.8
2015,Males,Ages 12 to 17,35.0
2015,Males,Ages 18 to 64,51.9
2015,Males,Ages 65 to 79,23.3
2015,Females,Ages 5 to 17,25.6
2015,Females,Ages 5 to 11,32.9
2015,Females,Ages 12 to 17,17.5
2015,Females,Ages 18 to 64,38.5
2015,Females,Ages 65 to 79,19.4
2017,Both sexes,Ages 5 to 17,39.2
2017,Both sexes,Ages 5 to 11,46.5
2017,Both sexes,Ages 12 to 17,30.9
2017,Both sexes,Ages 18 to 64,47.6
2017,Both sexes,Ages 65 to 79,27.7
2017,Males,Ages 5 to 17,51.9
2017,Males,Ages 5 to 11,59.7
2017,Males,Ages 12 to 17,43.6
2017,Males,Ages 18 to 64,54.3
2017,Males,Ages 65 to 79,31.4
2017,Females,Ages 5 to 17,25.9
2017,Females,Ages 5 to 11,33.3
2017,Females,Ages 12 to 17,17.0
2017,Females,Ages 18 to 64,41.1
2017,Females,Ages 65 to 79,23.6
2019,Both sexes,Ages 5 to 17,43.9
2019,Both sexes,Ages 5 to 11,51.1
2019,Both sexes,Ages 12 to 17,35.6
2019,Both sexes,Ages 18 to 64,53.1
2019,Both sexes,Ages 65 to 79,27.5
2019,Males,Ages 5 to 17,57.1
2019,Males,Ages 5 to 11,63.1
2019,Males,Ages 12 to 17,50.2
2019,Males,Ages 18 to 64,56.6
2019,Males,Ages 65 to 79,25.5
2019,Females,Ages 5 to 17,30.7
2019,Females,Ages 5 to 11,39.2
2019,Females,Ages 18 to 64,49.6
2019,Females,Ages 65 to 79,29.3
2024,Both sexes,Ages 3 to 4,91.0
2024,Both sexes,Ages 5 to 11,51.8
2024,Both sexes,Ages 12 to 17,20.8
2024,Both sexes,Ages 18 to 64,50.2
2024,Both sexes,Ages 65 to 79,29.8
2024,Males,Ages 5 to 11,66.0
2024,Males,Ages 12 to 17,32.8
2024,Males,Ages 18 to 64,57.8
2024,Males,Ages 65 to 79,32.6
2024,Females,Ages 5 to 11,36.6
2024,Females,Ages 12 to 17,8.4
2024,Females,Ages 18 to 64,42.2
2024,Females,Ages 65 to 79,27.0
