Year,Geography,Age group,Sex,Household income,Highest level of education,Visible minority,Immigration status,GeoCode,Value
2015,,,,,,,,,72.0
2016,,,,,,,,,70.4
2017,,,,,,,,,69.9
2018,,,,,,,,,68.2
2019,,,,,,,,,66.6
2020,,,,,,,,,64.7
2021,,,,,,,,,58.7
2022,,,,,,,,,54.8
2023,,,,,,,,,53.8
2024,,,,,,,,,53.7
2015,Canada,"Total, 18 years and over",Males,,,,,,74.0
2015,Canada,"Total, 18 years and over",Females,,,,,,70.1
2015,Canada,18 to 34 years,Both sexes,,,,,,72.5
2015,Canada,18 to 34 years,Males,,,,,,75.3
2015,Canada,18 to 34 years,Females,,,,,,69.6
2015,Canada,35 to 49 years,Both sexes,,,,,,72.4
2015,Canada,35 to 49 years,Males,,,,,,74.3
2015,Canada,35 to 49 years,Females,,,,,,70.6
2015,Canada,50 to 64 years,Both sexes,,,,,,72.0
2015,Canada,50 to 64 years,Males,,,,,,73.6
2015,Canada,50 to 64 years,Females,,,,,,70.5
2015,Canada,65 years and over,Both sexes,,,,,,70.5
2015,Canada,65 years and over,Males,,,,,,71.9
2015,Canada,65 years and over,Females,,,,,,69.4
2015,Newfoundland and Labrador,"Total, 18 years and over",Both sexes,,,,,10,70.8
2015,Newfoundland and Labrador,"Total, 18 years and over",Males,,,,,10,72.4
2015,Newfoundland and Labrador,"Total, 18 years and over",Females,,,,,10,69.2
2015,Newfoundland and Labrador,18 to 34 years,Both sexes,,,,,10,66.7
2015,Newfoundland and Labrador,18 to 34 years,Males,,,,,10,69.4
2015,Newfoundland and Labrador,18 to 34 years,Females,,,,,10,64.1
2015,Newfoundland and Labrador,35 to 49 years,Both sexes,,,,,10,72.8
2015,Newfoundland and Labrador,35 to 49 years,Males,,,,,10,76.9
2015,Newfoundland and Labrador,35 to 49 years,Females,,,,,10,69.1
2015,Newfoundland and Labrador,50 to 64 years,Both sexes,,,,,10,73.7
2015,Newfoundland and Labrador,50 to 64 years,Males,,,,,10,72.0
2015,Newfoundland and Labrador,50 to 64 years,Females,,,,,10,75.4
2015,Newfoundland and Labrador,65 years and over,Both sexes,,,,,10,68.7
2015,Newfoundland and Labrador,65 years and over,Males,,,,,10,71.0
2015,Newfoundland and Labrador,65 years and over,Females,,,,,10,66.7
2015,Prince Edward Island,"Total, 18 years and over",Both sexes,,,,,11,74.4
2015,Prince Edward Island,"Total, 18 years and over",Males,,,,,11,75.2
2015,Prince Edward Island,"Total, 18 years and over",Females,,,,,11,73.6
2015,Prince Edward Island,18 to 34 years,Both sexes,,,,,11,78.2
2015,Prince Edward Island,18 to 34 years,Males,,,,,11,79.1
2015,Prince Edward Island,18 to 34 years,Females,,,,,11,77.4
2015,Prince Edward Island,35 to 49 years,Both sexes,,,,,11,70.6
2015,Prince Edward Island,35 to 49 years,Males,,,,,11,72.5
2015,Prince Edward Island,35 to 49 years,Females,,,,,11,68.7
2015,Prince Edward Island,50 to 64 years,Both sexes,,,,,11,74.4
2015,Prince Edward Island,50 to 64 years,Males,,,,,11,68.8
