Year,data.Geography,Value
2010,,73
2011,,74
2012,,81
2013,,86
2014,,97
2015,,103
2016,,97
2017,,91
2018,,62
2019,,56
2020,,58
2021,,36
2022,,30
2010,data.Alberta,1
2011,data.Alberta,1
2012,data.Alberta,3
2013,data.Alberta,3
2014,data.Alberta,3
2015,data.Alberta,3
2016,data.Alberta,3
2017,data.Alberta,3
2018,data.Alberta,1
2019,data.Alberta,1
2020,data.Alberta,0
2021,data.Alberta,0
2022,data.Alberta,0
2010,data.Atlantic,5
2011,data.Atlantic,5
2012,data.Atlantic,5
2013,data.Atlantic,5
2014,data.Atlantic,5
2015,data.Atlantic,4
2016,data.Atlantic,2
2017,data.Atlantic,2
2018,data.Atlantic,1
2019,data.Atlantic,0
2020,data.Atlantic,0
2021,data.Atlantic,0
2022,data.Atlantic,0
2010,data.British Columbia,13
2011,data.British Columbia,13
2012,data.British Columbia,14
2013,data.British Columbia,17
2014,data.British Columbia,17
2015,data.British Columbia,16
2016,data.British Columbia,13
2017,data.British Columbia,11
2018,data.British Columbia,5
2019,data.British Columbia,4
2020,data.British Columbia,3
2021,data.British Columbia,0
2022,data.British Columbia,0
2010,data.Manitoba,1
2011,data.Manitoba,1
2012,data.Manitoba,1
2013,data.Manitoba,1
2014,data.Manitoba,1
2015,data.Manitoba,5
2016,data.Manitoba,5
2017,data.Manitoba,6
2018,data.Manitoba,4
2019,data.Manitoba,3
2020,data.Manitoba,4
2021,data.Manitoba,3
2022,data.Manitoba,3
2010,data.Ontario,45
2011,data.Ontario,46
2012,data.Ontario,49
2013,data.Ontario,51
2014,data.Ontario,57
2015,data.Ontario,60
2016,data.Ontario,58
2017,data.Ontario,59
2018,data.Ontario,43
2019,data.Ontario,41
2020,data.Ontario,43
2021,data.Ontario,27
2022,data.Ontario,21
2010,data.Quebec,3
2011,data.Quebec,3
2012,data.Quebec,3
2013,data.Quebec,3
2014,data.Quebec,3
2015,data.Quebec,3
2016,data.Quebec,3
2017,data.Quebec,0
2018,data.Quebec,0
2019,data.Quebec,0
2020,data.Quebec,0
2021,data.Quebec,0
2022,data.Quebec,0
2010,data.Saskatchewan,5
2011,data.Saskatchewan,5
2012,data.Saskatchewan,6
2013,data.Saskatchewan,6
2014,data.Saskatchewan,11
2015,data.Saskatchewan,12
2016,data.Saskatchewan,13
2017,data.Saskatchewan,10
2018,data.Saskatchewan,8
2019,data.Saskatchewan,7
2020,data.Saskatchewan,8
2021,data.Saskatchewan,6
2022,data.Saskatchewan,6
