Year,Units,data.Sector,Value
2013,data.Cubic metres,,37457754.0
2015,data.Cubic metres,,36451889.0
2017,data.Cubic metres,,36812891.0
2013,data.Cubic metres,data.Households,3128899.0
2015,data.Cubic metres,data.Households,3160598.0
2017,data.Cubic metres,data.Households,2968052.0
2013,data.Cubic metres,data.Industries,34328855.0
2015,data.Cubic metres,data.Industries,33291291.0
2017,data.Cubic metres,data.Industries,33844839.0
2013,data.Growth rate,,5.4
2015,data.Growth rate,,-2.7
2017,data.Growth rate,,1.0
2013,data.Growth rate,data.Households,-10.8
2015,data.Growth rate,data.Households,1.0
2017,data.Growth rate,data.Households,-6.1
2013,data.Growth rate,data.Industries,7.2
2015,data.Growth rate,data.Industries,-3.0
2017,data.Growth rate,data.Industries,1.7
