Year,Geography,Type of electricity generation,GeoCode,Value
2015,,,,81.444
2016,,,,78.766
2017,,,,79.975
2018,,,,79.597
2019,,,,79.36
2020,,,,82.336
2021,,,,81.649
2022,,,,82.055
2023,,,,80.729
2024,,,,79.298
2015,Alberta,Hydraulic turbine,48,3.241
2015,Alberta,Total renewable and non-greenhouse gas emitting sources,48,7.066
2015,Alberta,Wind power turbine,48,3.825
2015,British Columbia,Hydraulic turbine,59,90.907
2015,British Columbia,Total renewable and non-greenhouse gas emitting sources,59,90.907
2015,Canada,Hydraulic turbine,,63.248
2015,Canada,Nuclear steam turbine,,16.666
2015,Canada,Solar,,0.046
2015,Canada,Tidal power turbine,,0.002
2015,Canada,Wind power turbine,,1.483
2015,Manitoba,Hydraulic turbine,46,98.423
2015,Manitoba,Total renewable and non-greenhouse gas emitting sources,46,99.56
2015,Manitoba,Wind power turbine,46,1.137
2015,New Brunswick,Hydraulic turbine,13,20.753
2015,New Brunswick,Nuclear steam turbine,13,30.696
2015,New Brunswick,Total renewable and non-greenhouse gas emitting sources,13,56.202
2015,New Brunswick,Wind power turbine,13,4.754
2015,Newfoundland and Labrador,Hydraulic turbine,10,95.733
2015,Newfoundland and Labrador,Total renewable and non-greenhouse gas emitting sources,10,95.967
2015,Newfoundland and Labrador,Wind power turbine,10,0.234
2015,Northwest Territories,Hydraulic turbine,61,24.992
2015,Northwest Territories,Total renewable and non-greenhouse gas emitting sources,61,28.331
2015,Northwest Territories,Wind power turbine,61,3.339
2015,Nova Scotia,Hydraulic turbine,12,10.313
2015,Nova Scotia,Tidal power turbine,12,0.147
2015,Nova Scotia,Total renewable and non-greenhouse gas emitting sources,12,15.509
2015,Nova Scotia,Wind power turbine,12,5.048
2015,Nunavut,Hydraulic turbine,62,
2015,Nunavut,Total renewable and non-greenhouse gas emitting sources,62,
2015,Ontario,Hydraulic turbine,35,25.118
2015,Ontario,Nuclear steam turbine,35,65.669
2015,Ontario,Solar,35,0.185
2015,Ontario,Total renewable and non-greenhouse gas emitting sources,35,93.097
2015,Ontario,Wind power turbine,35,2.125
2015,Prince Edward Island,Total renewable and non-greenhouse gas emitting sources,11,98.583
2015,Prince Edward Island,Wind power turbine,11,98.583
2015,Quebec,Hydraulic turbine,24,98.986
2015,Quebec,Nuclear steam turbine,24,
2015,Quebec,Total renewable and non-greenhouse gas emitting sources,24,99.375
2015,Quebec,Wind power turbine,24,0.389
2015,Saskatchewan,Hydraulic turbine,47,14.415
2015,Saskatchewan,Total renewable and non-greenhouse gas emitting sources,47,17.757
2015,Saskatchewan,Wind power turbine,47,3.343
2015,Yukon,Hydraulic turbine,60,94.139
2015,Yukon,Total renewable and non-greenhouse gas emitting sources,60,94.299
2015,Yukon,Wind power turbine,60,0.191
2016,Alberta,Hydraulic turbine,48,2.492
2016,Alberta,Solar,48,0.002
2016,Alberta,Total renewable and non-greenhouse gas emitting sources,48,8.287
2016,Alberta,Wind power turbine,48,5.792
2016,British Columbia,Hydraulic turbine,59,88.57
2016,British Columbia,Solar,59,0.0
2016,British Columbia,Tidal power turbine,59,0.0
2016,British Columbia,Total renewable and non-greenhouse gas emitting sources,59,90.386
2016,British Columbia,Wind power turbine,59,1.816
2016,Canada,Hydraulic turbine,,58.922
2016,Canada,Nuclear steam turbine,,14.866
2016,Canada,Solar,,0.29
2016,Canada,Tidal power turbine,,0.003
2016,Canada,Wind power turbine,,4.685
2016,Manitoba,Hydraulic turbine,46,97.007
2016,Manitoba,Solar,46,0.0
2016,Manitoba,Total renewable and non-greenhouse gas emitting sources,46,99.599
2016,Manitoba,Wind power turbine,46,2.592
2016,New Brunswick,Hydraulic turbine,13,21.957
2016,New Brunswick,Nuclear steam turbine,13,29.372
2016,New Brunswick,Solar,13,0.0
2016,New Brunswick,Tidal power turbine,13,0.0
2016,New Brunswick,Total renewable and non-greenhouse gas emitting sources,13,56.422
2016,New Brunswick,Wind power turbine,13,5.094
2016,Newfoundland and Labrador,Hydraulic turbine,10,94.48
2016,Newfoundland and Labrador,Solar,10,0.0
2016,Newfoundland and Labrador,Tidal power turbine,10,0.0
2016,Newfoundland and Labrador,Total renewable and non-greenhouse gas emitting sources,10,94.951
2016,Newfoundland and Labrador,Wind power turbine,10,0.472
2016,Northwest Territories,Hydraulic turbine,61,30.072
2016,Northwest Territories,Solar,61,0.034
2016,Northwest Territories,Total renewable and non-greenhouse gas emitting sources,61,31.952
2016,Northwest Territories,Wind power turbine,61,1.847
2016,Nova Scotia,Hydraulic turbine,12,8.004
2016,Nova Scotia,Solar,12,0.0
2016,Nova Scotia,Tidal power turbine,12,0.192
2016,Nova Scotia,Total renewable and non-greenhouse gas emitting sources,12,18.345
2016,Nova Scotia,Wind power turbine,12,10.149
2016,Nunavut,Hydraulic turbine,62,0.0
2016,Nunavut,Solar,62,0.0
2016,Nunavut,Total renewable and non-greenhouse gas emitting sources,62,0.0
2016,Nunavut,Wind power turbine,62,0.0
2016,Ontario,Hydraulic turbine,35,23.406
2016,Ontario,Nuclear steam turbine,35,57.947
2016,Ontario,Solar,35,1.153
2016,Ontario,Total renewable and non-greenhouse gas emitting sources,35,89.226
2016,Ontario,Wind power turbine,35,6.72
2016,Prince Edward Island,Hydraulic turbine,11,0.0
2016,Prince Edward Island,Solar,11,0.0
2016,Prince Edward Island,Tidal power turbine,11,0.0
2016,Prince Edward Island,Total renewable and non-greenhouse gas emitting sources,11,98.485
2016,Prince Edward Island,Wind power turbine,11,98.485
2016,Quebec,Hydraulic turbine,24,94.246
2016,Quebec,Nuclear steam turbine,24,
2016,Quebec,Solar,24,0.001
2016,Quebec,Total renewable and non-greenhouse gas emitting sources,24,98.898
2016,Quebec,Wind power turbine,24,4.651
2016,Saskatchewan,Hydraulic turbine,47,13.358
2016,Saskatchewan,Solar,47,0.0
2016,Saskatchewan,Total renewable and non-greenhouse gas emitting sources,47,16.347
2016,Saskatchewan,Wind power turbine,47,2.989
2016,Yukon,Hydraulic turbine,60,93.877
2016,Yukon,Solar,60,0.0
2016,Yukon,Total renewable and non-greenhouse gas emitting sources,60,94.009
2016,Yukon,Wind power turbine,60,0.132
2017,Alberta,Hydraulic turbine,48,2.581
2017,Alberta,Solar,48,0.002
2017,Alberta,Total renewable and non-greenhouse gas emitting sources,48,8.166
2017,Alberta,Wind power turbine,48,5.583
2017,British Columbia,Hydraulic turbine,59,89.214
2017,British Columbia,Solar,59,0.0
2017,British Columbia,Tidal power turbine,59,0.0
2017,British Columbia,Total renewable and non-greenhouse gas emitting sources,59,91.365
2017,British Columbia,Wind power turbine,59,2.152
2017,Canada,Hydraulic turbine,,60.035
2017,Canada,Nuclear steam turbine,,14.858
2017,Canada,Solar,,0.33
2017,Canada,Tidal power turbine,,0.001
2017,Canada,Wind power turbine,,4.752
2017,Manitoba,Hydraulic turbine,46,97.04
