Year,data.Geography,data.Population,data.Sex,data.Age group,GeoCode,Value
2015,,,,,,6.9
2016,,,,,,7.0
2017,,,,,,6.4
2018,,,,,,5.8
2019,,,,,,5.7
2020,,,,,,9.7
2021,,,,,,7.5
2022,,,,,,5.3
2023,,,,,,5.4
2024,,,,,,6.4
2015,data.Canada,data.Total population,data.Both sexes,data.15 to 24 years,,12.8
2015,data.Canada,data.Total population,data.Both sexes,data.25 years and over,,5.9
2015,data.Canada,data.Total population,data.Both sexes,data.25 to 44 years,,6.2
2015,data.Canada,data.Total population,data.Both sexes,data.45 to 64 years,,5.8
2015,data.Canada,data.Total population,data.Both sexes,data.45 years and over,,5.7
2015,data.Canada,data.Total population,data.Both sexes,data.25 to 54 years,,5.9
2015,data.Canada,data.Total population,data.Both sexes,data.55 years and over,,6.0
2015,data.Canada,data.Total population,data.Both sexes,data.15 to 64 years,,7.0
2015,data.Canada,data.Total population,data.Both sexes,data.15 to 19 years,,17.5
2015,data.Canada,data.Total population,data.Both sexes,data.20 to 24 years,,10.1
2015,data.Canada,data.Total population,data.Both sexes,data.25 to 29 years,,7.5
2015,data.Canada,data.Total population,data.Both sexes,data.30 to 34 years,,5.8
2015,data.Canada,data.Total population,data.Both sexes,data.35 to 39 years,,5.8
2015,data.Canada,data.Total population,data.Both sexes,data.40 to 44 years,,5.6
2015,data.Canada,data.Total population,data.Both sexes,data.45 to 49 years,,5.2
2015,data.Canada,data.Total population,data.Both sexes,data.50 to 54 years,,5.6
2015,data.Canada,data.Total population,data.Both sexes,data.55 to 59 years,,6.1
2015,data.Canada,data.Total population,data.Both sexes,data.60 to 64 years,,6.7
2015,data.Canada,data.Total population,data.Both sexes,data.65 years and over,,4.5
2015,data.Canada,data.Total population,data.Both sexes,data.65 to 69 years,,5.4
2015,data.Canada,data.Total population,data.Both sexes,data.70 years and over,,2.8
2015,data.Canada,data.Total population,data.Males,data.15 years and over,,7.5
2015,data.Canada,data.Total population,data.Males,data.15 to 24 years,,14.6
2015,data.Canada,data.Total population,data.Males,data.25 years and over,,6.3
2015,data.Canada,data.Total population,data.Males,data.25 to 44 years,,6.5
2015,data.Canada,data.Total population,data.Males,data.45 to 64 years,,6.3
2015,data.Canada,data.Total population,data.Males,data.45 years and over,,6.1
2015,data.Canada,data.Total population,data.Males,data.25 to 54 years,,6.3
2015,data.Canada,data.Total population,data.Males,data.55 years and over,,6.4
2015,data.Canada,data.Total population,data.Males,data.15 to 64 years,,7.6
2015,data.Canada,data.Total population,data.Males,data.15 to 19 years,,19.2
2015,data.Canada,data.Total population,data.Males,data.20 to 24 years,,12.2
2015,data.Canada,data.Total population,data.Males,data.25 to 29 years,,8.3
2015,data.Canada,data.Total population,data.Males,data.30 to 34 years,,6.0
2015,data.Canada,data.Total population,data.Males,data.35 to 39 years,,5.9
2015,data.Canada,data.Total population,data.Males,data.40 to 44 years,,5.7
2015,data.Canada,data.Total population,data.Males,data.45 to 49 years,,5.5
2015,data.Canada,data.Total population,data.Males,data.50 to 54 years,,6.2
2015,data.Canada,data.Total population,data.Males,data.55 to 59 years,,6.4
2015,data.Canada,data.Total population,data.Males,data.60 to 64 years,,7.5
2015,data.Canada,data.Total population,data.Males,data.65 years and over,,4.8
2015,data.Canada,data.Total population,data.Males,data.65 to 69 years,,6.0
2015,data.Canada,data.Total population,data.Males,data.70 years and over,,2.6
2015,data.Canada,data.Total population,data.Females,data.15 years and over,,6.3
2015,data.Canada,data.Total population,data.Females,data.15 to 24 years,,10.8
2015,data.Canada,data.Total population,data.Females,data.25 years and over,,5.5
2015,data.Canada,data.Total population,data.Females,data.25 to 44 years,,5.8
2015,data.Canada,data.Total population,data.Females,data.45 to 64 years,,5.3
2015,data.Canada,data.Total population,data.Females,data.45 years and over,,5.2
2015,data.Canada,data.Total population,data.Females,data.25 to 54 years,,5.5
