Year,data.Geography,data.Age group,data.Gender,GeoCode,Value
2015,,,,,13.0
2016,,,,,13.0
2017,,,,,12.0
2018,,,,,12.0
2019,,,,,11.0
2020,,,,,14.0
2021,,,,,14.0
2022,,,,,11.0
2023,,,,,11.0
2024,,,,,12.0
2025,,,,,12.0
2015,data.Canada,"data.Total, 15 to 29 years",data.Men+,,13.0
2015,data.Canada,"data.Total, 15 to 29 years",data.Women+,,13.0
2015,data.Canada,data.15 to 19 years,data.Total - Gender,,7.0
2015,data.Canada,data.15 to 19 years,data.Men+,,7.0
2015,data.Canada,data.15 to 19 years,data.Women+,,6.0
2015,data.Canada,data.15 to 24 years,data.Total - Gender,,11.0
2015,data.Canada,data.15 to 24 years,data.Men+,,12.0
2015,data.Canada,data.15 to 24 years,data.Women+,,9.0
2015,data.Canada,data.18 to 24 years,data.Total - Gender,,13.0
2015,data.Canada,data.18 to 24 years,data.Men+,,14.0
2015,data.Canada,data.18 to 24 years,data.Women+,,11.0
2015,data.Canada,data.20 to 24 years,data.Total - Gender,,14.0
2015,data.Canada,data.20 to 24 years,data.Men+,,15.0
2015,data.Canada,data.20 to 24 years,data.Women+,,12.0
2015,data.Canada,data.25 to 29 years,data.Total - Gender,,17.0
2015,data.Canada,data.25 to 29 years,data.Men+,,16.0
2015,data.Canada,data.25 to 29 years,data.Women+,,18.0
2015,data.Newfoundland and Labrador,"data.Total, 15 to 29 years",data.Total - Gender,10,17.0
2015,data.Newfoundland and Labrador,"data.Total, 15 to 29 years",data.Men+,10,19.0
2015,data.Newfoundland and Labrador,"data.Total, 15 to 29 years",data.Women+,10,15.0
2015,data.Newfoundland and Labrador,data.15 to 19 years,data.Total - Gender,10,7.0
2015,data.Newfoundland and Labrador,data.15 to 19 years,data.Men+,10,10.0
2015,data.Newfoundland and Labrador,data.15 to 19 years,data.Women+,10,
2015,data.Newfoundland and Labrador,data.15 to 24 years,data.Total - Gender,10,14.0
2015,data.Newfoundland and Labrador,data.15 to 24 years,data.Men+,10,18.0
2015,data.Newfoundland and Labrador,data.15 to 24 years,data.Women+,10,10.0
2015,data.Newfoundland and Labrador,data.18 to 24 years,data.Total - Gender,10,19.0
2015,data.Newfoundland and Labrador,data.18 to 24 years,data.Men+,10,24.0
2015,data.Newfoundland and Labrador,data.18 to 24 years,data.Women+,10,13.0
2015,data.Newfoundland and Labrador,data.20 to 24 years,data.Total - Gender,10,21.0
2015,data.Newfoundland and Labrador,data.20 to 24 years,data.Men+,10,26.0
2015,data.Newfoundland and Labrador,data.20 to 24 years,data.Women+,10,15.0
2015,data.Newfoundland and Labrador,data.25 to 29 years,data.Total - Gender,10,23.0
2015,data.Newfoundland and Labrador,data.25 to 29 years,data.Men+,10,22.0
2015,data.Newfoundland and Labrador,data.25 to 29 years,data.Women+,10,24.0
2015,data.Prince Edward Island,"data.Total, 15 to 29 years",data.Total - Gender,11,15.0
2015,data.Prince Edward Island,"data.Total, 15 to 29 years",data.Men+,11,15.0
2015,data.Prince Edward Island,"data.Total, 15 to 29 years",data.Women+,11,14.0
2015,data.Prince Edward Island,data.15 to 19 years,data.Total - Gender,11,7.0
2015,data.Prince Edward Island,data.15 to 19 years,data.Men+,11,
2015,data.Prince Edward Island,data.15 to 19 years,data.Women+,11,
2015,data.Prince Edward Island,data.15 to 24 years,data.Total - Gender,11,13.0
2015,data.Prince Edward Island,data.15 to 24 years,data.Men+,11,16.0
2015,data.Prince Edward Island,data.15 to 24 years,data.Women+,11,10.0
2015,data.Prince Edward Island,data.18 to 24 years,data.Total - Gender,11,17.0
2015,data.Prince Edward Island,data.18 to 24 years,data.Men+,11,22.0
2015,data.Prince Edward Island,data.18 to 24 years,data.Women+,11,12.0
2015,data.Prince Edward Island,data.20 to 24 years,data.Total - Gender,11,18.0
2015,data.Prince Edward Island,data.20 to 24 years,data.Men+,11,24.0
2015,data.Prince Edward Island,data.20 to 24 years,data.Women+,11,12.0
2015,data.Prince Edward Island,data.25 to 29 years,data.Total - Gender,11,19.0
2015,data.Prince Edward Island,data.25 to 29 years,data.Men+,11,15.0
2015,data.Prince Edward Island,data.25 to 29 years,data.Women+,11,23.0
