Year,data.Geography,data.Sex,data.Age group,Value
2015,,,,26.29
2016,,,,24.95
2017,,,,24.15
2018,,,,21.77
2019,,,,19.5
2020,,,,23.26
2015,data.Canada,data.Both sexes,data.15 to 24 years,19.28
2016,data.Canada,data.Both sexes,data.15 to 24 years,18.04
2017,data.Canada,data.Both sexes,data.15 to 24 years,17.87
2018,data.Canada,data.Both sexes,data.15 to 24 years,15.62
2019,data.Canada,data.Both sexes,data.15 to 24 years,14.48
2020,data.Canada,data.Both sexes,data.15 to 24 years,17.43
2015,data.Canada,data.Both sexes,data.25 years and over,30.14
2016,data.Canada,data.Both sexes,data.25 years and over,28.58
2017,data.Canada,data.Both sexes,data.25 years and over,27.57
2018,data.Canada,data.Both sexes,data.25 years and over,25.06
2019,data.Canada,data.Both sexes,data.25 years and over,22.22
2020,data.Canada,data.Both sexes,data.25 years and over,26.1
2015,data.Canada,data.Both sexes,data.25 to 44 years,36.44
2016,data.Canada,data.Both sexes,data.25 to 44 years,34.1
2017,data.Canada,data.Both sexes,data.25 to 44 years,34.0
2018,data.Canada,data.Both sexes,data.25 to 44 years,30.93
2019,data.Canada,data.Both sexes,data.25 to 44 years,27.53
2020,data.Canada,data.Both sexes,data.25 to 44 years,30.97
2015,data.Canada,data.Both sexes,data.45 years and over,25.46
2016,data.Canada,data.Both sexes,data.45 years and over,24.59
2017,data.Canada,data.Both sexes,data.45 years and over,22.85
2018,data.Canada,data.Both sexes,data.45 years and over,20.81
2019,data.Canada,data.Both sexes,data.45 years and over,18.53
2020,data.Canada,data.Both sexes,data.45 years and over,22.64
2015,data.Canada,data.Both sexes,data.25 to 54 years,36.49
2016,data.Canada,data.Both sexes,data.25 to 54 years,34.73
2017,data.Canada,data.Both sexes,data.25 to 54 years,34.13
2018,data.Canada,data.Both sexes,data.25 to 54 years,31.08
2019,data.Canada,data.Both sexes,data.25 to 54 years,27.65
2020,data.Canada,data.Both sexes,data.25 to 54 years,31.42
2015,data.Canada,data.Both sexes,data.55 years and over,18.56
2016,data.Canada,data.Both sexes,data.55 years and over,18.2
2017,data.Canada,data.Both sexes,data.55 years and over,16.79
2018,data.Canada,data.Both sexes,data.55 years and over,15.4
2019,data.Canada,data.Both sexes,data.55 years and over,14.05
2020,data.Canada,data.Both sexes,data.55 years and over,18.06
2015,data.Canada,data.Both sexes,data.55 to 64 years,24.31
2016,data.Canada,data.Both sexes,data.55 to 64 years,24.17
2017,data.Canada,data.Both sexes,data.55 to 64 years,22.54
2018,data.Canada,data.Both sexes,data.55 to 64 years,19.97
2019,data.Canada,data.Both sexes,data.55 to 64 years,19.32
2020,data.Canada,data.Both sexes,data.55 to 64 years,23.81
2015,data.Canada,data.Both sexes,data.65 years and over,8.59
2016,data.Canada,data.Both sexes,data.65 years and over,7.86
2017,data.Canada,data.Both sexes,data.65 years and over,
2018,data.Canada,data.Both sexes,data.65 years and over,7.88
