Year,data.Geography,data.Industry,Value
2007,,,156871.0
2008,,,160251.0
2009,,,160259.0
2010,,,157792.0
2011,,,162370.0
2012,,,165213.0
2013,,,171213.0
2014,,,179819.0
2015,,,203182.0
2016,,,195219.0
2017,,,206711.0
2018,,,206377.0
2019,,,216676.0
2007,data.Canada,data.Engineering construction,45040.0
2008,data.Canada,data.Engineering construction,48963.0
2009,data.Canada,data.Engineering construction,55579.0
2010,data.Canada,data.Engineering construction,60586.0
2011,data.Canada,data.Engineering construction,62349.0
2012,data.Canada,data.Engineering construction,65080.0
2013,data.Canada,data.Engineering construction,69227.0
2014,data.Canada,data.Engineering construction,71736.0
2015,data.Canada,data.Engineering construction,80228.0
2016,data.Canada,data.Engineering construction,72333.0
2017,data.Canada,data.Engineering construction,71717.0
2018,data.Canada,data.Engineering construction,62796.0
2019,data.Canada,data.Engineering construction,64437.0
2007,data.Canada,data.Manufacturing,38120.0
2008,data.Canada,data.Manufacturing,35552.0
2009,data.Canada,data.Manufacturing,30706.0
2010,data.Canada,data.Manufacturing,26993.0
2011,data.Canada,data.Manufacturing,26355.0
2012,data.Canada,data.Manufacturing,26747.0
2013,data.Canada,data.Manufacturing,27930.0
2014,data.Canada,data.Manufacturing,26949.0
2015,data.Canada,data.Manufacturing,34311.0
2016,data.Canada,data.Manufacturing,29807.0
2017,data.Canada,data.Manufacturing,35535.0
2018,data.Canada,data.Manufacturing,38772.0
2019,data.Canada,data.Manufacturing,40252.0
2007,data.Canada,"data.Professional, scientific and technical services",25963.0
2008,data.Canada,"data.Professional, scientific and technical services",27739.0
2009,data.Canada,"data.Professional, scientific and technical services",25706.0
2010,data.Canada,"data.Professional, scientific and technical services",24194.0
2011,data.Canada,"data.Professional, scientific and technical services",26853.0
2012,data.Canada,"data.Professional, scientific and technical services",27423.0
2013,data.Canada,"data.Professional, scientific and technical services",26265.0
2014,data.Canada,"data.Professional, scientific and technical services",30096.0
2015,data.Canada,"data.Professional, scientific and technical services",35526.0
2016,data.Canada,"data.Professional, scientific and technical services",38943.0
2017,data.Canada,"data.Professional, scientific and technical services",42593.0
2018,data.Canada,"data.Professional, scientific and technical services",46319.0
2019,data.Canada,"data.Professional, scientific and technical services",52128.0
2007,data.Canada,data.Other industries,47748.0
2008,data.Canada,data.Other industries,47997.0
2009,data.Canada,data.Other industries,48268.0
2010,data.Canada,data.Other industries,46019.0
2011,data.Canada,data.Other industries,46813.0
2012,data.Canada,data.Other industries,45963.0
2013,data.Canada,data.Other industries,47791.0
2014,data.Canada,data.Other industries,51038.0
2015,data.Canada,data.Other industries,53117.0
2016,data.Canada,data.Other industries,54136.0
2017,data.Canada,data.Other industries,56866.0
2018,data.Canada,data.Other industries,58490.0
2019,data.Canada,data.Other industries,59859.0
2007,data.Newfoundland and Labrador,"data.Total, all clean technology industries",
2008,data.Newfoundland and Labrador,"data.Total, all clean technology industries",
2009,data.Newfoundland and Labrador,"data.Total, all clean technology industries",
2010,data.Newfoundland and Labrador,"data.Total, all clean technology industries",
2011,data.Newfoundland and Labrador,"data.Total, all clean technology industries",
2012,data.Newfoundland and Labrador,"data.Total, all clean technology industries",3371.0
2013,data.Newfoundland and Labrador,"data.Total, all clean technology industries",5022.0
2014,data.Newfoundland and Labrador,"data.Total, all clean technology industries",7552.0
2015,data.Newfoundland and Labrador,"data.Total, all clean technology industries",10263.0
2016,data.Newfoundland and Labrador,"data.Total, all clean technology industries",9985.0
2017,data.Newfoundland and Labrador,"data.Total, all clean technology industries",9699.0
2018,data.Newfoundland and Labrador,"data.Total, all clean technology industries",8492.0
2019,data.Newfoundland and Labrador,"data.Total, all clean technology industries",9253.0
2007,data.Newfoundland and Labrador,data.Engineering construction,
2008,data.Newfoundland and Labrador,data.Engineering construction,
2009,data.Newfoundland and Labrador,data.Engineering construction,
2010,data.Newfoundland and Labrador,data.Engineering construction,
2011,data.Newfoundland and Labrador,data.Engineering construction,
2012,data.Newfoundland and Labrador,data.Engineering construction,2433.0
2013,data.Newfoundland and Labrador,data.Engineering construction,4161.0
2014,data.Newfoundland and Labrador,data.Engineering construction,6606.0
2015,data.Newfoundland and Labrador,data.Engineering construction,9314.0
2016,data.Newfoundland and Labrador,data.Engineering construction,9000.0
2017,data.Newfoundland and Labrador,data.Engineering construction,8822.0
2018,data.Newfoundland and Labrador,data.Engineering construction,7493.0
2019,data.Newfoundland and Labrador,data.Engineering construction,8258.0
2007,data.Newfoundland and Labrador,data.Manufacturing,
2008,data.Newfoundland and Labrador,data.Manufacturing,
2009,data.Newfoundland and Labrador,data.Manufacturing,
2010,data.Newfoundland and Labrador,data.Manufacturing,
2011,data.Newfoundland and Labrador,data.Manufacturing,
2012,data.Newfoundland and Labrador,data.Manufacturing,50.0
2013,data.Newfoundland and Labrador,data.Manufacturing,45.0
2014,data.Newfoundland and Labrador,data.Manufacturing,51.0
2015,data.Newfoundland and Labrador,data.Manufacturing,47.0
2016,data.Newfoundland and Labrador,data.Manufacturing,39.0
2017,data.Newfoundland and Labrador,data.Manufacturing,62.0
2018,data.Newfoundland and Labrador,data.Manufacturing,108.0
2019,data.Newfoundland and Labrador,data.Manufacturing,100.0
2007,data.Newfoundland and Labrador,"data.Professional, scientific and technical services",
2008,data.Newfoundland and Labrador,"data.Professional, scientific and technical services",
2009,data.Newfoundland and Labrador,"data.Professional, scientific and technical services",
2010,data.Newfoundland and Labrador,"data.Professional, scientific and technical services",
2011,data.Newfoundland and Labrador,"data.Professional, scientific and technical services",
2012,data.Newfoundland and Labrador,"data.Professional, scientific and technical services",174.0
2013,data.Newfoundland and Labrador,"data.Professional, scientific and technical services",180.0
2014,data.Newfoundland and Labrador,"data.Professional, scientific and technical services",213.0
2015,data.Newfoundland and Labrador,"data.Professional, scientific and technical services",227.0
2016,data.Newfoundland and Labrador,"data.Professional, scientific and technical services",286.0
2017,data.Newfoundland and Labrador,"data.Professional, scientific and technical services",192.0
2018,data.Newfoundland and Labrador,"data.Professional, scientific and technical services",206.0
2019,data.Newfoundland and Labrador,"data.Professional, scientific and technical services",220.0
2007,data.Newfoundland and Labrador,data.Other industries,
2008,data.Newfoundland and Labrador,data.Other industries,
2009,data.Newfoundland and Labrador,data.Other industries,
2010,data.Newfoundland and Labrador,data.Other industries,
2011,data.Newfoundland and Labrador,data.Other industries,
2012,data.Newfoundland and Labrador,data.Other industries,714.0
2013,data.Newfoundland and Labrador,data.Other industries,636.0
2014,data.Newfoundland and Labrador,data.Other industries,682.0
2015,data.Newfoundland and Labrador,data.Other industries,675.0
2016,data.Newfoundland and Labrador,data.Other industries,660.0
2017,data.Newfoundland and Labrador,data.Other industries,623.0
2018,data.Newfoundland and Labrador,data.Other industries,685.0
2019,data.Newfoundland and Labrador,data.Other industries,675.0
2007,data.Prince Edward Island,"data.Total, all clean technology industries",
2008,data.Prince Edward Island,"data.Total, all clean technology industries",
2009,data.Prince Edward Island,"data.Total, all clean technology industries",
2010,data.Prince Edward Island,"data.Total, all clean technology industries",
2011,data.Prince Edward Island,"data.Total, all clean technology industries",
2012,data.Prince Edward Island,"data.Total, all clean technology industries",337.0
2013,data.Prince Edward Island,"data.Total, all clean technology industries",1126.0
2014,data.Prince Edward Island,"data.Total, all clean technology industries",504.0
2015,data.Prince Edward Island,"data.Total, all clean technology industries",597.0
2016,data.Prince Edward Island,"data.Total, all clean technology industries",861.0
2017,data.Prince Edward Island,"data.Total, all clean technology industries",792.0
2018,data.Prince Edward Island,"data.Total, all clean technology industries",733.0
2019,data.Prince Edward Island,"data.Total, all clean technology industries",731.0
2007,data.Prince Edward Island,data.Engineering construction,
2008,data.Prince Edward Island,data.Engineering construction,
2009,data.Prince Edward Island,data.Engineering construction,
2010,data.Prince Edward Island,data.Engineering construction,
2011,data.Prince Edward Island,data.Engineering construction,
2012,data.Prince Edward Island,data.Engineering construction,149.0
2013,data.Prince Edward Island,data.Engineering construction,840.0
2014,data.Prince Edward Island,data.Engineering construction,168.0
2015,data.Prince Edward Island,data.Engineering construction,196.0
2016,data.Prince Edward Island,data.Engineering construction,459.0
2017,data.Prince Edward Island,data.Engineering construction,413.0
2018,data.Prince Edward Island,data.Engineering construction,218.0
2019,data.Prince Edward Island,data.Engineering construction,193.0
2007,data.Prince Edward Island,data.Manufacturing,
2008,data.Prince Edward Island,data.Manufacturing,
2009,data.Prince Edward Island,data.Manufacturing,
2010,data.Prince Edward Island,data.Manufacturing,
2011,data.Prince Edward Island,data.Manufacturing,
2012,data.Prince Edward Island,data.Manufacturing,16.0
2013,data.Prince Edward Island,data.Manufacturing,16.0
2014,data.Prince Edward Island,data.Manufacturing,19.0
2015,data.Prince Edward Island,data.Manufacturing,28.0
2016,data.Prince Edward Island,data.Manufacturing,32.0
2017,data.Prince Edward Island,data.Manufacturing,39.0
2018,data.Prince Edward Island,data.Manufacturing,102.0
2019,data.Prince Edward Island,data.Manufacturing,100.0
2007,data.Prince Edward Island,"data.Professional, scientific and technical services",
2008,data.Prince Edward Island,"data.Professional, scientific and technical services",
2009,data.Prince Edward Island,"data.Professional, scientific and technical services",
2010,data.Prince Edward Island,"data.Professional, scientific and technical services",
2011,data.Prince Edward Island,"data.Professional, scientific and technical services",
2012,data.Prince Edward Island,"data.Professional, scientific and technical services",39.0
2013,data.Prince Edward Island,"data.Professional, scientific and technical services",29.0
2014,data.Prince Edward Island,"data.Professional, scientific and technical services",44.0
2015,data.Prince Edward Island,"data.Professional, scientific and technical services",50.0
2016,data.Prince Edward Island,"data.Professional, scientific and technical services",50.0
2017,data.Prince Edward Island,"data.Professional, scientific and technical services",45.0
2018,data.Prince Edward Island,"data.Professional, scientific and technical services",77.0
2019,data.Prince Edward Island,"data.Professional, scientific and technical services",87.0
2007,data.Prince Edward Island,data.Other industries,
2008,data.Prince Edward Island,data.Other industries,
2009,data.Prince Edward Island,data.Other industries,
2010,data.Prince Edward Island,data.Other industries,
2011,data.Prince Edward Island,data.Other industries,
2012,data.Prince Edward Island,data.Other industries,133.0
2013,data.Prince Edward Island,data.Other industries,241.0
2014,data.Prince Edward Island,data.Other industries,273.0
2015,data.Prince Edward Island,data.Other industries,323.0
2016,data.Prince Edward Island,data.Other industries,320.0
2017,data.Prince Edward Island,data.Other industries,295.0
2018,data.Prince Edward Island,data.Other industries,336.0
2019,data.Prince Edward Island,data.Other industries,351.0
2007,data.Nova Scotia,"data.Total, all clean technology industries",
2008,data.Nova Scotia,"data.Total, all clean technology industries",
2009,data.Nova Scotia,"data.Total, all clean technology industries",
2010,data.Nova Scotia,"data.Total, all clean technology industries",
2011,data.Nova Scotia,"data.Total, all clean technology industries",
2012,data.Nova Scotia,"data.Total, all clean technology industries",2574.0
2013,data.Nova Scotia,"data.Total, all clean technology industries",2372.0
2014,data.Nova Scotia,"data.Total, all clean technology industries",3137.0
2015,data.Nova Scotia,"data.Total, all clean technology industries",3583.0
2016,data.Nova Scotia,"data.Total, all clean technology industries",3219.0
2017,data.Nova Scotia,"data.Total, all clean technology industries",3671.0
2018,data.Nova Scotia,"data.Total, all clean technology industries",3794.0
2019,data.Nova Scotia,"data.Total, all clean technology industries",3790.0
2007,data.Nova Scotia,data.Engineering construction,
2008,data.Nova Scotia,data.Engineering construction,
2009,data.Nova Scotia,data.Engineering construction,
2010,data.Nova Scotia,data.Engineering construction,
2011,data.Nova Scotia,data.Engineering construction,
2012,data.Nova Scotia,data.Engineering construction,529.0
2013,data.Nova Scotia,data.Engineering construction,359.0
2014,data.Nova Scotia,data.Engineering construction,996.0
2015,data.Nova Scotia,data.Engineering construction,1406.0
2016,data.Nova Scotia,data.Engineering construction,907.0
2017,data.Nova Scotia,data.Engineering construction,1066.0
2018,data.Nova Scotia,data.Engineering construction,947.0
2019,data.Nova Scotia,data.Engineering construction,871.0
2007,data.Nova Scotia,data.Manufacturing,
2008,data.Nova Scotia,data.Manufacturing,
2009,data.Nova Scotia,data.Manufacturing,
2010,data.Nova Scotia,data.Manufacturing,
2011,data.Nova Scotia,data.Manufacturing,
2012,data.Nova Scotia,data.Manufacturing,404.0
2013,data.Nova Scotia,data.Manufacturing,531.0
2014,data.Nova Scotia,data.Manufacturing,526.0
2015,data.Nova Scotia,data.Manufacturing,458.0
2016,data.Nova Scotia,data.Manufacturing,585.0
2017,data.Nova Scotia,data.Manufacturing,582.0
2018,data.Nova Scotia,data.Manufacturing,504.0
2019,data.Nova Scotia,data.Manufacturing,400.0
2007,data.Nova Scotia,"data.Professional, scientific and technical services",
2008,data.Nova Scotia,"data.Professional, scientific and technical services",
2009,data.Nova Scotia,"data.Professional, scientific and technical services",
2010,data.Nova Scotia,"data.Professional, scientific and technical services",
2011,data.Nova Scotia,"data.Professional, scientific and technical services",
2012,data.Nova Scotia,"data.Professional, scientific and technical services",393.0
2013,data.Nova Scotia,"data.Professional, scientific and technical services",392.0
2014,data.Nova Scotia,"data.Professional, scientific and technical services",454.0
2015,data.Nova Scotia,"data.Professional, scientific and technical services",519.0
2016,data.Nova Scotia,"data.Professional, scientific and technical services",527.0
2017,data.Nova Scotia,"data.Professional, scientific and technical services",710.0
2018,data.Nova Scotia,"data.Professional, scientific and technical services",949.0
2019,data.Nova Scotia,"data.Professional, scientific and technical services",1120.0
2007,data.Nova Scotia,data.Other industries,
2008,data.Nova Scotia,data.Other industries,
2009,data.Nova Scotia,data.Other industries,
2010,data.Nova Scotia,data.Other industries,
2011,data.Nova Scotia,data.Other industries,
2012,data.Nova Scotia,data.Other industries,1248.0
2013,data.Nova Scotia,data.Other industries,1090.0
2014,data.Nova Scotia,data.Other industries,1161.0
2015,data.Nova Scotia,data.Other industries,1200.0
2016,data.Nova Scotia,data.Other industries,1200.0
2017,data.Nova Scotia,data.Other industries,1313.0
2018,data.Nova Scotia,data.Other industries,1394.0
2019,data.Nova Scotia,data.Other industries,1399.0
2007,data.New Brunswick,"data.Total, all clean technology industries",
2008,data.New Brunswick,"data.Total, all clean technology industries",
2009,data.New Brunswick,"data.Total, all clean technology industries",
2010,data.New Brunswick,"data.Total, all clean technology industries",
2011,data.New Brunswick,"data.Total, all clean technology industries",
2012,data.New Brunswick,"data.Total, all clean technology industries",3454.0
2013,data.New Brunswick,"data.Total, all clean technology industries",3019.0
2014,data.New Brunswick,"data.Total, all clean technology industries",3173.0
2015,data.New Brunswick,"data.Total, all clean technology industries",3035.0
2016,data.New Brunswick,"data.Total, all clean technology industries",3387.0
2017,data.New Brunswick,"data.Total, all clean technology industries",3300.0
2018,data.New Brunswick,"data.Total, all clean technology industries",3561.0
2019,data.New Brunswick,"data.Total, all clean technology industries",3497.0
2007,data.New Brunswick,data.Engineering construction,
2008,data.New Brunswick,data.Engineering construction,
2009,data.New Brunswick,data.Engineering construction,
2010,data.New Brunswick,data.Engineering construction,
2011,data.New Brunswick,data.Engineering construction,
2012,data.New Brunswick,data.Engineering construction,1412.0
2013,data.New Brunswick,data.Engineering construction,797.0
2014,data.New Brunswick,data.Engineering construction,929.0
2015,data.New Brunswick,data.Engineering construction,617.0
2016,data.New Brunswick,data.Engineering construction,942.0
2017,data.New Brunswick,data.Engineering construction,1175.0
2018,data.New Brunswick,data.Engineering construction,1163.0
2019,data.New Brunswick,data.Engineering construction,1004.0
2007,data.New Brunswick,data.Manufacturing,
2008,data.New Brunswick,data.Manufacturing,
2009,data.New Brunswick,data.Manufacturing,
2010,data.New Brunswick,data.Manufacturing,
2011,data.New Brunswick,data.Manufacturing,
2012,data.New Brunswick,data.Manufacturing,968.0
2013,data.New Brunswick,data.Manufacturing,920.0
2014,data.New Brunswick,data.Manufacturing,924.0
2015,data.New Brunswick,data.Manufacturing,1072.0
2016,data.New Brunswick,data.Manufacturing,1040.0
2017,data.New Brunswick,data.Manufacturing,904.0
2018,data.New Brunswick,data.Manufacturing,792.0
2019,data.New Brunswick,data.Manufacturing,878.0
2007,data.New Brunswick,"data.Professional, scientific and technical services",
2008,data.New Brunswick,"data.Professional, scientific and technical services",
2009,data.New Brunswick,"data.Professional, scientific and technical services",
2010,data.New Brunswick,"data.Professional, scientific and technical services",
2011,data.New Brunswick,"data.Professional, scientific and technical services",
2012,data.New Brunswick,"data.Professional, scientific and technical services",310.0
2013,data.New Brunswick,"data.Professional, scientific and technical services",273.0
2014,data.New Brunswick,"data.Professional, scientific and technical services",334.0
2015,data.New Brunswick,"data.Professional, scientific and technical services",313.0
2016,data.New Brunswick,"data.Professional, scientific and technical services",374.0
2017,data.New Brunswick,"data.Professional, scientific and technical services",254.0
2018,data.New Brunswick,"data.Professional, scientific and technical services",522.0
2019,data.New Brunswick,"data.Professional, scientific and technical services",515.0
2007,data.New Brunswick,data.Other industries,
2008,data.New Brunswick,data.Other industries,
2009,data.New Brunswick,data.Other industries,
2010,data.New Brunswick,data.Other industries,
2011,data.New Brunswick,data.Other industries,
2012,data.New Brunswick,data.Other industries,764.0
2013,data.New Brunswick,data.Other industries,1029.0
2014,data.New Brunswick,data.Other industries,986.0
2015,data.New Brunswick,data.Other industries,1033.0
2016,data.New Brunswick,data.Other industries,1031.0
2017,data.New Brunswick,data.Other industries,967.0
2018,data.New Brunswick,data.Other industries,1084.0
2019,data.New Brunswick,data.Other industries,1100.0
2007,data.Quebec,"data.Total, all clean technology industries",
2008,data.Quebec,"data.Total, all clean technology industries",
2009,data.Quebec,"data.Total, all clean technology industries",
2010,data.Quebec,"data.Total, all clean technology industries",
2011,data.Quebec,"data.Total, all clean technology industries",
2012,data.Quebec,"data.Total, all clean technology industries",46725.0
2013,data.Quebec,"data.Total, all clean technology industries",45653.0
2014,data.Quebec,"data.Total, all clean technology industries",42302.0
2015,data.Quebec,"data.Total, all clean technology industries",48534.0
2016,data.Quebec,"data.Total, all clean technology industries",44124.0
2017,data.Quebec,"data.Total, all clean technology industries",43598.0
2018,data.Quebec,"data.Total, all clean technology industries",48559.0
2019,data.Quebec,"data.Total, all clean technology industries",50283.0
2007,data.Quebec,data.Engineering construction,
2008,data.Quebec,data.Engineering construction,
2009,data.Quebec,data.Engineering construction,
2010,data.Quebec,data.Engineering construction,
2011,data.Quebec,data.Engineering construction,
2012,data.Quebec,data.Engineering construction,24257.0
2013,data.Quebec,data.Engineering construction,23855.0
2014,data.Quebec,data.Engineering construction,19086.0
2015,data.Quebec,data.Engineering construction,21868.0
2016,data.Quebec,data.Engineering construction,17817.0
2017,data.Quebec,data.Engineering construction,15170.0
2018,data.Quebec,data.Engineering construction,13713.0
2019,data.Quebec,data.Engineering construction,13321.0
2007,data.Quebec,data.Manufacturing,
2008,data.Quebec,data.Manufacturing,
2009,data.Quebec,data.Manufacturing,
2010,data.Quebec,data.Manufacturing,
2011,data.Quebec,data.Manufacturing,
2012,data.Quebec,data.Manufacturing,7747.0
2013,data.Quebec,data.Manufacturing,7940.0
2014,data.Quebec,data.Manufacturing,8412.0
2015,data.Quebec,data.Manufacturing,9903.0
2016,data.Quebec,data.Manufacturing,9467.0
2017,data.Quebec,data.Manufacturing,9581.0
2018,data.Quebec,data.Manufacturing,13113.0
2019,data.Quebec,data.Manufacturing,13481.0
2007,data.Quebec,"data.Professional, scientific and technical services",
2008,data.Quebec,"data.Professional, scientific and technical services",
2009,data.Quebec,"data.Professional, scientific and technical services",
2010,data.Quebec,"data.Professional, scientific and technical services",
2011,data.Quebec,"data.Professional, scientific and technical services",
2012,data.Quebec,"data.Professional, scientific and technical services",6072.0
2013,data.Quebec,"data.Professional, scientific and technical services",5411.0
2014,data.Quebec,"data.Professional, scientific and technical services",5802.0
2015,data.Quebec,"data.Professional, scientific and technical services",6995.0
2016,data.Quebec,"data.Professional, scientific and technical services",7500.0
2017,data.Quebec,"data.Professional, scientific and technical services",9462.0
2018,data.Quebec,"data.Professional, scientific and technical services",11675.0
2019,data.Quebec,"data.Professional, scientific and technical services",13241.0
2007,data.Quebec,data.Other industries,
2008,data.Quebec,data.Other industries,
2009,data.Quebec,data.Other industries,
2010,data.Quebec,data.Other industries,
2011,data.Quebec,data.Other industries,
2012,data.Quebec,data.Other industries,8649.0
2013,data.Quebec,data.Other industries,8447.0
2014,data.Quebec,data.Other industries,9002.0
2015,data.Quebec,data.Other industries,9768.0
2016,data.Quebec,data.Other industries,9340.0
2017,data.Quebec,data.Other industries,9385.0
2018,data.Quebec,data.Other industries,10058.0
2019,data.Quebec,data.Other industries,10240.0
2007,data.Ontario,"data.Total, all clean technology industries",
2008,data.Ontario,"data.Total, all clean technology industries",
2009,data.Ontario,"data.Total, all clean technology industries",
2010,data.Ontario,"data.Total, all clean technology industries",
2011,data.Ontario,"data.Total, all clean technology industries",
2012,data.Ontario,"data.Total, all clean technology industries",58155.0
2013,data.Ontario,"data.Total, all clean technology industries",61679.0
2014,data.Ontario,"data.Total, all clean technology industries",67377.0
2015,data.Ontario,"data.Total, all clean technology industries",78422.0
2016,data.Ontario,"data.Total, all clean technology industries",72674.0
2017,data.Ontario,"data.Total, all clean technology industries",75902.0
2018,data.Ontario,"data.Total, all clean technology industries",78141.0
2019,data.Ontario,"data.Total, all clean technology industries",83469.0
2007,data.Ontario,data.Engineering construction,
2008,data.Ontario,data.Engineering construction,
2009,data.Ontario,data.Engineering construction,
2010,data.Ontario,data.Engineering construction,
2011,data.Ontario,data.Engineering construction,
2012,data.Ontario,data.Engineering construction,15931.0
2013,data.Ontario,data.Engineering construction,16967.0
2014,data.Ontario,data.Engineering construction,21236.0
2015,data.Ontario,data.Engineering construction,23813.0
2016,data.Ontario,data.Engineering construction,18997.0
2017,data.Ontario,data.Engineering construction,19059.0
2018,data.Ontario,data.Engineering construction,16913.0
2019,data.Ontario,data.Engineering construction,17765.0
2007,data.Ontario,data.Manufacturing,
2008,data.Ontario,data.Manufacturing,
2009,data.Ontario,data.Manufacturing,
2010,data.Ontario,data.Manufacturing,
2011,data.Ontario,data.Manufacturing,
2012,data.Ontario,data.Manufacturing,10322.0
2013,data.Ontario,data.Manufacturing,11539.0
2014,data.Ontario,data.Manufacturing,9896.0
2015,data.Ontario,data.Manufacturing,14862.0
2016,data.Ontario,data.Manufacturing,10887.0
2017,data.Ontario,data.Manufacturing,14783.0
2018,data.Ontario,data.Manufacturing,14684.0
2019,data.Ontario,data.Manufacturing,15816.0
2007,data.Ontario,"data.Professional, scientific and technical services",
2008,data.Ontario,"data.Professional, scientific and technical services",
2009,data.Ontario,"data.Professional, scientific and technical services",
2010,data.Ontario,"data.Professional, scientific and technical services",
2011,data.Ontario,"data.Professional, scientific and technical services",
2012,data.Ontario,"data.Professional, scientific and technical services",11714.0
2013,data.Ontario,"data.Professional, scientific and technical services",11072.0
2014,data.Ontario,"data.Professional, scientific and technical services",13160.0
2015,data.Ontario,"data.Professional, scientific and technical services",15907.0
2016,data.Ontario,"data.Professional, scientific and technical services",17825.0
2017,data.Ontario,"data.Professional, scientific and technical services",16581.0
2018,data.Ontario,"data.Professional, scientific and technical services",19522.0
2019,data.Ontario,"data.Professional, scientific and technical services",21666.0
2007,data.Ontario,data.Other industries,
2008,data.Ontario,data.Other industries,
2009,data.Ontario,data.Other industries,
