Year,data.Geography,data.Population centres,GeoCode,Value
2016,,,,84.3
2017,,,,84.1
2018,,,,85.5
2019,,,,87.4
2020,,,,89.7
2021,,,,91.4
2022,,,,93.1
2016,data.Canada,data.First Nations reserves,,27.3
2017,data.Canada,data.First Nations reserves,,27.7
2018,data.Canada,data.First Nations reserves,,31.3
2019,data.Canada,data.First Nations reserves,,34.8
2020,data.Canada,data.First Nations reserves,,39.1
2021,data.Canada,data.First Nations reserves,,43.3
2022,data.Canada,data.First Nations reserves,,50.1
2016,data.Canada,data.First Nations reserves Urban centres,,73.0
2017,data.Canada,data.First Nations reserves Urban centres,,73.0
2018,data.Canada,data.First Nations reserves Urban centres,,75.6
2019,data.Canada,data.First Nations reserves Urban centres,,80.7
2020,data.Canada,data.First Nations reserves Urban centres,,84.2
2021,data.Canada,data.First Nations reserves Urban centres,,81.8
2022,data.Canada,data.First Nations reserves Urban centres,,81.7
2016,data.Canada,data.First Nations reserves Rural areas,,14.2
2017,data.Canada,data.First Nations reserves Rural areas,,14.8
2018,data.Canada,data.First Nations reserves Rural areas,,18.7
2019,data.Canada,data.First Nations reserves Rural areas,,21.7
2020,data.Canada,data.First Nations reserves Rural areas,,26.2
2021,data.Canada,data.First Nations reserves Rural areas,,32.3
2022,data.Canada,data.First Nations reserves Rural areas,,37.8
2016,data.Canada,data.Urban centres,,96.4
2017,data.Canada,data.Urban centres,,96.6
2018,data.Canada,data.Urban centres,,97.4
2019,data.Canada,data.Urban centres,,98.6
2020,data.Canada,data.Urban centres,,99.2
2021,data.Canada,data.Urban centres,,99.2
2022,data.Canada,data.Urban centres,,99.4
2016,data.Canada,data.Rural areas,,38.9
2017,data.Canada,data.Rural areas,,37.2
2018,data.Canada,data.Rural areas,,40.7
2019,data.Canada,data.Rural areas,,45.6
2020,data.Canada,data.Rural areas,,54.4
2021,data.Canada,data.Rural areas,,62.0
2022,data.Canada,data.Rural areas,,67.4
2016,data.British Columbia,data.First Nations reserves,59,60.01
2017,data.British Columbia,data.First Nations reserves,59,62.13
2018,data.British Columbia,data.First Nations reserves,59,66.68
2019,data.British Columbia,data.First Nations reserves,59,68.32
2020,data.British Columbia,data.First Nations reserves,59,70.73
2021,data.British Columbia,data.First Nations reserves,59,71.52
2022,data.British Columbia,data.First Nations reserves,59,74.82
2016,data.Alberta,data.First Nations reserves,48,1.13
2017,data.Alberta,data.First Nations reserves,48,0.3
2018,data.Alberta,data.First Nations reserves,48,12.02
2019,data.Alberta,data.First Nations reserves,48,19.6
2020,data.Alberta,data.First Nations reserves,48,17.13
2021,data.Alberta,data.First Nations reserves,48,26.91
2022,data.Alberta,data.First Nations reserves,48,29.74
2016,data.Saskatchewan,data.First Nations reserves,47,
2017,data.Saskatchewan,data.First Nations reserves,47,
2018,data.Saskatchewan,data.First Nations reserves,47,
2019,data.Saskatchewan,data.First Nations reserves,47,1.65
2020,data.Saskatchewan,data.First Nations reserves,47,4.04
2021,data.Saskatchewan,data.First Nations reserves,47,10.05
2022,data.Saskatchewan,data.First Nations reserves,47,10.65
2016,data.Manitoba,data.First Nations reserves,46,2.29
2017,data.Manitoba,data.First Nations reserves,46,1.48
2018,data.Manitoba,data.First Nations reserves,46,1.82
2019,data.Manitoba,data.First Nations reserves,46,2.04
2020,data.Manitoba,data.First Nations reserves,46,4.27
2021,data.Manitoba,data.First Nations reserves,46,14.58
2022,data.Manitoba,data.First Nations reserves,46,24.04
2016,data.Ontario,data.First Nations reserves,35,18.03
2017,data.Ontario,data.First Nations reserves,35,14.79
2018,data.Ontario,data.First Nations reserves,35,16.98
2019,data.Ontario,data.First Nations reserves,35,16.11
2020,data.Ontario,data.First Nations reserves,35,27.87
2021,data.Ontario,data.First Nations reserves,35,33.41
2022,data.Ontario,data.First Nations reserves,35,34.9
2016,data.Quebec,data.First Nations reserves,24,31.79
2017,data.Quebec,data.First Nations reserves,24,38.35
2018,data.Quebec,data.First Nations reserves,24,44.72
2019,data.Quebec,data.First Nations reserves,24,62.76
2020,data.Quebec,data.First Nations reserves,24,65.75
2021,data.Quebec,data.First Nations reserves,24,66.7
2022,data.Quebec,data.First Nations reserves,24,81.98
2016,data.New Brunswick,data.First Nations reserves,13,87.8
2017,data.New Brunswick,data.First Nations reserves,13,87.18
2018,data.New Brunswick,data.First Nations reserves,13,87.18
2019,data.New Brunswick,data.First Nations reserves,13,92.89
2020,data.New Brunswick,data.First Nations reserves,13,97.35
2021,data.New Brunswick,data.First Nations reserves,13,95.77
2022,data.New Brunswick,data.First Nations reserves,13,96.25
2016,data.Prince Edward Island,data.First Nations reserves,11,29.72
2017,data.Prince Edward Island,data.First Nations reserves,11,29.74
2018,data.Prince Edward Island,data.First Nations reserves,11,29.74
2019,data.Prince Edward Island,data.First Nations reserves,11,30.43
2020,data.Prince Edward Island,data.First Nations reserves,11,50.38
2021,data.Prince Edward Island,data.First Nations reserves,11,97.61
2022,data.Prince Edward Island,data.First Nations reserves,11,97.99
2016,data.Nova Scotia,data.First Nations reserves,12,45.03
2017,data.Nova Scotia,data.First Nations reserves,12,43.92
2018,data.Nova Scotia,data.First Nations reserves,12,43.92
2019,data.Nova Scotia,data.First Nations reserves,12,44.14
2020,data.Nova Scotia,data.First Nations reserves,12,67.68
2021,data.Nova Scotia,data.First Nations reserves,12,44.87
2022,data.Nova Scotia,data.First Nations reserves,12,79.31
2016,data.Newfoundland and Labrador,data.First Nations reserves,10,26.74
2017,data.Newfoundland and Labrador,data.First Nations reserves,10,24.4
2018,data.Newfoundland and Labrador,data.First Nations reserves,10,
2019,data.Newfoundland and Labrador,data.First Nations reserves,10,
2020,data.Newfoundland and Labrador,data.First Nations reserves,10,
2021,data.Newfoundland and Labrador,data.First Nations reserves,10,25.92
2022,data.Newfoundland and Labrador,data.First Nations reserves,10,36.83
2016,data.Northwest Territories,data.First Nations reserves,61,
2017,data.Northwest Territories,data.First Nations reserves,61,
2018,data.Northwest Territories,data.First Nations reserves,61,
