Year,data.Geography,data.Asset,GeoCode,Value
2015,,,,0.2402
2016,,,,0.2476
2017,,,,0.2423
2018,,,,0.2357
2019,,,,0.2303
2020,,,,0.2309
2021,,,,0.2086
2022,,,,0.1898
2023,,,,0.1705
2015,data.Canada,data.Commercial buildings,,0.2021
2015,data.Canada,data.Institutional buildings,,0.1882
2015,data.Canada,data.Marine engineering infrastructure,,0.2243
2015,data.Canada,data.Transportation engineering infrastructure,,0.3116
2015,data.Canada,data.Waterworks infrastructure,,0.261
2015,data.Canada,data.Sewage infrastructure,,0.2687
2015,data.Canada,data.Communications networks,,0.2496
2015,data.Canada,data.Electric power infrastructure,,0.1765
2015,data.Canada,data.Oil and gas engineering construction,,0.2519
2015,data.Canada,data.Other engineering construction,,0.2896
2015,data.Canada,data.Other machinery and equipment,,0.2117
2015,data.Canada,data.Transportation machinery and equipment,,0.2694
2015,data.Newfoundland and Labrador,data.Total assets,10,0.1363
2015,data.Newfoundland and Labrador,data.Commercial buildings,10,0.1791
2015,data.Newfoundland and Labrador,data.Institutional buildings,10,0.1791
2015,data.Newfoundland and Labrador,data.Marine engineering infrastructure,10,0.1568
2015,data.Newfoundland and Labrador,data.Transportation engineering infrastructure,10,0.2316
2015,data.Newfoundland and Labrador,data.Waterworks infrastructure,10,0.1568
2015,data.Newfoundland and Labrador,data.Sewage infrastructure,10,0.1568
2015,data.Newfoundland and Labrador,data.Communications networks,10,0.3041
2015,data.Newfoundland and Labrador,data.Electric power infrastructure,10,0.1185
2015,data.Newfoundland and Labrador,data.Oil and gas engineering construction,10,
2015,data.Newfoundland and Labrador,data.Other engineering construction,10,0.1568
2015,data.Newfoundland and Labrador,data.Other machinery and equipment,10,0.1615
2015,data.Newfoundland and Labrador,data.Transportation machinery and equipment,10,0.2029
2015,data.Prince Edward Island,data.Total assets,11,0.2624
2015,data.Prince Edward Island,data.Commercial buildings,11,0.1609
2015,data.Prince Edward Island,data.Institutional buildings,11,0.1609
2015,data.Prince Edward Island,data.Marine engineering infrastructure,11,0.333
2015,data.Prince Edward Island,data.Transportation engineering infrastructure,11,0.3322
2015,data.Prince Edward Island,data.Waterworks infrastructure,11,0.333
2015,data.Prince Edward Island,data.Sewage infrastructure,11,0.333
2015,data.Prince Edward Island,data.Communications networks,11,0.259
2015,data.Prince Edward Island,data.Electric power infrastructure,11,0.107
2015,data.Prince Edward Island,data.Oil and gas engineering construction,11,
2015,data.Prince Edward Island,data.Other engineering construction,11,0.333
2015,data.Prince Edward Island,data.Other machinery and equipment,11,0.1911
2015,data.Prince Edward Island,data.Transportation machinery and equipment,11,0.153
2015,data.Nova Scotia,data.Total assets,12,0.1951
2015,data.Nova Scotia,data.Commercial buildings,12,0.272
2015,data.Nova Scotia,data.Institutional buildings,12,0.272
2015,data.Nova Scotia,data.Marine engineering infrastructure,12,0.126
2015,data.Nova Scotia,data.Transportation engineering infrastructure,12,0.1878
2015,data.Nova Scotia,data.Waterworks infrastructure,12,0.126
2015,data.Nova Scotia,data.Sewage infrastructure,12,0.126
2015,data.Nova Scotia,data.Communications networks,12,0.2223
2015,data.Nova Scotia,data.Electric power infrastructure,12,0.1694
2015,data.Nova Scotia,data.Oil and gas engineering construction,12,0.1521
2015,data.Nova Scotia,data.Other engineering construction,12,0.126
2015,data.Nova Scotia,data.Other machinery and equipment,12,0.1307
2015,data.Nova Scotia,data.Transportation machinery and equipment,12,0.2633
2015,data.New Brunswick,data.Total assets,13,0.1729
2015,data.New Brunswick,data.Commercial buildings,13,0.1343
2015,data.New Brunswick,data.Institutional buildings,13,0.1343
2015,data.New Brunswick,data.Marine engineering infrastructure,13,0.2038
2015,data.New Brunswick,data.Transportation engineering infrastructure,13,0.1997
2015,data.New Brunswick,data.Waterworks infrastructure,13,0.2038
2015,data.New Brunswick,data.Sewage infrastructure,13,0.2038
2015,data.New Brunswick,data.Communications networks,13,0.2401
2015,data.New Brunswick,data.Electric power infrastructure,13,0.1026
2015,data.New Brunswick,data.Oil and gas engineering construction,13,0.238
2015,data.New Brunswick,data.Other engineering construction,13,0.2038
