Year,Value
2018,90.3
2018,87.5
2018,89.4
2018,93.8
2018,84.8
2018,88.0
2018,89.5
2018,90.9
2018,90.5
2018,85.1
2018,86.4
2018,92.8
2018,91.2
2018,91.3
2018,83.3
2019,86.6
2019,88.0
2019,86.2
2019,87.4
2019,87.2
2019,90.2
2019,84.8
2019,89.1
2019,87.3
2019,91.3
2019,89.1
2019,85.9
2019,82.6
2019,82.7
2019,79.0
2020,86.3
2020,82.8
2020,83.0
2020,84.1
2020,80.4
2020,85.1
2020,87.7
2020,87.4
2020,87.6
2020,88.5
2020,92.1
2020,86.3
2020,81.6
2020,81.7
2020,77.2
2021,86.4
2021,84.0
2021,85.8
2021,81.4
2021,80.0
2021,89.7
2021,86.2
2021,87.2
2021,85.0
2021,84.9
2021,89.7
2021,84.0
2021,87.3
2021,87.3
2021,87.1
