Year,Value,Units
2015,17887.0,data.Number
2016,23996.0,data.Number
2017,27829.0,data.Number
2018,33893.0,data.Number
2019,48318.0,data.Number
2020,65141.0,data.Number
2021,71727.0,data.Number
2022,74073.0,data.Number
2015,55.6,"data.Rate per 100,000 population"
2016,73.7,"data.Rate per 100,000 population"
2017,81.7,"data.Rate per 100,000 population"
2018,91.9,"data.Rate per 100,000 population"
2019,129.3,"data.Rate per 100,000 population"
2020,172.0,"data.Rate per 100,000 population"
2021,188.2,"data.Rate per 100,000 population"
2022,191.0,"data.Rate per 100,000 population"
