Year,Value,Series,GeoCode
2014/2015,123.0,Adult criminal courts,
2015/2016,126.0,Adult criminal courts,
2016/2017,136.0,Adult criminal courts,
2017/2018,137.0,Adult criminal courts,
2018/2019,141.0,Adult criminal courts,
2019/2020,141.0,Adult criminal courts,
2020/2021,187.0,Adult criminal courts,
2021/2022,203.0,Adult criminal courts,
2022/2023,201.0,Adult criminal courts,
2023/2024,189.0,Adult criminal courts,
2014/2015,120.0,Youth courts,
2015/2016,125.0,Youth courts,
2016/2017,135.0,Youth courts,
2017/2018,141.0,Youth courts,
2018/2019,155.0,Youth courts,
2019/2020,162.0,Youth courts,
2020/2021,237.0,Youth courts,
2021/2022,230.0,Youth courts,
2022/2023,211.0,Youth courts,
2023/2024,205.0,Youth courts,
