Year,Value,Units,Series
2013,4.9,Percentage,Water use growth rate
2015,-3.5,Percentage,Water use growth rate
2017,1.2,Percentage,Water use growth rate
2019,-0.8,Percentage,Water use growth rate
2021,0.2,Percentage,Water use growth rate
2013,-12.8,Percentage,Water use per capita growth rate
2015,-1.5,Percentage,Water use per capita growth rate
2017,-7.1,Percentage,Water use per capita growth rate
2019,-1.6,Percentage,Water use per capita growth rate
2021,4.0,Percentage,Water use per capita growth rate
2013,37197793.0,Cubic metres,Total water use
2015,35913582.0,Cubic metres,Total water use
2017,36334509.0,Cubic metres,Total water use
2019,36047231.0,Cubic metres,Total water use
2021,36127599.0,Cubic metres,Total water use
