Value,Disaggregation combinations using this value,Number of indicators
1 to 4 years,3,1
10 to 14 years,3,1
12 to 17 years,66,2
15 to 19 years,36,2
15 to 24 years,978,4
15 to 64 years,33,1
18 to 34 years,66,2
20 to 24 years,36,2
25 to 29 years,36,2
25 to 34 years,21,2
25 to 44 years,33,1
25 to 54 years,504,3
25 to 64 years,630,1
25 years and over,109,1
30 to 34 years,36,2
35 to 39 years,36,2
35 to 44 years,21,2
35 to 49 years,66,2
40 to 44 years,36,2
45 to 49 years,36,2
45 to 54 years,21,2
45 to 64 years,33,1
45 years and over,33,1
5 to 9 years,3,1
50 to 54 years,36,2
50 to 64 years,66,2
55 to 59 years,36,2
55 to 64 years,21,2
55 years and over,327,1
60 to 64 years,36,2
65 to 69 years,36,2
65 to 74 years,630,1
65 years and over,120,5
70 to 74 years,3,1
70 years and over,33,1
75 to 79 years,3,1
75 years and over,630,1
80 to 84 years,3,1
85 to 89 years,3,1
90 years and over,3,1
Age 15 to 24,25,1
Age 25 to 34,32,1
Age 35 to 44,31,1
Age 45 to 54,27,1
Age 55 to 64,21,1
Age 65 to 74,14,1
Age 75 and older,4,1
"Age, not stated",3,1
Ages 12 to 17,6,2
Ages 18 to 39,6,2
Ages 18 to 64,3,1
Ages 18 to 79,6,2
Ages 40 to 59,6,2
Ages 5 to 11,6,2
Ages 5 to 17,6,2
Ages 5 to 79,2,1
Ages 6 to 11,3,1
Ages 6 to 17,3,1
Ages 60 to 79,6,2
Ages 65 to 79,3,1
"Total, 12 years and over",64,2
"Total, 15 years and over",490,2
"Total, 18 years and over",33,1
"Total, all ages",2,1
"Total, all persons",34,1
Total,629,1
Under 1 year,3,1
