Value,Disaggregation combinations using this value,Number of indicators
Airports and other passenger terminals,14,1
Bridges,14,1
Buses,14,1
"Cables and lines – coaxial, copper, aluminum, etc.",14,1
Canals and waterways,14,1
Commercial buildings,14,1
Communications buildings,14,1
Communications networks,14,1
Electric power infrastructure,14,1
Highway and road structures and networks,14,1
Historical sites,14,1
Hospitals,14,1
Hydraulic production plants,13,1
Indoor recreational facilities,14,1
Institutional buildings,14,1
Libraries,14,1
"Locomotives, railway rolling stock, and rapid transit equipment",14,1
Marinas and harbours,14,1
Marine engineering infrastructure,14,1
Museums,14,1
Nuclear production plants,4,1
Nuclear reactor steam supply systems,3,1
"Nursing homes, homes for the aged",14,1
Oil and gas engineering construction,13,1
Optical fibre,14,1
Other communication construction,14,1
Other electric power construction,14,1
Other engineering construction,14,1
Other machinery and equipment,14,1
Other marine infrastructure,14,1
Other sewage infrastructure,14,1
Other water infrastructure,14,1
Outdoor recreational facilities,14,1
Pipelines,13,1
Pollution abatement and control,14,1
Power and distribution transformers,14,1
Power distribution networks,14,1
Power transmission networks,14,1
Public security facilities,14,1
Railway lines,14,1
Religious centres and memorial sites,14,1
Runways,14,1
"Schools, colleges, universities and other educational buildings",14,1
Seaports,14,1
Sewage infrastructure,14,1
Sewage treatment plants,14,1
Sports facilities with spectator capacity,14,1
Steam production plants,14,1
Student residences,13,1
Total assets,13,1
Transmission support structures,14,1
Transportation engineering infrastructure,14,1
Transportation machinery and equipment,14,1
Tunnels,11,1
"Turbines, turbine generators, and turbine generator sets",14,1
Waste disposal facilities,14,1
Water filtration plants,14,1
Water treatment equipment,14,1
Waterworks infrastructure,14,1
Wind and solar power plants,14,1
