Value,Disaggregation combinations using this value,Number of indicators
"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",30,1
data.Alzheimer's disease [G30],30,1
data.Cerebrovascular diseases [I60-I69],30,1
"data.Chronic liver disease and cirrhosis [K70, K73-K74]",30,1
data.Chronic lower respiratory diseases [J40-J47],30,1
data.Diabetes mellitus [E10-E14],30,1
"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",30,1
data.Influenza and pneumonia [J09-J18],30,1
"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",30,1
data.Malignant neoplasms [C00-C97],30,1
