Value,Disaggregation combinations using this value,Number of indicators
data.Commercial buildings,14,1
data.Communications networks,14,1
data.Electric power infrastructure,14,1
data.Institutional buildings,14,1
data.Marine engineering infrastructure,14,1
data.Oil and gas engineering construction,14,1
data.Other engineering construction,14,1
data.Other machinery and equipment,14,1
data.Sewage infrastructure,14,1
data.Total assets,13,1
data.Transportation engineering infrastructure,14,1
data.Transportation machinery and equipment,14,1
data.Waterworks infrastructure,14,1
