Value,Disaggregation combinations using this value,Number of indicators
data.All persons,76,1
data.Couples with children,21,1
data.Couples with other relatives,21,1
data.Couples,21,1
data.Economic families and persons not in an economic family,23,1
data.Economic families,21,1
data.Elderly couples,21,1
data.Elderly families,21,1
data.Elderly females not in an economic family,86,2
data.Elderly males not in an economic family,86,2
data.Elderly persons not in an economic family,86,2
data.Female lone-parent families,21,1
data.Lone-parent families,21,1
data.Male lone-parent families,21,1
data.Non-elderly families,21,1
data.Non-elderly females not in an economic family,86,2
data.Non-elderly males not in an economic family,86,2
data.Non-elderly persons not in an economic family,86,2
data.Other elderly families,21,1
data.Other non-elderly families,21,1
data.Persons in couple families with children,65,1
data.Persons in couple families with other relatives,65,1
data.Persons in couples,65,1
data.Persons in economic families,65,1
data.Persons in elderly couples,65,1
data.Persons in elderly families,65,1
data.Persons in female lone-parent families,65,1
data.Persons in lone-parent families,65,1
data.Persons in male lone-parent families,65,1
data.Persons in non-elderly families,65,1
data.Persons in other elderly families,65,1
data.Persons in other non-elderly families,65,1
data.Persons not in an economic family,86,2
