Value,Disaggregation combinations using this value,Number of indicators
data.Agricultural Ammonia Emissions,1,1
data.Agricultural Greenhouse gas,1,1
data.Agricultural Particulate Matter Emissions,1,1
data.Compound Index,4,1
data.Residual Soil Nitrogen,1,1
data.Risk of Soil Erosion,1,1
data.Risk of Soil Salinization,1,1
data.Risk of Water Contamination by Coliforms,1,1
data.Risk of Water Contamination by Pesticides,1,1
data.Risk of water contamination by phosphorus,1,1
data.Soil Cover,1,1
data.Soil Organic Carbon Change,1,1
data.Wildlife Habitat on Farmland,1,1
