Value,Disaggregation combinations using this value,Number of indicators
data.Beverage and tobacco product manufacturing,7,1
data.Chemical manufacturing,7,1
"data.Electric power generation, transmission and distribution",7,1
data.Fabricated metal product manufacturing,7,1
data.Food manufacturing,7,1
data.Furniture and related product manufacturing,7,1
data.Logging (except contract),7,1
data.Machinery manufacturing,7,1
data.Mining and quarrying,7,1
data.Natural gas distribution,7,1
data.Non-metallic mineral product manufacturing,7,1
data.Oil and gas extraction,7,1
data.Other manufacturing industries,7,1
data.Paper manufacturing,7,1
data.Petroleum and coal product manufacturing,7,1
data.Pipeline transportation,7,1
data.Plastics and rubber products manufacturing,7,1
data.Primary metal manufacturing,7,1
"data.Total, industries",6,1
data.Transportation equipment manufacturing,7,1
data.Wood product manufacturing,7,1
