Value,Disaggregation combinations using this value,Number of indicators
data.Business - finance and administration occupations [1],132,1
data.Health occupations [3],132,1
data.Management occupations [0],132,1
data.Natural and applied sciences and related occupations [2],132,1
data.Natural resources - agriculture and related production occupations [8],132,1
data.Occupations in art - culture - recreation and sport [5],132,1
data.Occupations in education - law and social - community and government services [4],132,1
data.Occupations in manufacturing and utilities [9],132,1
data.Sales and service occupations [6],132,1
data.Total employees - all occupations,131,1
data.Trades - transport and equipment operators and related occupations [7],132,1
