Value,Disaggregation combinations using this value,Number of indicators
data.All persons,18,1
data.Elderly persons in economic families,19,1
data.Elderly persons not in an economic family,19,1
"data.Females, 18 to 64 years",19,1
"data.Females, 65 years and over",19,1
data.Females in economic families,19,1
data.Females not in an economic family,19,1
"data.Females, under 18 years",19,1
data.Females,19,1
"data.Males, 18 to 64 years",19,1
"data.Males, 65 years and over",19,1
data.Males in economic families,19,1
data.Males not in an economic family,19,1
"data.Males, under 18 years",19,1
data.Males,19,1
data.Non-elderly females not in an economic family,19,1
data.Non-elderly males not in an economic family,19,1
data.Non-elderly persons not in an economic family,19,1
data.Persons 18 to 64 years in economic families,19,1
data.Persons 18 to 64 years,19,1
data.Persons 65 years and over,19,1
data.Persons in economic families,19,1
data.Persons not in an economic family,19,1
data.Persons under 18 years in couple families with children,19,1
data.Persons under 18 years in economic families,19,1
data.Persons under 18 years in female lone-parent families,19,1
data.Persons under 18 years,19,1
