Value,Disaggregation combinations using this value,Number of indicators
data.Amphibians,1,1
data.Ants,1,1
data.Bee flies,1,1
data.Bees,1,1
data.Beetles,1,1
data.Birds,1,1
data.Bivalves,1,1
data.Black flies,1,1
data.Bryophytes,1,1
data.Caddisflies,1,1
data.Cephalopods,1,1
data.Corals,1,1
data.Decapods,1,1
data.Dragonflies and damselflies,1,1
data.Earthworms,1,1
data.Fishes,1,1
data.Fleas,1,1
data.Freshwater bivalves,1,1
data.Grasshoppers and relatives,1,1
data.Harvestmen,1,1
data.Horse flies,1,1
data.Lacewings,1,1
data.Leeches,1,1
data.Lichens,1,1
data.Macrofungi,1,1
data.Macrolichens,1,1
data.Mammals,1,1
data.Mayflies,1,1
data.Mosquitoes,1,1
data.Moths and butterflies,1,1
data.Myriapods,1,1
data.Non-marine snails and slugs,1,1
data.Pseudoscorpions,1,1
data.Reptiles,1,1
data.Sawflies,1,1
data.Scorpionflies,1,1
data.Sea cucumbers,1,1
data.Sea stars,1,1
data.Sea urchins,1,1
data.Selected flies,1,1
data.Selected macrofungi,1,1
data.Slime moulds,1,1
data.Spiders,1,1
data.Sponges,1,1
data.Springtails,1,1
data.Stoneflies,1,1
data.Terrestrial and freshwater snails and slugs,1,1
data.Ticks,1,1
data.True bugs,1,1
data.Vascular plants,1,1
data.Water mites,1,1
data.Yellowjackets and relatives,1,1
