Value,Disaggregation combinations using this value,Number of indicators
All persons aged 15 years and over,78,1
Arab,78,1
Black,78,1
Chinese,78,1
"Females, 18 to 64 years",78,1
"Females, 65 years and over",78,1
"Females, under 18 years",78,1
Females,78,1
Filipino,78,1
First Nations aged 15 years and over,78,1
Immigrants aged 15 years and over,78,1
Indigenous population aged 15 years and over,78,1
Indigenous population,78,1
Latin American,78,1
"Males, 18 to 64 years",78,1
"Males, 65 years and over",78,1
"Males, under 18 years",78,1
Males,78,1
Métis aged 15 years and over,78,1
Non-Indigenous population aged 15 years and over,78,1
Non-Indigenous population,78,1
Not a visible minority nor Indigenous,78,1
Not a visible minority,78,1
Other visible minority,78,1
Persons 18 to 24 years,78,1
Persons 18 to 64 years,78,1
Persons 25 to 34 years,78,1
Persons 35 to 44 years,78,1
Persons 45 to 54 years,78,1
Persons 55 to 64 years,78,1
Persons 65 years and over,78,1
Persons aged 15 years and over born in Canada,78,1
Persons under 18 years,78,1
Recent immigrants (10 years or less) aged 15 years and over,78,1
South Asian,78,1
Southeast Asian,78,1
Very recent immigrants (5 years or less) aged 15 years and over,78,1
Visible minority population,78,1
