Value,Disaggregation combinations using this value,Number of indicators
All persons,77,1
Couples with children,21,1
Couples with other relatives,21,1
Couples,21,1
Economic families and persons not in an economic family,20,1
Economic families,21,1
Female lone-parent families,21,1
Lone-parent families,21,1
Male lone-parent families,21,1
Non-senior families,21,1
Non-senior females not in an economic family,99,2
Non-senior males not in an economic family,99,2
Non-seniors not in an economic family,99,2
Other non-senior families,21,1
Other senior families,21,1
Persons in couple families with children,78,1
Persons in couple families with other relatives,78,1
Persons in couples,78,1
Persons in economic families,78,1
Persons in female lone-parent families,78,1
Persons in lone-parent families,78,1
Persons in male lone-parent families,78,1
Persons in non-senior families,78,1
Persons in other non-senior families,78,1
Persons in other senior families,78,1
Persons in senior couples,78,1
Persons in senior families,78,1
Persons not in an economic family,99,2
Senior couples,21,1
Senior families,21,1
Senior females not in an economic family,99,2
Senior males not in an economic family,99,2
Seniors not in an economic family,99,2
