Value,Disaggregation combinations using this value,Number of indicators
"Environmental incentive programs, grants, loans, or tax credits",34,1
Environmental management system,34,1
Environmental supply chain management policy,34,1
Environmental voluntary agreements or programs,34,1
Green procurements policy or guidelines,34,1
Greenhouse gas emission inventory,34,1
ISO 14000 family certification,34,1
Life cycle management,34,1
New or improved environmental supply chain management policy,34,1
Other environmental management practices,34,1
Pollution prevention plan,34,1
Purchased carbon offset credits only or purchased more than sold,34,1
Reported using one or more environmental management practices,34,1
Sold carbon offset credits only or sold more than purchased,34,1
